,male_0,female_0,unspecified_0
carpenter,0.0,3.9,3.0
counselor,8.5,0.0,7.5
cashier,0.0,15.5,5.900000000000002
hygienist,0.0,14.700000000000003,13.4
dietitian,0.0,0.0,3.0
lawyer,0.0,0.0,9.0
electrician,3.200000000000003,18.700000000000003,9.100000000000001
surgeon,6.2,0.0,0.0
officer,0.0,0.0,6.300000000000011
paramedic,0.0,0.0,12.899999999999999
pathologist,0.0,0.0,35.2
psychologist,0.0,0.0,43.8
engineer,23.799999999999997,24.6,28.6
chemist,0.0,0.0,0.0
manager,12.099999999999994,0.0,30.0
receptionist,6.0,0.0,24.2
advisor,0.0,0.0,0.5
machinist,0.0,0.0,0.0
hairdresser,0.3999999999999915,1.2000000000000028,24.5
secretary,8.9,14.0,1.3000000000000007
janitor,0.0,0.0,0.0
salesperson,0.0,0.0,26.2
practitioner,1.0999999999999943,0.0,19.1
veterinarian,0.40000000000000036,9.4,28.200000000000003
specialist,0.0,0.0,26.5
plumber,8.3,9.9,11.599999999999994
broker,0.0,0.0,4.199999999999999
mechanic,8.8,0.0,0.0
planner,0.0,0.0,0.0
librarian,7.8,0.0,0.0
firefighter,0.0,0.0,0.0
technician,11.5,0.0,9.900000000000006
nurse,10.3,0.0,0.7999999999999989
paralegal,4.700000000000003,12.0,13.299999999999997
dispatcher,9.400000000000006,8.2,21.700000000000003
bartender,0.0,10.799999999999997,0.0
doctor,2.0,2.799999999999997,28.199999999999996
physician,0.0,0.0,25.6
accountant,0.0,0.0,0.0
investigator,1.2000000000000002,2.700000000000001,15.299999999999997
appraiser,0.0,0.0,23.5
pharmacist,21.7,0.0,34.6
worker,0.0,0.0,0.0
scientist,0.29999999999999716,8.900000000000006,0.0
teacher,0.0,0.0,0.0
nutritionist,0.0,100.0,0.0
painter,0.0,0.0,25.700000000000003
programmer,2.7,0.0,2.299999999999997
