,female_0,unspecified_0,male_0
worker,0.0,23.099999999999998,0.19999999999999996
nurse,0.0,1.5,5.799999999999997
dietitian,0.7999999999999998,0.5000000000000001,1.7999999999999972
practitioner,0.29999999999999993,1.4000000000000001,0.29999999999999716
receptionist,1.2000000000000028,1.0999999999999999,1.4999999999999998
paramedic,0.6,0.7,0.0
appraiser,0.5,4.4,0.3999999999999999
nutritionist,0.6000000000000085,0.0,0.0
salesperson,0.0,0.0,0.0
mechanic,5.2,10.600000000000001,0.5
planner,0.0,0.0,0.0
psychologist,1.3,9.600000000000001,3.3
secretary,6.700000000000003,3.8000000000000007,4.1
hairdresser,0.10000000000000003,0.40000000000000013,1.5
accountant,0.10000000000000009,2.799999999999997,0.6000000000000001
carpenter,0.1,1.9000000000000001,0.0
manager,8.200000000000001,1.4,0.4999999999999999
cashier,0.09999999999999987,12.099999999999994,0.8999999999999915
firefighter,0.5,1.0,0.7999999999999998
chemist,0.0,0.19999999999999998,0.19999999999999998
engineer,0.29999999999999993,7.299999999999997,13.5
doctor,0.19999999999999996,1.5,0.10000000000000009
pathologist,0.5000000000000001,6.4,0.20000000000000007
painter,0.5,4.6000000000000005,0.5
veterinarian,0.6000000000000001,5.0,0.1999999999999993
counselor,0.0,0.0,0.0
lawyer,0.2,6.799999999999997,2.6
technician,6.3999999999999995,1.4,8.2
electrician,0.7,2.0000000000000004,0.7000000000000028
officer,0.10000000000000853,6.6,0.0
pharmacist,0.10000000000000009,7.099999999999994,0.0
teacher,2.3,10.6,3.700000000000003
bartender,0.0,2.5,2.0
broker,0.7999999999999999,10.100000000000009,3.1999999999999997
dispatcher,2.3999999999999915,18.6,2.0
physician,4.199999999999999,7.5,0.4
janitor,2.5,4.6,0.5999999999999996
surgeon,0.0,0.0,0.0
advisor,0.20000000000000284,2.0,0.7
machinist,0.3999999999999999,20.10000000000001,2.7
hygienist,1.6,9.600000000000009,0.5
librarian,0.9,12.299999999999997,0.0
specialist,0.7000000000000028,7.3999999999999995,0.7999999999999998
programmer,0.4,1.6,0.5
plumber,0.9000000000000057,2.4000000000000004,1.9
scientist,0.09999999999999964,7.700000000000001,1.6999999999999886
investigator,0.5999999999999943,0.2,0.1
paralegal,1.5999999999999943,0.0,1.7000000000000002
