,female_0,unspecified_0,male_0
appraiser,0.1,35.2,0.0
paramedic,0.0,1.3000000000000003,0.0
specialist,0.0,15.899999999999999,0.0
lawyer,7.1000000000000085,8.0,0.0
psychologist,0.0,7.700000000000003,0.0
counselor,0.09999999999999432,0.6000000000000001,0.0
broker,0.0,5.6,0.0
planner,12.1,0.0,0.0
officer,0.0,15.899999999999999,0.0
dietitian,0.1,8.7,0.1
programmer,0.0,25.60000000000001,0.0
librarian,0.0,0.5999999999999999,0.0
doctor,1.0999999999999943,0.0,0.0
receptionist,32.699999999999996,13.799999999999997,0.20000000000000284
investigator,1.2000000000000028,0.8999999999999915,0.0
salesperson,2.8999999999999915,27.5,0.7000000000000001
accountant,1.0,47.5,0.0
cashier,0.1,17.6,0.0
electrician,0.20000000000000284,5.9999999999999964,0.0
machinist,0.0,8.399999999999999,0.0
veterinarian,0.09999999999999432,30.799999999999997,0.09999999999999432
janitor,0.1,10.5,0.0
carpenter,0.0,7.0,0.0
plumber,0.0,3.9000000000000004,0.0
engineer,0.0,36.0,0.0
painter,0.0,23.89999999999999,0.0
teacher,0.0,4.300000000000001,0.0
practitioner,0.0,5.8999999999999995,0.29999999999999716
hygienist,1.0999999999999999,1.6,0.0
nutritionist,0.0,58.8,0.0
dispatcher,0.0,11.9,0.0
pharmacist,0.0,7.5,0.0
hairdresser,0.0,5.9,0.0
chemist,0.0,40.400000000000006,0.0
paralegal,0.0,8.299999999999997,0.0
nurse,0.0,49.9,0.0
technician,0.0,3.8000000000000007,0.0
firefighter,0.0,33.2,0.0
advisor,0.0,9.099999999999994,0.0
bartender,49.2,11.3,0.0
mechanic,0.0,0.30000000000000004,0.0
scientist,0.0,20.0,0.0
pathologist,0.0,34.599999999999994,0.09999999999999432
manager,48.5,19.10000000000001,0.0
physician,0.0,23.0,0.1
worker,0.0,0.7000000000000001,0.0
surgeon,0.1,0.6000000000000001,0.0
secretary,1.5,11.100000000000001,0.09999999999999432
