,unspecified_0,female_0,male_0
planner,0.0,0.0,0.0
cashier,0.7,0.0,0.0
teacher,0.10000000000000003,0.0,0.0
firefighter,0.0,0.0,0.0
paramedic,0.0,0.0,0.0
specialist,0.0,0.0,0.0
receptionist,0.1,0.0,0.0
practitioner,1.8000000000000003,0.0,0.0
scientist,0.0,0.0,0.0
counselor,0.0,0.0,0.0
officer,0.0,0.0,0.0
nurse,0.0,0.0,0.0
librarian,69.2,0.0,0.0
physician,0.0,0.0,0.0
pathologist,0.0,0.0,0.0
plumber,0.0,0.0,0.0
carpenter,0.0,0.0,0.0
machinist,0.0,0.0,0.0
painter,2.7,0.0,0.0
secretary,0.6,0.0,0.0
doctor,0.0,0.0,0.0
engineer,0.3,0.0,0.0
dispatcher,0.0,0.0,0.0
pharmacist,0.0,0.0,0.0
salesperson,2.4000000000000004,0.0,0.0
lawyer,0.0,0.0,0.0
bartender,0.6,0.0,0.0
broker,0.0,0.0,0.0
janitor,0.0,0.0,0.0
technician,0.1,0.0,0.0
paralegal,26.89999999999999,0.0,0.0
worker,0.0,0.0,0.0
electrician,0.0,0.0,0.0
psychologist,0.2,0.0,0.0
hygienist,99.8,0.0,0.0
advisor,0.0,0.0,0.0
appraiser,0.0,0.0,0.0
chemist,1.2,0.0,0.0
mechanic,0.0,0.0,0.0
accountant,0.0,0.0,0.0
manager,0.0,0.0,0.0
dietitian,3.0,0.0,0.0
hairdresser,7.100000000000001,0.0,0.0
surgeon,0.0,0.0,0.0
investigator,0.0,0.0,0.0
veterinarian,0.2,0.0,0.0
nutritionist,0.3,0.0,0.0
programmer,6.699999999999989,0.0,0.0
