,other_0,someone_1,man_0,someone_0,man_1,other_1,woman_0,woman_1
administrator,1.3,57.0,0.0,0.0,0.0,83.3,0.0,0.0
bartender,0.3,14.799999999999997,0.0,85.6,0.0,0.8999999999999915,0.0,0.0
cashier,30.599999999999994,0.2,0.0,39.7,0.0,87.8,79.4,0.0
pharmacist,0.7,0.0,58.5,0.0,0.0,67.80000000000001,0.0,0.0
teacher,7.9,0.0,0.0,0.0,0.0,75.39999999999999,12.6,0.0
carpenter,0.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0
scientist,0.0,0.1,0.0,38.4,0.0,50.89999999999999,52.3,0.0
architect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
janitor,0.0,0.0,0.0,0.0,0.0,50.699999999999996,0.0,0.0
veterinarian,0.0,0.0,0.0,0.0,0.0,0.09999999999999432,67.10000000000001,0.0
plumber,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0
specialist,0.0,0.0,0.0,0.0,0.0,16.299999999999997,0.0,0.0
receptionist,0.0,95.9,0.0,0.0,0.0,19.799999999999997,0.0,0.0
appraiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paralegal,21.700000000000003,0.0,0.0,27.2,0.0,6.5,0.7999999999999972,0.0
auditor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dietitian,0.6999999999999997,0.4,98.2,0.19999999999999998,0.0,3.799999999999997,0.0,0.0
machinist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
counselor,0.1,0.5,0.5999999999999943,0.5999999999999999,0.0,0.0,44.60000000000001,0.0
inspector,0.0,22.8,0.0,0.0,0.0,0.1,0.0,0.0
clerk,0.0,0.0,0.0,0.29999999999999716,0.0,0.0,0.0,0.0
painter,1.0,0.0,0.0,91.6,0.0,0.0,28.1,0.0
electrician,0.0,0.0,0.0,2.0999999999999943,0.0,0.0,0.0,0.0
advisor,0.0,0.0,0.0,5.800000000000001,0.0,1.2999999999999998,0.20000000000000284,0.0
therapist,0.3,0.0,0.0,0.0,0.0,0.0,12.700000000000003,0.0
broker,0.0,0.0,0.0,0.09999999999999432,0.0,0.0,0.0,0.0
psychologist,0.0,8.099999999999994,0.0,48.5,0.0,0.0,0.0,0.0
engineer,0.20000000000000284,0.0,0.0,0.6,0.0,0.09999999999999432,0.0,0.0
nurse,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0
salesperson,0.0,14.4,0.0,62.2,0.0,0.0,0.0,0.0
educator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paramedic,0.0,79.6,0.0,84.4,0.0,0.0,1.7,0.0
chemist,0.0,0.0,98.5,0.0,0.0,0.0,0.0,0.09999999999999432
technician,0.0,0.0,0.0,1.0,0.0,38.9,0.0,0.0
surgeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
officer,0.0,0.7000000000000028,0.0,0.8,0.0,0.09999999999999432,0.0,0.0
manager,0.0,0.0,0.0,0.3,0.0,2.700000000000003,0.0,0.0
lawyer,0.0,0.19999999999999973,0.0,0.20000000000000284,0.0,0.0,0.0,0.0
chef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physician,0.0,0.0,0.0,5.0,0.0,29.699999999999996,0.3,0.0
examiner,0.0,0.0,0.0,0.1,0.20000000000000284,0.0,0.0,0.0
investigator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programmer,0.0,7.199999999999989,0.0,1.4000000000000001,0.0,0.0,0.0,0.0
mechanic,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
librarian,12.3,0.0,97.0,0.0,0.0,32.8,94.1,0.0
nutritionist,0.0,0.0,0.0,0.1,0.0,0.0,71.2,0.0
instructor,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
practitioner,0.0,0.09999999999999432,0.0,3.0999999999999943,0.0,0.0,65.2,0.0
pathologist,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0
doctor,0.0,0.0,0.0,0.0,0.0,0.09999999999999432,0.0,0.0
supervisor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baker,0.0,0.0,0.0,85.6,0.0,0.0,0.0,0.0
hairdresser,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0
planner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
secretary,29.000000000000007,0.09999999999999432,76.1,19.299999999999997,0.0,29.0,0.0,0.0
dispatcher,3.9999999999999996,0.0,24.3,0.0,0.0,13.1,0.3999999999999999,0.0
firefighter,0.0,0.0,0.0,0.09999999999999432,0.0,0.0,0.0,0.0
accountant,0.1,0.0,0.0,45.1,0.0,0.0,78.0,0.0
hygienist,99.6,0.0,100.0,0.0,0.0,29.400000000000006,0.0,0.0
worker,0.0,47.5,0.0,0.0,0.0,9.0,0.0,0.0
