,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,29.977,12.118,24.747,22.492,24.174,19.237,25.985,15.446,30.064,25.003,26.49,18.971,29.649,12.146,27.201,22.751,21.687,14.666,26.94,14.121,28.671,22.898,18.162,21.004,26.316,15.324,28.859,25.33,26.63,18.138,27.999,15.187,30.317,19.462,27.382,21.774,31.209,13.188,28.309,18.087,25.445,16.45,27.368,17.597,31.485,23.097,27.146,19.747,29.772,21.572,38.026,31.365,30.874,26.993,37.32,20.963,33.357,26.389,29.438,19.023
1,1808,21.51,10.101,21.589,19.93,19.365,17.341,21.443,12.694,27.114,21.113,21.513,17.734,23.543,10.852,24.161,19.001,18.18,13.249,21.825,11.326,25.627,19.415,15.786,19.273,23.563,12.687,23.507,21.328,20.925,14.644,22.813,14.479,25.541,17.683,21.048,20.183,26.252,12.801,23.935,16.371,22.471,15.108,21.996,16.253,28.506,20.142,24.044,16.449,25.613,18.242,31.281,24.369,25.677,23.717,29.893,14.08,27.1,21.603,24.021,15.627
2,1815,25.255,11.897,25.208,21.75,24.415,18.916,24.329,14.984,28.483,22.36,24.592,17.043,27.122,12.71,27.281,19.923,18.54,15.654,25.928,13.677,27.606,21.019,18.233,20.454,25.927,15.241,24.179,24.153,20.868,15.196,25.828,15.936,30.195,20.782,29.583,24.045,30.758,14.044,24.508,17.94,23.797,14.745,23.946,14.529,32.245,20.137,26.232,19.213,28.445,20.551,33.416,28.554,29.592,25.046,33.244,17.333,29.365,23.46,27.82,18.132
3,1823,25.174,11.018,21.837,23.687,22.818,19.662,24.948,15.595,30.119,26.191,27.322,20.576,28.254,12.022,25.357,23.19,21.602,15.186,26.616,14.428,29.519,24.131,20.44,24.153,29.07,15.698,24.044,25.99,26.145,17.871,25.952,17.376,29.987,22.209,25.79,22.984,30.409,15.706,27.726,21.145,27.133,18.843,27.433,18.247,30.858,24.238,28.06,19.722,29.092,22.008,35.631,31.916,32.247,28.626,38.04,16.392,30.737,25.076,28.386,19.121
4,1830,25.486,10.219,23.547,22.775,22.652,18.862,25.902,13.213,30.389,25.175,24.868,18.163,27.929,12.252,27.785,21.781,21.736,17.002,28.3,14.097,32.501,21.063,17.424,21.564,25.036,13.024,27.858,25.269,23.788,16.933,28.473,15.114,32.737,22.198,28.952,23.949,32.991,13.943,26.595,20.099,24.789,16.854,25.535,19.225,33.06,24.279,28.473,21.401,30.216,21.467,36.007,31.057,31.42,28.163,37.105,15.596,30.832,25.25,27.695,19.579
5,1838,27.588,10.217,23.402,24.619,25.273,19.067,27.916,14.076,29.142,25.266,24.94,20.905,29.985,10.91,24.563,22.123,20.906,16.674,26.807,13.413,28.191,23.106,18.074,22.523,27.044,14.771,25.898,25.187,25.065,18.126,26.985,16.006,29.565,22.101,29.531,24.449,33.381,14.378,26.749,20.305,26.082,19.987,27.208,13.849,29.396,23.915,27.822,22.156,29.585,17.775,35.6,30.527,31.767,29.702,37.536,15.618,29.928,24.524,28.097,19.726
6,1845,29.401,11.599,23.288,23.614,24.078,20.051,27.606,15.18,31.108,25.645,27.527,21.225,31.752,12.529,26.546,23.006,22.506,15.502,27.699,16.06,29.922,23.8,21.167,24.504,29.505,15.792,27.846,25.287,27.222,19.357,27.953,17.155,29.772,22.718,30.105,25.813,35.437,15.202,27.824,20.675,27.912,19.301,29.356,18.76,30.056,25.148,29.187,20.712,31.418,19.492,35.863,32.802,33.199,30.407,38.911,16.969,30.224,25.2,30.377,20.212
7,1852,27.428,9.359,19.978,21.53,20.015,17.017,23.29,12.815,27.964,24.36,24.874,18.732,28.521,10.818,23.301,20.361,19.609,13.301,24.875,12.625,26.901,21.624,18.872,21.404,25.601,13.064,24.43,23.909,23.97,16.098,25.888,14.518,28.889,20.802,27.71,22.409,30.788,12.72,24.274,18.868,24.28,17.97,25.756,16.778,28.293,23.699,26.079,18.106,27.908,21.075,34.129,31.092,30.838,26.978,37.322,17.315,28.008,25.857,26.887,17.778
8,1860,26.442,7.726,20.505,18.874,18.506,17.301,21.222,10.208,26.535,20.494,20.7,17.071,24.101,9.725,24.019,18.073,15.141,14.689,25.386,11.967,25.225,17.908,14.237,19.722,21.728,11.444,22.505,21.103,20.171,17.201,24.088,12.233,27.291,19.527,24.408,21.792,30.376,11.787,24.301,17.654,21.324,15.683,24.755,12.218,28.471,20.667,24.298,21.438,27.263,15.558,32.798,27.07,27.559,28.116,34.193,13.829,28.942,21.819,23.997,19.0
9,1867,26.451,8.747,22.26,20.653,23.599,17.502,23.044,12.356,26.507,23.162,19.975,17.549,26.811,9.209,24.897,19.382,18.677,13.342,24.192,11.825,25.361,20.67,16.799,19.566,23.831,11.811,25.686,22.15,22.684,15.477,24.75,14.043,29.021,21.495,26.835,23.563,32.029,12.763,27.061,18.325,24.514,17.911,26.15,11.787,29.855,19.446,24.935,19.9,27.531,15.474,32.843,29.211,27.903,26.025,35.353,13.556,28.81,23.197,25.312,17.644
