,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,41.073,43.396,47.97,33.169,40.792,38.686,40.995,39.546,44.441,32.031,40.256,32.231,32.33,44.041,22.259,15.167,45.187,44.053,48.491,32.511,33.34,25.161,33.176,33.317,19.803,38.985,42.792,32.481,37.981,33.72,35.277,45.952,56.439,38.289,48.928,41.685,43.538,40.868,49.647,38.457,40.258,33.13,38.614,43.502,26.525,16.292,45.169,42.721,42.712,36.152,43.096,29.454,36.433,30.24,32.919,39.42,51.524,33.665,40.785,31.923
1,Yemen,38.592,40.544,46.542,40.325,39.078,36.41,39.023,36.544,45.373,32.659,34.162,30.255,33.213,40.047,49.984,43.763,41.009,41.861,45.512,28.595,29.723,25.345,2.666,28.337,24.525,40.235,38.994,34.137,34.492,30.635,34.149,42.829,52.78,42.341,45.559,37.792,42.616,36.399,46.905,39.31,38.43,28.998,34.458,39.114,49.772,13.102,44.352,41.142,44.484,31.319,37.017,26.325,31.949,2.522,26.556,36.925,49.38,30.854,40.517,29.731
2,Iraq,43.831,42.326,49.907,37.17,43.286,44.164,41.767,40.232,48.848,38.812,36.485,35.891,35.794,41.09,53.737,41.907,42.455,47.177,49.679,32.793,36.72,25.51,33.13,38.574,29.561,37.545,48.582,29.112,36.69,33.052,33.445,41.479,58.533,40.827,44.981,46.91,47.993,37.775,53.061,41.94,36.496,34.718,43.915,39.758,53.661,41.915,42.623,46.945,50.273,33.104,48.545,28.832,35.604,33.17,37.633,35.897,52.13,29.581,39.823,31.975
3,Pakistan,34.808,35.914,40.89,31.143,41.946,32.233,35.179,33.502,40.386,24.787,30.809,23.573,27.583,40.919,25.76,16.72,42.568,37.837,40.597,25.85,22.671,16.896,23.226,23.575,18.771,34.987,34.437,29.1,31.728,25.048,25.871,37.672,51.486,37.906,40.049,36.22,37.847,32.169,41.336,31.449,31.063,23.091,27.718,39.942,25.342,16.49,39.362,36.749,39.793,27.987,37.606,22.47,26.983,21.515,23.933,31.837,44.103,26.042,31.246,23.061
4,Syria,43.362,43.971,45.628,41.32,45.63,42.343,38.514,40.201,46.657,39.13,38.485,35.075,36.65,42.503,53.2,46.164,44.407,46.168,50.258,28.787,31.513,24.593,30.473,36.401,27.459,41.679,45.893,33.583,37.061,33.334,34.96,41.033,55.024,41.256,45.918,40.805,44.545,36.465,51.05,40.683,38.261,32.562,39.236,39.966,55.571,43.425,47.948,47.087,50.029,34.935,44.418,29.514,38.545,32.603,33.7,35.576,51.464,30.274,42.522,32.698
5,Democratic Republic of Congo,24.62,28.834,37.65,23.422,31.07,29.803,28.888,25.039,30.397,17.19,27.225,20.896,19.128,26.93,36.603,12.151,30.474,28.845,30.799,22.176,21.092,13.736,23.026,22.335,14.326,23.878,27.332,15.926,24.845,19.314,16.116,27.504,38.411,26.054,32.543,25.5,26.738,21.628,28.81,17.373,22.358,12.742,17.196,31.016,18.334,12.795,33.353,29.108,31.582,18.891,26.307,12.567,21.115,1.556,14.278,19.861,33.136,1.409,24.952,1.312
6,Iran,34.755,39.015,42.941,23.213,36.935,31.543,31.289,31.348,44.051,23.55,30.098,27.223,24.44,36.043,46.036,34.748,38.3,37.997,35.512,25.66,25.93,15.611,22.943,26.96,15.957,32.831,35.144,19.913,29.554,26.114,19.365,37.362,47.882,30.602,38.954,34.004,34.435,31.084,38.436,28.305,31.468,24.763,29.359,30.963,42.598,29.878,34.194,35.452,33.733,30.72,37.405,26.53,31.439,28.405,28.063,30.7,41.222,28.84,31.988,27.909
7,Mali,39.704,35.051,41.098,37.31,37.084,35.663,38.405,33.519,42.563,35.001,31.253,31.923,33.109,34.267,11.527,37.259,35.482,30.111,38.943,24.698,26.534,29.067,24.175,28.198,16.318,33.976,42.221,38.853,33.038,30.046,34.958,40.012,46.463,39.991,40.536,33.788,41.517,35.647,42.995,36.483,33.393,27.105,36.488,34.003,10.684,32.853,32.833,28.052,35.774,26.296,33.0,32.348,29.254,25.453,24.133,30.902,11.74,37.295,33.247,26.441
8,Chad,36.662,34.484,0.611,0.448,31.676,34.488,31.821,34.56,44.439,30.677,30.757,28.119,27.149,37.034,0.591,0.0,0.0,0.507,0.427,29.914,31.114,28.619,27.507,29.085,18.34,33.086,0.694,34.838,33.455,32.175,29.819,36.482,1.346,0.542,37.245,39.582,40.097,33.357,46.648,38.649,33.93,31.074,39.304,33.191,0.546,0.318,0.0,0.498,0.428,29.695,40.745,33.556,29.567,30.194,26.029,31.111,7.198,36.251,31.53,30.397
9,Saudi Arabia,21.418,27.38,30.951,18.704,29.244,20.17,22.972,22.144,29.942,1.435,2.037,1.435,1.312,26.174,38.377,25.439,28.106,25.338,19.311,1.941,0.955,1.078,1.497,1.34,0.724,24.468,27.184,1.347,2.231,1.353,1.08,30.859,39.717,17.286,33.672,25.285,24.394,25.117,32.078,18.167,25.221,17.52,1.911,26.794,37.421,23.683,31.186,25.349,24.693,2.06,27.524,1.309,2.246,1.272,1.407,24.163,32.505,1.47,24.765,14.022
