,date,"In 2016, <mask> has become an adult.","In 2016, <mask> was a kid.","In 2016, <mask> was a teenager.","In 2016, <mask> was a grown up.","In 2016, <mask> was a child.","In 2016, <mask> was an adolescent.","In 2016, <mask> was an adult.","In 2016, <mask> is a kid.","In 2016, <mask> is a teenager.","In 2016, <mask> is a grown up.","In 2016, <mask> is a child.","In 2016, <mask> is an adolescent.","In 2016, <mask> is an adult.","In 2016, <mask> will be a kid.","In 2016, <mask> will be a teenager.","In 2016, <mask> will be a grown up.","In 2016, <mask> will be a child.","In 2016, <mask> will be an adolescent.","In 2016, <mask> will be an adult.","In 2016, <mask> is being a kid.","In 2016, <mask> is being a teenager.","In 2016, <mask> is being a grown up.","In 2016, <mask> is being a child.","In 2016, <mask> is being an adolescent.","In 2016, <mask> is being an adult.","In 2016, <mask> has been a kid.","In 2016, <mask> has been a teenager.","In 2016, <mask> has been a grown up.","In 2016, <mask> has been a child.","In 2016, <mask> has been an adolescent.","In 2016, <mask> has been an adult.","In 2016, <mask> became a kid.","In 2016, <mask> became a teenager.","In 2016, <mask> became a grown up.","In 2016, <mask> became a child.","In 2016, <mask> became an adolescent.","In 2016, <mask> became an adult.","In 2016, <mask> becomes a kid.","In 2016, <mask> becomes a teenager.","In 2016, <mask> becomes a grown up.","In 2016, <mask> becomes a child.","In 2016, <mask> becomes an adolescent.","In 2016, <mask> becomes an adult.","In 2016, <mask> will become a kid.","In 2016, <mask> will become a teenager.","In 2016, <mask> will become a grown up.","In 2016, <mask> will become a child.","In 2016, <mask> will become an adolescent.","In 2016, <mask> will become an adult.","In 2016, <mask> is becoming a kid.","In 2016, <mask> is becoming a teenager.","In 2016, <mask> is becoming a grown up.","In 2016, <mask> is becoming a child.","In 2016, <mask> is becoming an adolescent.","In 2016, <mask> is becoming an adult.","In 2016, <mask> has become a kid.","In 2016, <mask> has become a teenager.","In 2016, <mask> has become a grown up.","In 2016, <mask> has become a child.","In 2016, <mask> has become an adolescent."
0,1801,1.4,1.7,2.5,2.3,4.5,2.8,3.3,0.0,0.0,0.0,1.5,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2,2.3,2.2,2.5,1.8,2.5,2.8,5.2,2.9,3.5,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
1,1808,1.8,2.4,3.2,2.5,5.8,3.3,4.1,0.0,0.0,0.0,2.1,0.0,2.1,0.0,0.0,0.0,1.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.4,2.6,2.1,2.9,2.4,3.1,3.3,7.2,3.3,4.3,0.0,0.0,1.3,2.3,1.3,1.6,0.0,0.0,1.3,2.3,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.2,1.2
2,1815,1.8,2.2,3.1,2.4,7.1,3.6,3.9,0.0,0.0,0.0,2.3,1.3,2.1,0.0,0.0,1.2,2.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.3,2.6,2.3,2.9,2.2,3.2,3.4,7.6,3.7,4.2,0.0,0.0,1.3,2.5,1.5,1.6,0.0,0.0,1.4,2.6,1.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.4,1.3
3,1823,2.3,2.6,4.1,3.2,8.3,4.5,4.9,0.0,1.3,1.2,2.9,1.9,2.9,0.0,1.4,1.6,2.3,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.6,3.0,2.8,3.3,2.7,3.9,4.1,8.4,4.3,5.0,1.3,1.4,1.6,2.8,2.0,2.1,1.4,1.8,2.0,3.2,2.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,2.8,1.7
4,1830,1.4,0.0,3.4,1.8,4.5,3.0,3.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.6,1.8,0.0,3.3,3.0,6.3,3.2,3.5,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.2,0.0,2.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
5,1838,1.5,2.0,3.1,2.5,7.2,3.6,4.2,0.0,0.0,0.0,2.1,1.2,2.1,0.0,0.0,0.0,1.8,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.0,1.8,2.4,2.1,3.2,3.4,7.6,3.7,4.3,0.0,0.0,0.0,2.4,1.4,1.6,0.0,0.0,1.2,2.5,1.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.1
6,1845,1.4,0.0,2.8,2.2,5.3,3.1,3.5,0.0,0.0,0.0,2.0,1.2,1.9,0.0,0.0,0.0,1.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.9,1.7,2.3,1.9,2.7,3.0,6.8,3.2,3.7,0.0,0.0,0.0,2.2,1.3,1.4,0.0,0.0,0.0,2.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0
7,1852,1.6,0.0,3.1,2.8,7.1,3.5,4.2,0.0,0.0,0.0,2.3,1.3,2.3,0.0,0.0,1.2,2.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2,2.3,2.0,2.7,2.0,3.1,3.5,7.8,3.6,4.3,0.0,0.0,1.3,2.6,1.5,1.7,0.0,1.1,1.3,2.7,1.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.2,1.1
8,1860,1.1,0.0,3.7,2.0,5.0,3.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.5,1.3,1.5,1.7,4.1,3.3,7.5,3.8,4.5,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.3,0.0,2.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
9,1867,1.7,2.1,3.4,2.8,6.6,3.9,4.7,0.0,0.0,0.0,2.5,1.5,2.6,0.0,1.1,1.2,2.2,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,2.4,2.1,2.9,2.2,3.2,3.5,8.2,3.8,4.6,0.0,1.1,1.3,2.8,1.6,1.9,0.0,1.2,0.0,2.8,1.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.3,1.2
