,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
0,Afghanistan,0.0,2.8,23.3,5.6,17.0,19.9,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,8.9,7.4,0.0,22.5,4.9,12.6,22.8,15.3,0.0,8.8,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,2.7,3.0,23.7,6.0,18.3,20.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.6,13.6,2.5,24.7,4.9,20.0,24.7,16.9,0.0,8.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2,Iraq,2.9,2.7,22.6,5.9,19.8,19.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,10.9,11.2,0.0,22.9,5.4,19.6,21.9,16.5,0.0,10.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
3,Pakistan,0.0,9.6,26.0,7.9,16.1,22.8,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,3.7,0.0,4.0,6.3,6.0,30.0,10.8,16.3,29.1,19.1,0.0,14.2,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,1.8
4,Syria,0.0,3.1,23.0,5.8,19.9,20.5,17.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,12.8,9.3,2.9,24.3,4.5,21.9,22.4,17.5,0.0,9.8,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
5,Democratic Republic of Congo,0.0,4.3,14.6,0.0,11.1,10.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,4.2,4.7,0.0,10.2,0.0,4.5,10.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,5.7,22.0,6.2,19.5,21.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,8.4,7.3,3.8,25.3,7.2,17.2,27.1,17.1,0.0,9.4,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,3.3,12.8,4.0,8.3,9.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,2.6,3.6,2.7,15.9,4.2,9.1,16.0,10.8,0.0,5.7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,0.0,0.0,13.0,4.3,8.9,10.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,2.3,4.1,2.6,15.1,4.0,7.3,14.4,10.9,0.0,5.6,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.0,4.8,26.1,6.1,20.7,20.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,3.7,4.6,2.8,23.4,6.5,11.7,23.1,11.2,0.0,5.3,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
