,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,9.79,5.197,8.508,5.664,10.608,5.725,7.416,5.087,9.131,9.43,12.457,7.519,8.209,4.706,6.238,5.127,9.863,4.388,7.703,7.898,11.511,9.277,15.674,8.6,10.254,6.235,8.16,5.71,13.33,4.636,7.617,5.896,7.123,7.678,13.611,5.85,9.582,5.539,9.833,9.912,14.66,8.221,8.655,4.996,6.769,0.0,9.106,4.782,8.282,7.233,9.582,10.077,17.175,6.415,11.499,7.111,8.685,6.183,12.634,6.61
1,1808,15.076,5.734,8.05,7.135,11.737,8.874,9.326,5.545,11.578,13.208,13.232,8.972,9.881,4.922,7.696,5.136,12.17,4.871,7.098,8.649,15.625,13.818,18.005,12.359,15.246,6.641,11.59,11.145,13.843,5.89,10.718,6.006,9.228,8.392,13.586,8.197,12.17,6.293,11.792,10.559,15.588,8.069,10.889,5.588,8.35,5.066,12.244,4.428,10.168,9.473,14.868,11.78,19.678,9.967,14.453,9.247,11.169,9.961,16.406,8.124
2,1815,15.32,5.273,8.649,7.117,14.258,8.386,9.021,6.824,11.59,11.395,14.514,8.612,10.882,4.199,7.141,6.012,11.407,5.627,7.745,9.112,15.845,14.392,16.43,11.395,15.735,7.831,10.901,8.313,13.257,6.058,10.058,5.774,10.608,8.63,14.734,7.782,11.505,5.612,12.536,10.937,14.673,8.459,10.571,4.495,8.093,6.18,10.467,5.914,10.046,8.771,14.575,11.066,17.761,9.515,16.028,8.081,11.407,9.198,17.944,9.009
3,1823,13.537,5.914,9.204,7.056,13.171,8.63,8.771,6.518,11.395,10.998,14.917,9.1,8.893,5.331,7.422,4.736,11.42,0.0,8.374,9.442,16.736,15.112,17.798,11.505,15.063,5.594,7.446,8.478,13.476,7.526,8.923,5.612,11.243,9.076,13.037,7.739,12.494,5.905,11.566,10.388,16.455,7.489,10.315,6.061,7.965,4.953,11.084,5.652,9.473,9.283,16.284,10.669,18.823,9.845,14.49,9.375,10.992,8.685,16.162,8.264
4,1830,14.709,4.84,9.985,6.311,13.757,9.289,9.888,6.366,12.866,9.833,15.466,9.753,10.834,5.313,7.8,4.977,11.853,4.752,7.55,10.199,15.466,13.623,19.873,12.018,16.76,6.927,10.815,7.397,12.793,8.392,11.7,6.836,9.204,6.872,13.672,8.63,11.908,6.671,13.0,9.784,14.856,9.051,10.724,6.86,8.002,6.082,11.493,5.429,10.181,9.827,14.148,10.242,19.714,9.686,15.735,8.771,11.291,8.661,13.916,7.819
5,1838,14.844,6.219,10.12,8.319,13.025,9.369,8.917,6.659,11.792,11.957,14.722,8.948,10.254,5.557,7.587,5.112,12.213,5.383,7.721,9.57,16.504,15.613,19.275,12.915,15.735,7.373,9.827,8.984,14.599,1.568,10.388,6.512,10.223,7.507,12.781,8.527,11.682,6.952,12.042,10.358,16.321,9.033,11.462,5.746,8.264,6.073,15.234,6.201,10.168,9.918,12.756,11.865,21.777,10.223,17.651,8.496,12.244,10.431,17.468,8.472
6,1845,13.318,5.307,9.473,6.061,14.416,8.618,8.319,6.268,9.985,12.018,12.793,8.716,9.173,5.688,7.934,5.646,11.737,5.487,7.819,9.119,15.454,14.014,17.114,11.688,16.186,6.1,10.101,7.532,14.184,6.5,9.949,5.533,10.889,8.874,12.683,7.953,10.278,5.753,11.639,10.419,16.199,8.716,10.925,5.511,8.337,0.0,13.464,4.709,9.93,9.961,13.623,11.432,20.471,9.357,13.244,8.453,12.164,7.196,15.661,7.349
7,1852,14.709,6.653,10.223,9.35,14.416,8.575,8.203,6.72,12.067,12.408,13.721,8.484,10.376,5.566,8.295,4.608,11.78,4.959,8.124,9.912,15.759,15.637,18.725,11.883,15.845,6.049,10.754,7.489,12.079,1.432,9.766,5.661,12.067,8.203,14.282,7.22,12.768,6.879,11.304,11.053,16.772,9.271,10.742,5.154,7.379,6.714,11.682,5.591,10.4,10.181,14.844,11.059,19.861,8.404,13.33,7.831,12.988,8.813,19.763,8.813
8,1860,13.891,6.042,10.229,7.391,13.55,8.063,8.893,6.988,12.268,11.023,12.298,9.839,12.451,5.899,6.671,5.524,10.388,5.621,8.49,10.449,17.871,15.149,19.104,13.367,15.954,7.684,13.513,8.203,13.0,8.27,11.816,6.033,8.966,8.728,13.769,8.929,12.262,6.171,13.806,10.327,16.345,9.924,12.457,5.164,8.087,5.078,11.822,5.554,8.935,9.314,15.088,12.683,16.394,9.442,15.088,8.398,11.23,7.977,16.711,7.709
9,1867,12.201,5.481,9.119,7.989,15.173,9.283,9.21,6.518,10.004,12.067,13.098,9.259,9.485,4.736,7.867,5.362,11.645,4.752,7.526,9.186,15.051,13.33,16.882,11.34,14.819,5.42,9.198,2.106,12.646,1.544,9.338,5.716,8.496,6.482,15.332,7.428,10.583,6.216,11.365,9.552,15.881,7.214,10.406,5.255,7.782,5.402,12.561,5.838,10.15,9.717,13.598,9.021,18.725,8.917,13.232,6.854,9.088,8.368,13.952,7.312
10,1875,11.529,5.933,9.393,6.909,12.536,8.545,9.753,5.746,11.157,10.571,13.623,8.398,9.418,5.243,6.885,4.034,10.937,5.975,7.989,8.52,15.1,15.051,17.468,11.34,13.769,5.957,10.51,7.294,12.268,5.347,8.996,6.216,10.394,8.984,13.183,8.612,9.949,7.22,12.158,8.691,16.101,8.575,9.399,5.078,7.44,4.752,12.121,4.666,9.79,8.331,14.917,11.359,19.177,7.605,13.257,7.385,11.59,6.769,15.527,6.335
11,1882,11.529,5.267,9.412,5.71,14.184,8.807,8.783,5.804,11.151,10.327,13.0,9.155,9.491,4.639,6.86,4.501,12.079,4.849,6.695,8.948,14.892,15.21,16.723,11.322,13.537,4.797,9.076,7.391,13.391,5.835,7.703,5.124,10.022,8.203,13.635,7.623,9.735,6.348,11.365,10.187,15.112,8.514,8.813,5.414,6.634,5.42,13.66,1.346,9.18,8.612,13.696,9.991,17.724,8.026,13.269,8.35,12.048,7.416,14.416,8.606
12,1889,12.842,5.746,9.479,6.708,14.014,9.985,8.899,5.572,10.968,11.859,13.66,9.106,9.869,4.837,7.465,5.374,11.474,5.374,6.219,8.789,14.526,14.355,15.869,11.731,13.525,6.201,2.464,6.757,11.432,6.818,8.081,5.453,8.685,6.732,13.415,1.996,11.548,6.885,11.267,10.217,15.002,9.869,9.119,5.386,6.866,5.453,12.079,1.423,8.276,8.942,15.832,10.62,17.212,8.887,13.33,7.501,10.742,6.866,14.758,8.411
13,1897,12.213,5.16,9.119,6.592,14.282,8.118,8.966,5.518,10.01,11.053,13.074,9.119,9.589,3.821,8.16,0.0,11.859,5.945,6.897,9.796,15.234,14.014,17.346,12.549,14.062,5.923,8.447,7.007,10.577,7.123,9.564,5.508,10.071,7.068,12.952,7.666,12.048,6.61,10.931,10.4,14.636,7.904,8.27,4.468,6.671,4.651,13.086,4.913,8.49,8.972,13.806,10.699,20.117,8.923,13.391,7.098,11.383,9.576,16.723,9.088
14,1904,11.139,4.01,9.039,6.537,14.392,8.844,8.881,5.731,12.512,10.925,12.854,8.435,9.521,4.08,7.574,0.0,12.683,0.0,8.002,9.485,15.259,13.086,18.115,11.194,12.433,6.653,2.602,7.812,12.634,1.989,7.806,4.678,8.374,1.943,12.683,6.921,10.84,5.875,11.822,9.228,15.405,7.989,8.905,4.974,6.482,5.102,12.744,5.606,9.631,8.527,13.232,11.651,18.408,8.777,13.562,6.75,10.022,7.428,14.477,7.281
15,1912,11.749,4.922,10.809,6.348,14.319,8.673,8.545,6.952,13.281,12.189,14.392,9.93,9.912,4.907,6.531,6.125,12.488,5.145,8.313,10.535,15.906,12.115,16.675,12.854,13.855,6.793,9.741,8.734,12.72,6.433,7.776,5.777,9.167,2.161,13.55,8.856,9.985,6.421,12.671,11.206,17.212,10.333,10.62,4.831,7.043,7.318,12.134,6.045,9.686,8.459,13.928,12.274,19.482,9.558,14.099,7.556,10.73,10.431,16.699,2.482
16,1919,14.892,5.633,9.589,8.234,12.781,9.79,8.807,6.256,11.676,11.841,13.513,8.734,9.375,5.511,7.971,4.886,11.847,5.588,7.733,10.339,16.821,13.061,18.152,10.651,12.781,5.374,10.217,7.458,12.829,6.274,8.423,5.307,2.767,6.976,14.221,1.832,11.554,5.865,11.615,9.241,14.416,8.252,10.126,4.309,7.373,8.002,12.536,1.671,9.729,8.301,13.733,11.413,18.298,9.271,13.281,6.549,9.07,7.342,15.173,7.58
17,1927,11.676,6.14,9.851,6.94,15.039,9.589,9.125,6.952,11.035,11.914,12.396,9.259,9.442,5.438,6.958,5.902,12.781,5.548,8.16,10.052,15.82,13.733,17.187,12.237,13.647,5.826,2.044,6.714,10.712,7.532,7.715,5.838,9.235,7.666,14.477,2.098,9.564,7.049,15.283,11.835,16.894,8.99,9.912,5.63,5.792,6.171,12.378,1.418,9.186,9.723,13.989,11.194,17.468,9.485,12.781,6.927,8.191,9.064,16.211,7.574
18,1934,12.274,7.465,11.78,7.422,15.246,10.107,9.369,7.593,14.538,12.817,14.587,9.833,10.144,5.322,6.86,5.594,13.086,4.593,8.563,11.81,16.382,16.406,18.945,12.781,15.747,6.848,9.192,6.982,13.269,1.664,10.046,5.78,11.072,8.319,15.747,2.323,11.914,7.001,14.209,10.882,16.504,7.806,9.332,5.069,7.037,6.409,12.305,5.728,9.643,8.197,16.321,10.895,18.603,8.697,14.612,7.672,10.272,8.392,15.307,1.876
19,1941,11.926,5.228,9.918,8.05,13.952,8.887,8.722,7.049,11.517,10.388,13.879,11.731,10.15,5.453,6.732,4.214,13.11,5.646,7.403,9.326,17.224,13.55,18.835,11.322,13.025,6.229,9.125,2.124,12.598,9.228,7.745,5.45,8.337,2.081,11.645,8.179,11.426,7.599,12.494,11.151,14.306,9.479,8.105,4.678,7.519,5.023,12.646,4.971,9.21,8.758,13.403,10.461,17.785,11.883,13.122,7.379,9.033,7.819,12.793,2.268
