,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,15.674,7.281,11.407,10.712,10.931,12.903,9.857,9.143,13.489,13.696,12.793,13.244,14.856,0.0,5.832,0.0,7.269,6.073,6.689,10.229,16.504,14.111,16.748,16.064,13.989,9.259,12.225,11.017,12.128,10.528,11.297,7.397,12.445,10.339,12.048,3.235,12.549,10.852,12.561,13.94,0.0,15.039,17.126,4.861,6.097,6.094,4.745,7.007,11.017,12.164,13.891,15.039,20.508,12.152,19.006,8.008,10.937,12.634,14.197,10.48
1,Yemen,15.21,0.0,7.947,7.587,7.996,10.742,7.489,6.58,11.157,12.164,10.303,8.111,11.395,0.0,0.0,0.0,2.205,0.0,4.971,8.325,12.402,11.92,11.902,10.907,10.699,1.808,8.624,2.155,8.246,8.52,9.857,6.372,8.124,8.002,13.428,8.179,9.076,8.99,12.915,12.28,0.0,14.905,12.915,0.0,1.523,6.027,2.664,1.483,5.841,10.101,11.334,12.842,15.051,3.485,16.26,1.863,8.27,2.694,9.601,2.545
2,Iraq,14.538,6.818,10.382,6.274,10.84,9.912,8.771,6.976,10.431,10.974,12.085,8.746,11.792,0.0,6.708,0.0,2.586,0.0,6.042,8.771,12.042,10.095,13.977,12.237,10.986,7.422,8.618,7.214,8.551,8.478,8.893,6.836,9.277,6.921,11.987,1.895,10.504,8.935,11.474,9.509,13.989,11.182,17.871,4.77,6.372,0.0,6.702,6.293,9.393,9.051,10.943,10.657,14.184,10.821,14.868,7.465,10.663,10.144,9.131,9.93
3,Pakistan,12.915,0.0,0.0,6.616,0.0,9.778,6.39,8.093,10.443,7.819,12.274,8.38,11.743,0.0,0.0,0.0,2.711,0.0,1.862,8.502,15.307,12.598,13.293,12.469,10.73,6.488,9.564,7.794,8.246,6.94,9.058,5.597,1.92,7.349,12.292,2.222,9.045,9.357,3.894,7.599,0.0,2.362,12.622,0.0,2.354,0.0,3.088,0.0,2.322,10.98,17.09,11.053,15.82,2.537,13.794,7.043,10.901,8.704,0.0,2.429
4,Syria,12.976,0.0,9.527,6.885,9.491,8.209,7.672,6.055,11.365,9.119,8.984,6.366,10.748,0.0,0.0,0.0,2.478,0.0,5.344,8.923,9.192,8.429,11.926,11.731,9.967,6.958,7.611,1.87,8.099,1.967,10.126,6.714,7.837,7.111,8.069,2.005,8.819,9.369,10.608,10.132,10.51,3.605,12.927,0.0,4.279,5.493,7.507,0.0,7.745,10.297,10.62,9.442,11.517,8.948,14.05,1.702,10.748,8.642,8.264,2.197
5,Democratic Republic of Congo,12.536,5.966,8.38,5.844,10.022,7.751,7.385,6.415,8.539,9.393,11.975,7.434,9.344,3.781,4.263,0.0,7.294,0.0,2.01,8.111,11.804,8.917,13.183,9.125,8.905,6.622,7.574,1.643,11.053,0.0,8.655,5.197,7.989,0.0,7.123,1.476,10.113,10.358,12.536,9.857,10.297,1.867,8.826,4.602,5.371,0.0,3.192,1.596,5.969,10.156,11.89,8.948,14.624,2.468,13.452,7.764,9.93,1.89,0.0,1.326
6,Iran,19.873,0.0,8.398,10.919,11.365,11.548,8.758,7.556,12.384,15.039,13.977,12.201,14.831,0.0,0.0,5.737,3.641,0.0,1.88,9.222,15.039,15.906,14.233,13.635,11.938,7.257,13.513,10.791,13.428,9.637,11.78,6.439,2.675,10.626,14.16,11.828,11.053,11.261,18.262,12.561,0.0,4.22,13.049,0.0,6.872,6.445,5.536,7.751,8.313,12.512,18.005,17.566,22.351,14.221,18.445,8.563,17.981,13.208,11.743,3.375
7,Mali,14.575,0.0,0.0,6.891,0.0,7.996,8.185,5.579,9.436,8.813,7.941,5.997,12.14,0.0,0.0,0.0,2.486,0.0,2.399,6.262,9.21,9.54,10.748,8.813,8.05,4.935,7.465,2.07,8.301,2.026,11.639,4.84,1.987,7.642,9.18,2.132,8.24,6.287,10.486,8.148,0.0,1.792,9.741,0.0,1.407,0.0,2.946,0.0,5.74,10.016,13.379,9.888,14.917,2.279,16.333,7.245,9.143,2.987,2.044,1.751
8,Chad,14.892,6.073,8.691,9.479,8.624,6.769,7.526,7.873,11.92,11.59,10.638,7.294,10.657,4.025,0.0,0.0,7.294,0.0,5.31,8.502,11.731,9.241,12.06,11.621,11.468,7.556,7.886,8.832,13.623,2.087,12.06,6.903,7.41,8.514,12.793,1.954,9.1,8.942,11.505,10.492,14.953,3.739,17.785,4.52,7.129,6.708,3.217,0.0,8.539,11.816,13.818,12.048,15.625,9.93,16.211,10.095,11.383,8.954,9.112,2.028
9,Saudi Arabia,17.187,7.275,13.44,10.95,15.393,15.344,9.985,8.813,17.395,15.002,18.628,17.505,12.976,5.481,3.519,5.676,4.51,8.057,5.576,11.175,16.382,18.799,13.122,14.026,8.185,11.053,20.569,13.904,18.176,21.777,16.382,8.624,17.712,13.0,15.771,13.281,12.048,14.355,23.889,13.55,0.0,12.097,11.511,6.311,5.121,6.927,12.952,6.61,7.495,12.598,27.636,22.51,29.663,15.149,17.908,11.206,24.89,16.553,20.898,14.136
