,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124,0.0,0.0,1.762,1.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.364,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.466,0.926,0.0,1.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098,1.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086
4,Syria,0.0,0.0,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.415,1.362,0.0,1.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.337,0.0,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052,0.0,0.0,0.977,0.0,0.0,1.199
7,Mali,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.494,0.834,0.757,0.959,0.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.438,1.487,0.0,0.0
8,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639,1.24,0.0,1.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0
9,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,1.128,0.0,2.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734,0.0,0.0,0.0,1.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697,1.946,2.385,1.84,0.824,0.0,1.595,0.0,0.0,0.0
