,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,12.167,1.176,8.077,2.139,9.727,12.298,10.316,3.038,46.362,2.13,9.991,15.112,12.619,3.76,6.139,3.912,6.531,7.547,14.34,3.0,15.765,3.168,12.265,20.006,12.515,3.342,8.691,4.562,3.77,10.44,10.144,0.0,47.875,2.376,3.629,31.881,9.869,35.965,48.858,2.251,10.907,15.17,16.061,43.835,42.968,3.186,6.369,7.075,14.239,45.419,36.554,30.267,5.894,15.692,14.3,2.121,12.677,3.577,5.562,6.479
1,1808,5.012,0.0,12.141,2.179,7.519,11.24,10.104,1.733,16.896,1.993,5.255,15.243,11.835,1.202,4.629,2.536,4.262,30.731,2.806,2.086,12.054,2.148,5.035,11.507,9.293,2.351,3.432,2.632,3.188,3.932,3.604,1.726,7.501,1.978,3.688,4.926,4.144,1.787,13.547,42.15,4.552,13.757,11.551,37.03,41.555,2.234,4.019,5.083,4.407,43.026,37.194,32.821,5.252,6.215,39.642,2.187,6.21,2.303,4.09,5.897
2,1815,4.698,0.0,9.102,2.319,3.488,41.302,9.073,2.046,45.709,1.92,4.124,13.736,5.138,1.366,4.837,2.887,3.789,2.495,2.963,2.678,5.753,1.909,4.767,10.452,9.457,2.352,2.988,2.715,2.328,3.719,3.394,1.938,4.025,2.281,3.643,4.526,4.156,1.907,11.133,2.226,3.748,6.673,4.996,42.627,4.742,2.46,3.482,5.44,4.254,46.484,38.873,34.243,5.101,30.81,42.804,2.255,5.78,2.406,3.455,5.029
3,1823,4.814,0.0,11.355,2.113,3.889,10.985,5.435,2.536,15.488,2.538,5.391,13.135,11.514,1.61,4.565,3.152,4.131,2.899,3.159,2.454,5.363,2.62,4.835,12.201,5.183,2.345,3.074,3.464,3.039,3.826,4.138,2.093,9.347,2.269,3.783,4.971,4.602,2.998,12.524,4.424,4.883,14.068,6.244,2.628,4.752,2.786,4.228,5.302,3.308,44.479,33.905,27.807,5.139,23.688,14.691,2.542,5.441,2.725,3.807,5.202
4,1830,4.43,0.0,11.899,4.131,3.64,11.771,10.068,1.817,51.623,2.139,5.334,12.506,4.988,44.903,49.346,2.342,3.876,4.787,4.41,2.238,60.394,44.455,5.397,57.153,8.847,2.055,2.823,4.018,2.895,3.748,3.424,1.706,8.902,2.164,3.896,5.292,4.749,1.493,12.993,2.551,4.9,14.563,12.793,41.378,41.333,1.888,55.847,5.202,4.5,48.449,38.647,34.076,4.994,31.097,41.687,1.643,4.982,2.487,2.15,4.799
5,1838,5.206,1.448,10.438,2.325,8.52,10.942,10.596,2.153,46.289,2.267,5.38,35.571,11.886,1.595,4.46,3.433,4.127,2.574,4.724,2.565,6.19,2.466,5.028,12.063,4.727,2.28,3.418,3.369,2.911,3.99,3.894,1.955,8.314,2.17,4.109,5.322,4.53,1.729,13.945,2.568,5.07,15.127,12.527,2.944,4.927,2.881,4.419,5.46,5.405,41.626,33.355,24.328,5.621,25.787,13.812,2.325,6.036,2.509,4.199,5.395
6,1845,4.774,1.305,9.12,2.319,3.788,10.986,10.162,2.155,15.381,2.032,5.171,14.023,10.693,1.25,4.541,2.797,4.176,2.383,4.759,2.673,6.058,2.246,5.049,13.125,9.119,2.061,3.149,4.618,2.821,3.934,4.191,1.601,3.916,2.063,3.011,4.861,4.254,3.128,13.217,2.342,4.369,14.41,11.89,45.605,4.762,2.466,3.973,5.019,4.686,46.02,39.019,33.853,5.757,5.853,13.971,1.933,5.272,2.798,3.472,5.582
7,1852,4.874,1.5,11.825,2.682,3.935,11.392,4.428,2.129,17.355,2.266,6.448,15.225,5.606,2.347,4.28,3.04,4.245,4.884,4.564,3.226,5.847,2.351,5.386,11.786,4.884,2.543,2.967,2.969,2.701,4.21,3.195,1.747,3.596,2.721,3.197,4.935,4.116,3.459,14.297,2.513,5.051,14.215,12.265,2.795,4.918,2.533,4.103,5.095,4.982,3.824,12.414,2.319,5.585,5.844,12.741,2.11,5.325,3.035,3.448,5.315
8,1860,4.581,0.842,3.271,2.66,3.844,4.709,9.421,1.765,54.522,2.664,6.195,5.37,4.529,1.884,4.304,2.35,4.593,5.661,4.52,2.505,59.997,44.967,6.049,60.833,8.267,1.287,2.232,2.612,3.358,3.471,2.982,1.958,3.758,2.962,3.525,4.622,4.246,1.81,12.784,3.223,5.542,15.375,5.714,45.48,52.301,2.301,4.071,6.012,5.28,47.076,6.468,2.31,5.626,36.865,43.804,1.596,4.768,2.821,3.355,5.327
9,1867,5.457,0.0,4.961,2.44,3.702,5.194,10.187,2.51,15.329,2.931,5.417,14.487,12.137,1.666,4.073,3.406,4.17,2.832,4.843,3.152,6.119,2.151,4.964,11.163,4.52,2.09,3.365,2.934,2.528,3.996,3.201,0.0,4.03,2.248,3.211,5.077,3.078,2.019,12.939,2.753,4.768,14.291,10.968,2.616,4.98,2.914,3.862,5.405,3.641,39.929,14.648,2.209,5.339,6.175,13.489,2.403,5.441,3.36,3.727,5.409
