,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,1.488,0.0,1.425,1.505,1.206,2.54,1.127,0.0,1.653,0.809,0.974,1.266,0.0,0.0,1.796,2.087,53.515,56.201,1.044,2.383,3.723,22.925,3.882,35.156,33.642,1.569,1.465,2.01,1.246,2.13,1.097,0.729,1.292,2.432,62.158,1.578,1.556,0.0,48.925,0.0,41.796,53.417,34.887,6.659,0.0,37.5,41.919,40.063,40.893,0.0,0.0,1.487,0.0,40.869,38.256,1.16,1.537,2.243,50.292,57.665
1,Yemen,1.054,0.0,1.595,1.709,1.366,2.213,1.317,0.0,10.126,0.0,0.0,0.0,0.0,33.496,1.124,1.326,54.003,57.128,55.126,1.564,1.335,21.924,2.844,22.4,29.492,1.181,1.475,1.474,0.953,1.952,1.025,0.912,1.173,1.53,0.59,1.561,1.517,5.652,0.0,11.877,10.332,48.486,47.447,6.146,0.0,36.377,9.304,39.135,42.114,5.026,0.0,38.525,4.587,43.872,0.0,42.456,1.031,1.698,45.996,63.964
2,Iraq,1.672,0.0,1.653,1.417,1.05,1.654,0.0,0.0,1.886,0.0,1.248,1.598,0.0,0.0,1.826,2.211,1.619,1.429,1.309,2.248,5.206,35.376,4.26,42.895,35.4,1.459,1.16,2.174,1.318,2.779,1.021,0.821,1.143,2.24,0.617,1.727,1.303,0.0,1.32,0.0,41.87,50.488,0.0,0.0,0.0,1.718,42.675,48.095,44.702,0.0,0.0,2.296,0.0,1.54,43.286,1.305,1.718,2.342,51.318,1.412
3,Pakistan,1.768,0.821,2.315,1.703,2.168,3.238,2.347,0.0,1.675,0.0,0.0,42.648,0.0,0.0,1.648,1.613,1.302,55.566,51.513,2.144,1.406,1.602,4.315,22.876,26.66,1.897,1.857,1.938,1.657,3.108,1.666,1.093,2.216,3.096,0.983,2.533,2.835,0.0,37.304,26.367,41.381,45.361,38.223,0.0,0.0,38.379,44.213,45.629,43.188,5.896,0.0,2.202,6.241,40.918,38.687,1.706,2.188,2.853,51.708,1.711
4,Syria,1.253,0.783,1.515,1.455,0.974,2.184,1.05,0.0,1.82,1.157,1.42,1.542,0.909,0.0,1.61,1.813,46.972,1.505,1.144,1.649,4.724,34.961,3.598,41.723,35.327,1.327,1.512,1.819,1.32,2.628,0.997,0.762,0.804,2.147,0.777,1.648,1.429,0.0,0.0,6.348,0.0,49.511,33.252,4.959,0.0,1.318,8.051,47.143,45.434,0.0,0.0,1.66,0.0,1.199,41.455,1.164,1.104,1.915,46.337,0.875
5,Democratic Republic of Congo,1.286,1.217,2.089,2.078,2.502,2.615,1.724,0.0,1.578,0.0,44.165,59.515,0.0,0.0,49.291,1.129,45.678,55.685,51.864,1.648,1.224,22.229,3.83,2.507,27.636,1.83,1.694,1.501,1.198,2.097,1.336,0.818,53.027,1.711,0.629,1.698,1.645,6.079,40.576,11.444,41.699,45.19,40.908,5.472,32.397,33.984,40.869,35.888,45.776,0.0,36.743,42.089,0.0,44.36,38.745,42.846,47.998,1.354,51.464,60.058
6,Iran,2.719,1.685,2.792,2.058,2.631,3.775,2.423,0.0,2.313,0.0,1.935,3.18,0.0,1.411,2.228,1.857,48.681,1.808,48.828,2.495,1.562,1.759,3.232,24.609,5.281,2.679,2.856,2.509,2.455,8.386,1.987,1.451,2.246,2.873,1.124,2.647,2.887,7.391,40.478,26.782,9.866,44.043,43.408,7.88,0.0,1.378,42.895,38.305,45.043,5.914,0.0,3.044,5.692,2.174,38.842,2.217,2.957,3.522,1.399,2.666
7,Mali,1.53,0.687,1.555,1.494,1.214,2.653,1.807,0.0,1.297,0.0,43.315,47.93,0.0,33.374,1.448,1.765,48.876,1.181,46.801,2.237,1.756,28.027,4.971,20.874,34.033,1.316,1.48,1.694,1.552,2.943,1.415,0.615,1.278,2.539,0.671,2.022,1.897,0.0,50.927,33.593,47.729,50.537,47.395,6.873,42.236,46.63,49.389,44.461,51.074,0.0,1.958,1.801,0.0,44.751,46.63,1.144,1.517,2.26,48.754,1.478
8,Chad,1.707,0.897,2.145,1.732,1.68,2.608,0.0,0.0,35.986,0.0,43.969,46.731,0.0,29.223,1.385,1.848,48.999,1.199,54.443,2.049,6.335,26.709,5.722,25.049,34.521,1.611,1.456,1.498,1.66,2.333,1.527,0.829,1.457,2.621,0.681,1.956,1.767,0.0,0.845,37.866,51.22,54.492,46.621,0.0,35.547,42.7,49.462,40.966,46.606,0.0,2.043,1.683,0.0,45.361,46.328,1.053,1.362,1.862,50.878,0.941
9,Saudi Arabia,0.951,1.033,1.793,2.182,1.672,3.421,2.06,0.0,11.813,0.0,11.106,43.255,0.0,37.768,1.157,54.54,55.859,49.096,57.568,2.368,1.638,1.605,2.594,25.586,23.462,1.582,1.653,1.881,1.263,2.711,1.104,0.858,1.067,2.153,59.472,2.064,1.411,8.096,42.553,29.516,8.732,43.359,47.705,8.348,0.0,38.501,9.507,37.671,44.311,5.075,0.0,2.199,5.136,39.599,39.99,1.299,1.656,2.531,51.953,1.429
10,Switzerland,1.418,0.609,1.958,1.494,1.173,2.179,2.042,0.0,1.402,0.0,0.0,42.253,0.0,0.0,1.718,1.435,33.13,1.223,44.897,2.084,0.0,28.711,4.083,1.758,25.146,1.048,1.544,1.551,1.233,2.538,1.349,0.0,1.51,1.897,0.743,1.481,1.678,0.0,1.122,31.787,7.379,40.429,41.284,0.0,1.233,1.582,42.773,44.384,48.559,0.0,0.0,2.054,7.507,1.929,42.504,0.0,2.048,2.01,0.98,2.026
11,Ireland,1.501,0.908,2.397,1.674,2.219,2.257,1.608,0.0,38.948,0.0,0.0,40.802,0.0,0.0,1.23,1.225,41.992,54.754,49.682,2.879,1.295,1.549,4.736,2.406,1.852,1.226,1.295,1.147,1.241,2.058,1.118,0.0,1.695,2.01,0.788,1.973,1.749,4.871,41.943,33.667,0.0,42.456,41.626,0.0,38.696,44.799,0.0,32.495,48.266,0.0,35.742,2.483,6.812,36.547,38.699,1.405,1.961,2.177,48.022,2.036
