,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,31.225,0.0,12.149,2.858,3.379,16.083,8.752,0.0,37.786,0.0,8.596,9.045,0.0,0.0,36.651,33.056,29.59,31.213,44.244,1.711,2.74,5.24,0.0,3.635,0.0,1.968,2.69,2.428,1.275,3.975,2.846,36.718,53.491,2.882,62.31,17.721,6.717,4.41,0.0,4.034,6.071,30.377,3.247,2.843,4.388,2.867,5.47,5.119,3.677,2.756,4.373,4.621,3.217,5.994,2.972,32.08,33.13,2.267,38.159,40.698
1,Yemen,31.543,0.0,12.35,5.794,5.579,17.743,10.37,0.0,8.12,0.0,4.78,6.576,20.721,0.0,37.497,39.795,31.787,32.226,43.579,0.672,2.037,0.0,0.0,4.19,8.038,1.459,2.447,4.028,1.025,53.643,47.674,1.907,52.532,39.077,4.149,18.353,13.98,3.128,6.519,4.37,6.932,7.798,8.996,3.62,4.036,4.324,8.034,6.277,7.75,1.958,3.838,5.231,3.036,6.242,2.893,0.0,32.763,2.338,0.0,38.159
2,Iraq,2.272,0.0,4.772,2.934,60.027,10.37,6.747,0.0,39.511,0.0,0.684,8.163,0.0,0.0,31.518,1.988,31.836,32.287,1.837,1.64,2.821,19.324,2.679,25.885,14.514,2.415,2.767,3.728,1.44,4.433,6.761,1.724,4.263,2.693,60.826,11.453,5.589,0.0,31.274,6.372,7.129,31.128,7.519,3.641,0.0,23.511,6.866,7.156,0.0,0.784,0.0,30.029,5.942,0.0,4.161,2.309,2.237,3.671,46.997,49.145
3,Pakistan,36.328,0.0,6.053,4.416,5.104,9.637,4.367,0.0,7.896,3.188,6.281,8.847,0.0,0.0,32.354,31.787,35.852,9.648,40.771,1.443,4.029,0.0,2.081,21.142,10.937,3.056,3.552,4.903,1.773,5.438,3.229,3.021,7.184,5.939,4.109,19.513,8.589,4.275,7.398,4.983,8.235,7.534,5.696,5.25,0.0,5.267,9.109,6.334,0.0,3.976,4.634,5.465,4.089,5.73,6.175,0.0,0.0,3.329,30.298,33.813
4,Syria,53.466,0.0,5.029,47.631,62.777,13.348,52.49,0.0,40.911,0.0,37.671,36.953,32.507,0.0,37.352,1.333,24.951,35.211,37.695,1.122,3.738,20.544,2.348,22.046,16.736,1.727,2.197,3.652,1.44,4.544,6.085,35.693,50.323,2.551,57.824,57.849,5.313,2.783,0.0,4.156,4.218,8.164,2.684,2.84,0.0,10.01,5.045,6.718,0.0,3.705,4.388,25.537,4.373,7.286,4.297,1.613,40.21,2.29,35.913,47.534
5,Democratic Republic of Congo,38.745,26.416,53.033,7.019,5.061,20.636,10.382,0.0,10.628,2.878,6.506,8.578,23.251,0.0,37.225,30.835,30.243,33.276,38.488,1.373,2.859,5.826,2.115,4.772,11.987,1.545,58.897,40.631,56.738,48.04,8.667,40.51,44.403,30.06,59.045,46.801,11.395,4.44,30.249,3.873,8.639,32.827,29.535,4.062,0.0,5.2,8.757,5.734,13.187,2.666,0.0,21.655,4.498,6.146,5.744,0.0,37.524,37.573,42.26,43.945
6,Iran,2.87,3.436,6.349,4.214,5.211,20.801,12.363,0.757,7.963,3.433,4.278,8.327,0.0,0.0,34.692,26.172,9.235,8.918,40.21,1.265,1.88,0.693,0.0,6.979,8.197,3.033,3.987,4.77,2.04,6.512,9.35,3.975,7.44,4.492,4.068,21.551,7.819,3.818,7.365,5.036,7.19,7.48,7.936,3.844,0.0,5.469,6.671,5.573,0.0,2.02,4.291,6.4,2.547,4.709,6.091,0.977,3.04,3.464,7.204,29.077
7,Mali,2.855,0.0,6.549,3.445,49.893,17.914,12.988,0.0,8.392,2.643,3.818,5.83,16.604,0.0,33.926,34.716,19.641,36.132,33.923,1.926,2.684,10.882,2.196,11.2,16.577,2.934,3.889,4.608,1.991,5.551,12.466,2.554,6.657,3.931,3.607,48.901,7.307,3.662,35.937,5.405,7.399,31.195,33.642,3.128,0.0,6.427,7.748,5.838,0.0,4.095,0.0,29.205,4.434,7.222,6.779,0.0,33.13,2.702,35.742,42.358
8,Chad,2.798,0.0,5.376,3.421,44.628,8.327,5.54,0.0,8.403,16.693,4.26,8.83,23.227,0.0,29.931,39.526,30.688,34.106,42.828,1.424,2.151,8.99,0.0,13.098,8.166,2.414,2.359,4.224,41.43,12.546,6.995,2.226,45.05,3.363,3.448,17.505,6.784,3.693,31.176,7.257,7.503,31.347,32.238,4.239,0.0,6.873,36.126,7.073,0.0,3.561,0.0,22.473,5.448,8.274,7.07,0.0,38.208,2.438,39.721,45.141
9,Saudi Arabia,10.64,2.765,15.637,5.078,5.58,24.988,11.499,1.372,6.087,0.0,4.426,8.62,7.159,0.0,38.739,6.271,42.395,10.348,42.913,0.0,4.364,2.268,2.451,26.69,6.909,2.007,2.887,41.607,1.074,46.27,3.04,2.817,7.89,4.55,4.47,23.718,7.292,5.573,7.049,4.958,6.856,7.22,9.9,5.043,5.949,5.249,7.686,5.94,9.369,2.36,3.469,6.064,4.058,5.932,6.386,3.406,5.655,8.201,3.303,14.97
