,date,"[NLU] In 2016, <extra_id_0> has become an adult.","[NLU] In 2016, <extra_id_0> was a kid.","[NLU] In 2016, <extra_id_0> was a teenager.","[NLU] In 2016, <extra_id_0> was a grown up.","[NLU] In 2016, <extra_id_0> was a child.","[NLU] In 2016, <extra_id_0> was an adolescent.","[NLU] In 2016, <extra_id_0> was an adult.","[NLU] In 2016, <extra_id_0> is a kid.","[NLU] In 2016, <extra_id_0> is a teenager.","[NLU] In 2016, <extra_id_0> is a grown up.","[NLU] In 2016, <extra_id_0> is a child.","[NLU] In 2016, <extra_id_0> is an adolescent.","[NLU] In 2016, <extra_id_0> is an adult.","[NLU] In 2016, <extra_id_0> will be a kid.","[NLU] In 2016, <extra_id_0> will be a teenager.","[NLU] In 2016, <extra_id_0> will be a grown up.","[NLU] In 2016, <extra_id_0> will be a child.","[NLU] In 2016, <extra_id_0> will be an adolescent.","[NLU] In 2016, <extra_id_0> will be an adult.","[NLU] In 2016, <extra_id_0> is being a kid.","[NLU] In 2016, <extra_id_0> is being a teenager.","[NLU] In 2016, <extra_id_0> is being a grown up.","[NLU] In 2016, <extra_id_0> is being a child.","[NLU] In 2016, <extra_id_0> is being an adolescent.","[NLU] In 2016, <extra_id_0> is being an adult.","[NLU] In 2016, <extra_id_0> has been a kid.","[NLU] In 2016, <extra_id_0> has been a teenager.","[NLU] In 2016, <extra_id_0> has been a grown up.","[NLU] In 2016, <extra_id_0> has been a child.","[NLU] In 2016, <extra_id_0> has been an adolescent.","[NLU] In 2016, <extra_id_0> has been an adult.","[NLU] In 2016, <extra_id_0> became a kid.","[NLU] In 2016, <extra_id_0> became a teenager.","[NLU] In 2016, <extra_id_0> became a grown up.","[NLU] In 2016, <extra_id_0> became a child.","[NLU] In 2016, <extra_id_0> became an adolescent.","[NLU] In 2016, <extra_id_0> became an adult.","[NLU] In 2016, <extra_id_0> becomes a kid.","[NLU] In 2016, <extra_id_0> becomes a teenager.","[NLU] In 2016, <extra_id_0> becomes a grown up.","[NLU] In 2016, <extra_id_0> becomes a child.","[NLU] In 2016, <extra_id_0> becomes an adolescent.","[NLU] In 2016, <extra_id_0> becomes an adult.","[NLU] In 2016, <extra_id_0> will become a kid.","[NLU] In 2016, <extra_id_0> will become a teenager.","[NLU] In 2016, <extra_id_0> will become a grown up.","[NLU] In 2016, <extra_id_0> will become a child.","[NLU] In 2016, <extra_id_0> will become an adolescent.","[NLU] In 2016, <extra_id_0> will become an adult.","[NLU] In 2016, <extra_id_0> is becoming a kid.","[NLU] In 2016, <extra_id_0> is becoming a teenager.","[NLU] In 2016, <extra_id_0> is becoming a grown up.","[NLU] In 2016, <extra_id_0> is becoming a child.","[NLU] In 2016, <extra_id_0> is becoming an adolescent.","[NLU] In 2016, <extra_id_0> is becoming an adult.","[NLU] In 2016, <extra_id_0> has become a kid.","[NLU] In 2016, <extra_id_0> has become a teenager.","[NLU] In 2016, <extra_id_0> has become a grown up.","[NLU] In 2016, <extra_id_0> has become a child.","[NLU] In 2016, <extra_id_0> has become an adolescent."
0,1801,0.0,0.0,0.285,0.382,0.0,0.504,0.781,0.0,0.0,0.0,0.235,8.24,0.849,0.0,0.79,0.486,0.0,0.356,0.484,0.0,0.194,0.0,0.234,0.0,0.0,0.0,0.626,0.592,10.849,0.0,0.621,0.0,0.464,0.556,0.309,0.375,0.396,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.627,0.0,0.0,0.632,0.414,0.0,38.183,0.0,4.224,43.53,35.937,0.0,0.0,0.458,0.228,0.0
1,1808,0.0,0.0,0.983,0.467,0.0,0.306,0.684,0.0,57.592,8.441,0.0,0.0,1.024,0.0,0.79,0.688,0.497,0.391,0.923,0.301,0.0,0.486,0.535,0.0,0.0,0.0,50.012,0.772,0.0,0.0,0.756,0.273,0.391,0.487,0.429,0.332,0.384,0.344,0.0,0.536,0.0,0.0,0.286,0.432,0.634,0.422,1.903,0.448,0.591,0.0,0.0,31.872,4.793,0.0,37.133,0.0,0.0,0.475,0.42,0.0
2,1815,0.0,0.0,0.471,0.458,0.0,0.0,0.674,0.0,51.66,0.285,0.321,0.0,1.045,0.443,0.776,0.7,0.142,0.4,0.925,0.261,0.0,0.352,0.581,0.0,0.238,0.0,25.104,0.716,0.0,0.0,0.662,0.175,0.274,0.478,0.56,0.282,0.377,0.23,2.523,0.472,0.227,0.0,0.208,0.414,0.577,0.497,0.0,0.337,0.525,0.0,0.0,34.46,2.357,0.0,36.682,8.954,0.0,0.459,0.378,0.0
3,1823,0.0,0.262,0.419,0.435,0.0,0.355,0.565,0.0,58.288,0.338,0.064,0.0,1.108,0.21,0.708,0.564,0.132,0.425,0.803,0.219,0.369,0.584,0.555,0.206,0.0,0.0,48.937,0.818,0.356,0.185,0.66,0.354,0.464,0.52,0.602,0.48,0.361,0.639,2.324,0.553,0.244,0.0,0.297,0.555,0.549,0.374,1.057,0.327,0.553,0.0,36.535,32.342,23.181,0.0,33.96,0.0,0.367,0.453,0.381,0.0
4,1830,0.0,0.0,0.428,0.48,0.0,0.257,1.294,0.0,51.928,0.749,0.492,0.0,1.367,0.164,0.805,0.614,0.244,0.882,1.183,0.0,0.0,0.368,0.486,0.0,0.0,0.0,46.569,0.842,0.343,0.0,1.465,0.513,0.461,0.569,0.734,0.375,0.438,0.424,2.648,0.539,0.195,0.169,0.24,0.541,0.683,0.519,1.024,0.439,0.729,0.0,42.273,32.605,23.987,0.0,37.475,0.0,0.348,0.438,0.501,0.142
5,1838,0.0,0.316,0.449,0.514,0.0,0.0,0.93,0.0,53.906,0.328,0.442,0.0,0.976,0.263,0.45,0.58,0.481,0.434,0.487,1.738,0.298,0.723,0.583,0.0,0.0,0.0,50.891,0.865,0.492,0.164,0.679,0.316,0.503,0.651,0.649,0.444,0.41,0.654,22.851,0.542,0.217,0.0,0.262,16.992,0.574,0.448,0.527,0.342,0.5,0.0,37.402,30.664,22.473,0.0,36.621,2.629,0.0,0.531,0.47,0.0
6,1845,24.249,0.0,0.39,0.467,0.0,0.0,1.085,2.719,54.943,9.662,0.205,0.0,1.022,0.157,0.676,0.62,0.0,0.38,0.695,0.303,0.0,0.364,0.479,0.0,0.283,0.0,44.445,0.826,0.278,0.184,0.786,0.457,0.446,0.605,0.625,0.406,0.449,0.499,1.827,0.403,0.0,0.0,0.187,0.754,0.679,0.497,0.261,0.409,0.529,0.0,41.711,34.997,25.451,0.0,39.526,0.2,0.0,0.418,0.422,0.0
7,1852,21.774,0.0,0.522,0.552,0.0,0.248,1.326,0.0,52.673,0.787,0.294,0.0,1.402,0.46,0.818,0.591,0.0,0.44,0.738,0.0,0.0,0.621,0.588,0.0,0.0,0.182,47.827,0.539,0.571,0.229,1.077,0.578,0.726,0.631,0.691,0.456,0.514,0.591,0.0,0.409,0.188,25.183,0.365,0.883,0.804,0.469,1.235,0.471,0.327,0.188,40.942,0.294,23.498,0.0,37.658,0.0,0.0,0.463,0.517,2.966
8,1860,0.0,0.0,0.596,0.486,0.118,0.0,1.25,42.829,51.782,0.489,0.736,0.186,0.871,0.417,1.322,0.786,0.916,0.339,1.078,0.0,0.0,0.435,0.0,0.0,0.0,0.212,14.691,0.855,0.714,0.0,1.192,0.799,0.0,0.601,0.598,0.356,0.546,0.484,2.332,19.104,0.23,0.0,0.341,0.703,1.293,0.536,0.319,0.37,0.379,0.0,40.1,29.895,2.467,0.0,35.095,0.0,0.0,30.768,0.338,0.0
9,1867,0.196,0.0,0.508,0.522,0.0,0.218,0.958,0.0,51.953,0.676,0.327,0.0,1.215,0.459,0.53,0.627,0.46,0.537,0.648,0.464,0.422,0.539,0.503,0.0,0.0,1.724,43.737,0.71,0.391,0.0,0.881,0.486,0.437,0.614,0.667,0.361,0.567,0.556,0.0,0.373,0.159,0.0,0.256,15.332,0.611,0.54,1.856,0.428,0.491,0.245,36.474,0.0,2.471,0.0,34.094,0.0,0.0,0.415,0.466,0.0
10,1875,0.0,0.0,0.466,0.532,0.0,0.182,1.344,2.74,53.491,0.704,0.226,0.0,1.229,0.481,0.8,0.681,0.388,0.499,0.742,0.245,0.0,0.396,0.391,0.0,0.0,0.0,42.712,0.643,0.587,0.0,1.27,0.639,0.451,0.572,0.719,0.285,0.543,0.406,2.512,0.339,0.0,0.0,0.239,0.492,0.696,0.605,0.419,1.292,0.33,0.0,40.002,35.095,0.0,0.0,39.196,0.0,0.0,26.263,0.287,27.752
11,1882,0.0,0.0,0.605,0.558,0.0,0.223,1.52,3.055,52.905,0.352,0.263,0.0,1.251,0.0,0.941,0.786,0.445,0.632,0.696,0.0,0.416,0.548,0.647,0.0,0.0,0.182,3.729,0.606,0.745,0.256,0.976,0.852,0.464,0.588,0.786,0.362,0.523,7.599,0.0,0.357,0.189,0.129,0.41,1.591,0.734,0.655,1.791,0.606,0.284,0.18,38.427,0.14,4.217,0.0,36.84,0.0,0.0,0.439,0.549,3.979
12,1889,0.15,0.0,0.506,0.541,0.0,0.0,3.215,2.673,53.82,12.732,0.251,0.0,1.086,0.113,0.792,0.848,0.58,0.566,0.648,0.0,0.0,0.543,0.454,0.0,0.278,0.196,0.0,0.939,0.533,0.0,1.387,0.724,0.381,0.539,0.717,0.356,0.541,24.353,2.513,2.283,0.218,0.0,0.275,0.775,0.832,0.666,0.437,0.532,0.336,0.0,38.659,36.645,0.0,0.0,41.345,0.0,0.0,24.615,0.35,0.088
13,1897,0.31,0.0,0.68,0.554,0.0,0.297,12.751,2.682,0.0,11.456,0.195,0.0,1.189,0.18,6.821,0.831,0.383,0.694,0.57,0.411,0.0,0.743,0.627,0.0,0.0,1.263,0.0,0.955,0.482,0.0,1.172,0.516,0.44,0.616,0.745,0.421,0.595,0.363,0.0,0.334,0.352,0.0,0.376,1.022,0.755,0.598,0.307,0.632,0.398,0.0,38.0,0.0,5.669,0.0,38.781,0.0,0.0,23.944,0.409,0.0
14,1904,0.179,0.0,0.518,0.629,0.0,0.251,11.955,0.0,10.663,0.258,0.275,0.145,1.16,0.0,0.9,0.834,0.0,0.625,0.514,0.0,0.0,1.045,0.546,0.0,0.0,0.178,0.133,0.947,0.716,0.0,0.969,8.905,0.499,0.656,0.718,0.404,0.58,0.126,24.042,0.328,0.283,0.135,0.21,0.718,1.044,0.693,0.305,0.657,0.425,0.0,39.965,0.0,0.0,0.0,38.256,0.152,0.0,24.212,0.287,24.67
15,1912,0.145,0.452,0.568,0.682,0.0,0.365,1.132,2.161,0.0,0.335,0.307,0.228,1.373,0.0,10.622,0.945,0.0,0.564,0.0,0.0,0.06,0.416,0.255,0.0,0.244,0.279,0.0,1.052,0.602,0.0,1.393,0.528,0.632,0.768,0.693,0.407,0.622,0.633,0.475,1.417,0.487,0.114,0.332,0.756,10.946,0.877,0.494,0.821,0.39,0.0,41.247,34.204,0.0,0.0,36.12,0.27,0.0,26.816,0.42,0.216
16,1919,0.203,0.0,0.589,0.552,0.0,0.262,0.558,2.739,0.0,14.001,0.237,0.091,0.604,1.299,0.518,10.293,0.0,0.715,0.64,0.0,0.0,0.157,0.0,0.0,0.251,0.0,0.0,1.124,0.0,0.0,0.93,0.363,0.327,0.627,0.373,0.255,0.576,0.417,2.151,0.285,0.475,0.406,0.195,0.434,0.666,0.751,0.0,0.593,0.332,0.167,40.405,28.357,0.0,33.386,32.324,0.0,0.0,0.489,0.392,0.0
17,1927,0.275,0.27,0.534,0.669,0.0,0.278,0.643,0.0,0.087,40.045,0.236,0.11,0.968,0.0,0.71,0.746,0.0,0.486,0.0,0.0,0.0,0.846,0.398,0.0,0.298,0.254,0.0,0.949,0.278,0.0,0.82,0.489,0.522,0.72,0.66,0.32,0.497,0.165,0.105,1.493,0.277,0.11,0.216,0.843,0.754,0.635,0.0,0.528,0.475,0.0,41.247,32.434,0.0,0.0,36.743,0.334,0.0,27.163,0.344,0.193
18,1934,0.139,0.193,0.359,0.71,0.0,0.0,0.6,2.663,0.0,40.686,0.216,0.082,0.628,0.0,0.774,0.966,0.559,0.692,0.452,0.0,0.0,0.208,0.0,0.0,0.0,0.31,0.127,0.872,0.0,0.0,0.964,0.654,0.426,0.699,0.597,0.288,0.511,0.227,2.271,1.116,0.213,2.411,0.2,0.891,0.943,0.611,1.64,0.643,0.518,0.181,39.721,30.591,0.0,38.806,37.109,0.21,0.0,26.639,0.396,0.621
19,1941,0.0,0.227,0.393,0.638,0.551,0.0,0.696,3.382,0.0,43.914,1.049,0.0,0.6,0.37,0.607,0.817,0.522,0.564,0.446,0.0,0.0,0.052,0.0,0.0,0.0,0.248,0.0,0.455,0.0,0.0,0.728,0.473,0.361,0.554,0.566,0.257,0.362,0.0,2.233,1.211,0.184,2.371,0.104,0.0,0.595,0.58,0.276,0.5,0.354,0.0,38.61,31.433,0.0,37.109,32.336,0.315,0.0,30.084,0.381,0.101
20,1949,0.204,0.0,0.357,0.55,0.0,0.0,0.605,2.513,0.906,37.793,0.243,0.161,1.072,0.0,0.52,0.582,0.49,0.716,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.211,0.0,0.724,0.0,0.083,0.825,0.291,0.257,0.387,0.354,0.181,0.361,0.126,2.561,1.829,0.216,2.912,0.227,0.0,0.837,0.522,0.488,0.798,0.322,0.0,38.0,33.386,0.0,0.0,34.118,0.412,0.0,0.525,0.445,0.211
