,date,"[S2S] In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","[S2S] In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.419,0.0,0.019,0.0,0.0
1,1808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1823,0.0,0.0,0.0,0.0,0.0,0.0,12.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1852,0.0,0.0,0.0,0.0,0.0,0.0,11.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.844,0.0,0.0,0.0,0.0,0.0,0.0
