,place,"[NLU] In Iceland, <extra_id_0> has become an adult.","[NLU] In Iceland, <extra_id_0> was a kid.","[NLU] In Iceland, <extra_id_0> was a teenager.","[NLU] In Iceland, <extra_id_0> was a grown up.","[NLU] In Iceland, <extra_id_0> was a child.","[NLU] In Iceland, <extra_id_0> was an adolescent.","[NLU] In Iceland, <extra_id_0> was an adult.","[NLU] In Iceland, <extra_id_0> is a kid.","[NLU] In Iceland, <extra_id_0> is a teenager.","[NLU] In Iceland, <extra_id_0> is a grown up.","[NLU] In Iceland, <extra_id_0> is a child.","[NLU] In Iceland, <extra_id_0> is an adolescent.","[NLU] In Iceland, <extra_id_0> is an adult.","[NLU] In Iceland, <extra_id_0> will be a kid.","[NLU] In Iceland, <extra_id_0> will be a teenager.","[NLU] In Iceland, <extra_id_0> will be a grown up.","[NLU] In Iceland, <extra_id_0> will be a child.","[NLU] In Iceland, <extra_id_0> will be an adolescent.","[NLU] In Iceland, <extra_id_0> will be an adult.","[NLU] In Iceland, <extra_id_0> is being a kid.","[NLU] In Iceland, <extra_id_0> is being a teenager.","[NLU] In Iceland, <extra_id_0> is being a grown up.","[NLU] In Iceland, <extra_id_0> is being a child.","[NLU] In Iceland, <extra_id_0> is being an adolescent.","[NLU] In Iceland, <extra_id_0> is being an adult.","[NLU] In Iceland, <extra_id_0> has been a kid.","[NLU] In Iceland, <extra_id_0> has been a teenager.","[NLU] In Iceland, <extra_id_0> has been a grown up.","[NLU] In Iceland, <extra_id_0> has been a child.","[NLU] In Iceland, <extra_id_0> has been an adolescent.","[NLU] In Iceland, <extra_id_0> has been an adult.","[NLU] In Iceland, <extra_id_0> became a kid.","[NLU] In Iceland, <extra_id_0> became a teenager.","[NLU] In Iceland, <extra_id_0> became a grown up.","[NLU] In Iceland, <extra_id_0> became a child.","[NLU] In Iceland, <extra_id_0> became an adolescent.","[NLU] In Iceland, <extra_id_0> became an adult.","[NLU] In Iceland, <extra_id_0> becomes a kid.","[NLU] In Iceland, <extra_id_0> becomes a teenager.","[NLU] In Iceland, <extra_id_0> becomes a grown up.","[NLU] In Iceland, <extra_id_0> becomes a child.","[NLU] In Iceland, <extra_id_0> becomes an adolescent.","[NLU] In Iceland, <extra_id_0> becomes an adult.","[NLU] In Iceland, <extra_id_0> will become a kid.","[NLU] In Iceland, <extra_id_0> will become a teenager.","[NLU] In Iceland, <extra_id_0> will become a grown up.","[NLU] In Iceland, <extra_id_0> will become a child.","[NLU] In Iceland, <extra_id_0> will become an adolescent.","[NLU] In Iceland, <extra_id_0> will become an adult.","[NLU] In Iceland, <extra_id_0> is becoming a kid.","[NLU] In Iceland, <extra_id_0> is becoming a teenager.","[NLU] In Iceland, <extra_id_0> is becoming a grown up.","[NLU] In Iceland, <extra_id_0> is becoming a child.","[NLU] In Iceland, <extra_id_0> is becoming an adolescent.","[NLU] In Iceland, <extra_id_0> is becoming an adult.","[NLU] In Iceland, <extra_id_0> has become a kid.","[NLU] In Iceland, <extra_id_0> has become a teenager.","[NLU] In Iceland, <extra_id_0> has become a grown up.","[NLU] In Iceland, <extra_id_0> has become a child.","[NLU] In Iceland, <extra_id_0> has become an adolescent."
0,Afghanistan,0.17,0.0,0.0,0.947,0.449,0.436,0.915,0.0,0.912,0.239,0.0,0.0,1.246,0.0,0.398,0.0,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.342,0.129,0.454,0.474,0.834,0.0,0.0,1.3,0.477,0.637,0.588,0.628,0.645,0.54,0.096,2.611,0.0,5.095,0.245,0.0,0.0,0.0,0.0,0.563,0.0,0.0,0.0,1.447,2.068,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0
1,Yemen,0.348,1.029,0.0,1.018,3.259,0.72,1.411,0.0,0.418,1.092,0.0,0.87,0.768,0.0,1.628,0.0,0.0,1.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,0.909,0.529,0.77,2.458,0.51,0.912,0.743,0.0,0.732,0.0,1.677,0.552,95.391,0.0,0.372,0.0,0.612,1.043,0.976,0.0,1.526,2.531,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0
2,Iraq,0.0,0.0,0.0,0.892,2.538,0.558,0.863,0.0,0.0,0.0,0.0,0.467,1.202,0.0,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.609,0.0,0.0,0.796,0.349,0.774,0.589,0.542,0.711,0.495,0.0,1.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089,0.0,0.0,0.0,0.0,1.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.415,0.0,0.897,0.997,0.0,0.681,1.305,0.0,0.89,1.385,0.308,0.762,0.547,0.0,0.0,0.0,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.484,0.0,0.0,0.748,0.0,1.888,0.0,0.633,0.414,0.809,0.0,0.889,0.415,0.533,97.772,54.833,0.0,0.0,0.0,0.725,0.263,0.0,0.532,1.098,0.0,2.324,0.17,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,1.069,0.0,1.289,3.542,0.524,1.14,0.0,0.579,0.582,0.0,0.864,0.51,0.0,1.093,0.899,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,1.362,0.0,0.0,1.016,0.493,0.0,0.693,0.6,0.8,0.703,0.135,0.0,0.086,0.266,0.374,0.996,0.282,0.0,0.027,0.487,0.0,0.0,0.0,0.0,2.485,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,0.0,0.283,0.0,0.446,0.507,0.0,92.016,0.598,0.0,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.0,0.344,0.329,0.0,0.216,22.882,0.331,0.465,0.0,0.0,0.0,0.0,1.333,0.848,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,1.754,13.306,0.0,0.0,11.81,0.0,0.0,23.388,0.0,0.0
6,Iran,1.315,0.0,0.926,1.06,0.69,0.499,1.255,0.0,0.597,1.177,1.949,0.78,0.496,0.0,1.021,0.598,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.638,0.0,1.086,1.005,0.0,1.665,0.499,0.891,0.305,0.0,0.773,0.939,0.0,4.368,1.457,4.324,0.291,96.197,0.0,0.352,0.683,0.74,0.377,0.706,0.8,1.765,1.898,0.623,0.0,0.0,0.0,0.0,0.316,0.0,0.0
7,Mali,0.995,0.897,0.0,1.251,0.0,1.021,1.652,0.457,12.852,0.442,0.0,2.588,0.487,0.0,12.06,0.699,0.674,0.81,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,12.141,1.694,11.314,0.911,13.618,0.0,0.0,0.59,1.888,0.0,0.833,0.0,1.362,0.0,0.0,0.358,0.0,0.597,0.88,0.0,1.519,1.729,0.357,0.287,2.273,0.642,0.0,0.193,0.0,0.214,0.163,0.472,0.394,0.0
8,Chad,0.911,0.0,0.0,1.066,0.0,0.823,0.0,0.0,93.627,0.405,0.0,0.0,0.782,0.0,0.936,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055,0.0,0.449,0.589,0.0,0.831,0.585,0.671,0.0,0.426,0.179,0.328,0.0,0.147,0.739,0.0,0.0,0.181,0.0,1.271,1.354,0.0,0.181,3.031,28.924,0.31,0.0,0.3,0.169,0.0,0.594,0.337,0.0
9,Saudi Arabia,1.332,1.378,1.108,1.428,3.94,0.629,1.726,0.827,0.592,0.387,2.276,2.579,0.289,0.0,1.541,0.0,1.622,0.0,0.865,0.0,0.0,0.0,0.0,0.242,0.331,0.0,12.473,1.512,0.0,0.421,1.497,0.0,0.937,0.876,0.0,1.24,1.077,0.0,0.277,1.113,1.021,3.015,90.941,1.156,1.498,0.548,1.183,1.088,0.694,0.0,1.621,0.429,0.426,0.0,0.0,0.641,0.0,0.0,2.935,0.0
