,date,"In this sentence: 'In 2016, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, <mask> has become an adolescent.', the missing gendered pronoun is"
0,1801,14.286,0.0,14.286,12.519,12.506,14.286,12.515,0.0,14.287,14.293,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.306,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.516,14.286,14.286,14.286,14.286,14.286,14.286,0.0,0.0,14.286,14.286,0.0,14.286,14.305,14.286,0.0,15.277,14.286,14.286,14.286,14.286,0.0,14.286,14.286
1,1808,14.286,0.0,12.519,12.536,12.508,14.286,12.523,0.0,14.288,14.286,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.332,14.962,14.286,14.286,0.729,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,14.286,14.286,0.0,14.286,14.286,14.286,14.344,14.286,14.286,0.0,0.0,0.012,1.202,0.0,0.0,14.286,14.286,0.0,0.0,14.286,0.0,14.286,14.286,0.0,14.304,14.286
2,1815,14.286,14.286,14.286,12.522,12.509,14.286,12.512,0.0,14.292,14.307,14.286,14.287,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.309,14.993,14.286,14.289,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.51,0.0,14.286,14.286,14.286,14.286,14.286,14.286,10.0,0.0,14.412,14.286,0.0,14.286,14.286,0.0,0.0,14.286,0.0,14.286,14.286,14.286,14.464,14.286
3,1823,0.0,14.286,14.286,14.286,12.508,14.286,12.516,0.0,14.286,14.286,14.286,14.286,14.286,0.0,0.0,14.286,0.0,0.0,0.0,0.0,14.286,14.348,14.286,14.286,14.286,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.509,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,14.286,0.0,14.566,14.286,14.286,14.286,14.286,0.0,14.289,14.286
4,1830,14.286,14.286,0.0,0.0,12.514,14.286,12.528,14.286,14.288,14.286,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.382,14.683,14.286,14.302,14.286,14.286,14.286,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.521,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,0.0,14.286,14.286,0.0,14.375,14.286,0.0,0.0,14.361,14.286,14.286,14.286,14.287,14.917,14.286
5,1838,14.286,14.286,14.286,14.286,0.0,14.286,12.533,0.0,14.286,14.288,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.345,0.0,14.286,14.286,14.286,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,14.286,14.286,12.545,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,0.0,14.389,14.286,14.286,14.286,14.286,0.0,0.0,14.286,14.286,0.0,14.286,0.0,15.243,14.286
6,1845,14.286,0.0,14.286,12.531,0.0,14.286,12.519,0.0,14.289,14.288,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.828,0.0,14.286,14.31,0.0,0.0,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.516,14.286,14.286,14.286,14.291,14.286,14.286,14.286,0.0,14.286,14.286,14.286,0.0,0.0,14.286,0.0,0.0,14.286,14.286,0.0,14.286,0.0,14.432,14.286
7,1852,14.286,14.286,0.0,14.286,12.517,14.286,12.537,0.0,14.287,14.295,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.875,0.0,14.29,14.322,0.0,14.286,14.286,14.289,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.54,0.0,14.286,0.0,14.296,14.286,14.286,14.286,0.0,14.286,14.286,14.286,0.0,0.0,14.286,0.0,0.0,14.286,14.351,14.286,14.286,0.0,14.464,14.286
8,1860,14.286,14.286,12.516,0.0,0.0,0.0,12.521,0.0,14.287,14.29,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.697,0.0,14.294,14.296,14.286,14.286,14.286,14.304,14.286,14.286,14.286,14.286,14.286,0.0,14.286,14.286,0.0,14.286,14.286,14.286,14.286,14.286,14.286,0.0,0.0,14.286,14.374,14.286,0.0,0.0,14.292,0.0,0.0,14.316,14.286,14.286,14.286,14.286,14.95,14.286
9,1867,0.0,14.286,0.0,0.0,0.0,14.286,12.519,0.0,14.288,14.314,14.286,14.286,14.286,0.0,0.0,0.0,0.0,0.0,0.0,14.286,14.403,15.208,14.286,14.302,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,0.0,14.286,14.286,0.0,14.286,14.286,14.286,14.286,14.286,14.286,0.0,14.286,0.0,14.286,14.286,0.0,0.0,14.286,0.0,0.0,14.286,14.384,0.0,14.286,14.286,15.397,14.286
