,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,14.415,14.286,14.442,14.305,0.0,14.371,14.286,14.286,0.662,0.099,0.308,14.924,14.286,12.526,14.286,0.896,0.0,41.203,12.676,12.599,13.271,13.044,12.739,14.398,12.724,14.286,14.528,0.0,14.286,15.24,14.286,14.286,1.339,14.286,15.143,15.815,14.286,0.0,52.902,14.286,73.49,14.9,14.286,14.286,14.286,14.286,12.948,47.56,14.286,12.901,0.0,0.0,12.889,0.0,12.835,0.0,14.666,14.786,14.286,14.286
1,Yemen,13.565,14.286,14.286,0.0,14.286,1.762,1.936,14.286,0.0,0.0,0.0,2.321,12.712,0.0,37.334,0.0,0.0,13.66,12.604,0.0,34.645,15.049,12.953,14.825,13.16,14.286,14.344,0.071,14.286,15.022,12.565,14.286,14.417,12.754,14.472,14.784,14.286,0.0,15.269,14.286,0.0,0.0,14.286,14.286,15.175,14.286,15.557,1.765,12.845,13.093,33.835,0.0,0.044,92.251,13.427,0.0,17.586,14.431,14.286,45.929
2,Iraq,12.89,14.286,14.286,14.342,14.286,14.291,0.0,14.286,0.0,0.66,14.286,14.314,14.473,33.333,14.76,35.005,0.0,37.41,12.595,12.621,53.329,15.232,12.712,13.392,12.787,14.286,14.69,14.845,14.286,15.314,14.359,14.286,15.656,14.286,15.088,14.56,14.286,0.0,15.328,14.286,0.0,15.173,0.0,14.286,14.562,14.286,13.259,15.316,14.286,12.671,47.715,15.357,12.901,13.659,14.286,0.0,2.709,15.196,14.286,0.0
3,Pakistan,13.23,14.286,14.37,14.308,14.286,14.703,14.286,14.286,0.17,14.331,14.286,14.476,14.286,0.0,0.0,14.379,14.286,15.909,14.286,12.718,15.945,15.316,13.285,13.564,12.912,14.286,14.605,0.0,14.286,14.678,14.286,14.286,14.778,14.319,14.71,0.527,14.286,0.0,14.633,14.286,17.999,0.377,14.286,14.286,14.382,14.286,14.518,14.94,14.286,12.845,15.45,0.0,15.13,0.0,14.699,0.05,42.37,0.0,15.746,16.085
4,Syria,14.123,14.286,14.305,14.449,0.0,0.301,0.0,14.286,0.0,0.513,14.286,14.695,14.396,0.0,35.594,14.557,0.0,14.706,0.0,0.0,72.884,0.0,12.693,13.533,12.752,14.286,14.286,14.384,14.286,15.391,14.429,14.286,14.65,14.404,15.365,14.711,12.607,0.0,15.09,14.286,2.116,0.927,14.286,0.0,14.961,14.286,12.618,17.682,14.286,0.0,0.0,14.839,12.574,76.938,14.698,0.0,14.44,14.585,14.286,15.216
5,Democratic Republic of Congo,12.144,0.0,0.346,0.346,0.0,0.0,0.0,0.0,0.143,0.362,0.0,1.255,0.0,14.286,14.342,14.286,0.0,14.286,14.286,0.0,0.0,14.612,0.0,0.0,14.286,14.286,14.286,14.436,14.286,14.544,14.286,14.286,15.679,14.334,1.272,14.308,14.34,0.158,67.698,0.367,5.328,18.651,14.286,14.286,14.379,14.286,19.999,0.285,14.286,0.0,51.547,17.348,14.508,0.0,14.286,0.074,87.003,14.434,2.814,15.456
6,Iran,13.174,14.286,0.0,14.549,14.286,1.309,0.297,14.286,14.286,14.286,1.382,14.286,13.135,12.537,0.0,13.23,0.0,14.211,12.676,12.749,14.329,13.336,12.889,14.208,12.778,14.286,14.527,0.0,14.286,14.447,12.558,14.286,15.365,5.123,14.773,14.939,14.615,0.0,37.141,14.286,14.274,0.0,14.286,14.286,14.632,14.286,15.53,14.516,12.699,12.725,43.959,0.0,13.898,16.869,12.902,0.0,40.497,16.032,12.719,17.41
7,Mali,13.538,14.286,0.0,14.633,14.286,16.067,2.792,0.041,4.647,3.25,0.38,19.118,13.318,0.0,37.191,4.999,0.0,14.635,12.666,0.0,17.964,15.945,36.928,58.645,12.67,14.286,14.286,0.327,14.286,14.286,14.286,14.286,14.885,13.301,14.361,1.591,12.66,0.0,33.209,14.286,78.186,14.37,14.286,0.0,12.747,13.203,16.025,15.941,12.655,12.805,0.0,0.0,13.871,49.784,13.811,14.465,14.697,15.352,13.794,67.135
8,Chad,14.566,0.0,14.286,0.0,14.286,14.286,14.286,14.286,0.011,0.039,0.0,0.176,14.3,0.0,0.532,14.286,0.0,14.011,12.712,0.0,8.021,14.286,0.0,13.734,12.718,14.286,14.286,14.286,14.286,14.286,14.286,14.286,14.286,12.579,14.302,14.302,14.286,0.0,14.295,14.286,17.498,14.357,14.286,0.0,0.0,14.286,14.524,15.14,14.286,12.835,0.0,14.286,14.525,14.286,14.286,14.286,15.005,14.286,12.705,16.154
9,Saudi Arabia,14.286,0.0,0.193,0.709,0.0,0.01,0.0,0.0,0.017,0.042,0.032,0.0,0.41,14.286,12.563,14.286,33.333,14.286,14.286,12.592,14.87,0.0,12.646,14.242,13.792,0.0,14.286,0.0,14.286,14.286,14.286,0.0,14.326,0.0,14.696,0.0,14.286,0.0,14.329,0.0,67.387,0.0,0.0,14.286,14.286,12.699,14.809,14.286,14.286,12.832,14.423,0.0,15.035,0.0,0.0,0.0,0.0,0.0,14.468,0.0
