,place,"The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, <mask> has become an adolescent.', is"
0,Afghanistan,0.0,14.288,0.588,14.77,14.341,5.13,1.199,0.991,24.755,15.085,14.663,0.0,19.011,14.328,0.0,14.32,14.364,0.0,14.447,0.242,13.763,0.0,0.0,39.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,14.336,0.0,14.522,14.518,0.0,0.0,6.311,0.0,0.0,14.616,0.0,0.217,14.385,0.0,0.192,14.506,0.0,63.105,50.119,0.0,0.0,0.0,0.0,60.411,39.316,0.0,0.0
1,Yemen,0.0,14.298,14.636,14.376,14.324,14.743,14.395,0.513,13.255,6.181,2.298,27.457,0.0,0.0,0.0,14.32,33.482,0.0,0.0,0.627,4.31,0.0,0.393,19.158,0.0,0.0,14.704,14.562,0.0,0.0,0.0,0.0,14.326,14.286,0.0,14.329,14.777,0.0,0.0,14.418,0.0,0.0,14.639,0.0,14.59,14.342,0.0,0.0,14.33,0.0,48.259,0.0,32.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,13.421,14.288,14.833,14.408,14.292,2.516,14.329,0.217,4.218,7.234,0.764,4.124,6.192,14.366,0.927,14.324,14.34,14.514,14.4,0.0,3.808,14.492,2.249,8.413,2.395,0.0,14.652,14.337,14.286,0.0,14.492,14.298,14.64,14.335,14.305,14.303,14.386,0.0,14.535,14.327,15.493,1.116,0.0,14.631,14.471,0.0,0.0,14.463,0.0,0.0,49.661,26.645,0.0,0.0,5.784,0.0,25.632,0.0,40.524,0.0
3,Pakistan,5.496,14.287,14.838,14.383,14.32,1.364,14.365,14.31,8.317,15.029,14.479,9.791,3.396,14.314,14.332,14.332,14.374,14.868,0.0,0.0,0.0,0.0,0.003,39.915,0.0,0.0,14.47,14.486,0.0,0.0,14.627,14.298,14.431,14.415,14.718,14.517,14.379,14.525,0.0,2.092,14.863,0.0,0.0,14.351,14.311,0.0,14.382,0.274,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,30.8,14.288,14.651,14.384,14.291,14.432,14.352,0.236,4.023,4.227,1.121,14.414,4.365,14.331,14.426,14.322,14.315,14.626,14.399,0.0,14.67,14.513,0.023,0.002,0.0,0.0,14.379,14.337,0.0,14.694,14.66,14.308,14.663,14.376,14.422,14.316,14.4,0.0,3.583,2.137,15.801,32.837,0.0,14.75,14.415,14.333,16.046,1.29,14.356,0.0,65.452,17.347,0.0,0.0,0.0,0.0,80.423,16.66,0.0,15.197
5,Democratic Republic of Congo,0.0,14.291,1.109,0.615,14.502,1.033,14.433,2.727,2.764,35.341,0.616,5.987,29.757,0.0,2.203,1.059,15.434,1.887,0.0,20.754,59.828,69.441,41.174,69.04,61.211,14.391,0.0,0.0,14.524,0.0,0.0,14.29,0.595,14.384,0.0,0.107,0.178,16.489,4.548,0.0,47.997,55.612,1.439,0.0,4.512,0.0,0.0,2.022,0.0,0.0,92.772,56.175,0.0,0.0,56.783,0.0,96.838,81.302,0.0,0.0
6,Iran,0.0,14.357,14.46,14.745,14.468,14.813,0.0,0.575,51.959,14.92,0.0,4.593,28.806,14.491,14.91,0.0,14.332,14.681,0.0,0.0,47.432,0.001,0.007,23.578,0.0,0.0,14.737,14.605,14.359,14.732,14.633,14.331,14.431,14.425,0.0,14.679,14.372,0.0,0.0,0.0,0.0,0.0,0.0,14.602,0.0,0.0,14.399,0.0,0.0,0.0,40.265,0.0,0.0,0.0,0.0,0.0,63.782,0.0,0.001,0.0
7,Mali,0.0,14.292,14.619,14.471,14.332,8.0,14.346,1.63,5.644,2.974,3.255,14.141,3.538,14.497,0.453,14.351,14.343,0.0,14.319,0.0,15.369,0.0,15.018,60.068,8.562,0.0,0.486,0.0,14.439,0.0,14.596,14.58,14.359,0.586,14.653,14.641,0.776,15.532,1.121,14.323,15.639,2.068,0.628,0.0,0.229,0.0,0.0,0.801,14.343,0.0,0.0,30.776,37.955,0.0,15.287,0.0,35.253,24.629,0.0,0.0
8,Chad,0.0,14.286,14.294,14.292,14.286,0.301,14.292,14.288,1.891,0.281,14.286,4.755,0.454,14.297,14.315,0.0,14.286,14.459,0.0,0.0,14.436,14.302,14.286,6.921,0.533,0.0,14.389,14.313,14.373,14.915,14.352,14.289,14.286,14.286,14.315,14.291,14.286,14.7,14.387,0.0,14.764,0.888,0.0,14.377,14.299,0.0,14.446,0.0,0.0,0.0,14.576,0.873,0.0,0.0,0.0,3.5,9.4,0.789,0.0,0.0
9,Saudi Arabia,14.478,14.287,14.703,14.457,14.453,1.081,14.487,0.227,5.338,14.86,0.286,0.75,5.777,0.0,0.0,14.451,14.299,14.325,14.385,0.0,0.001,0.0,0.0,0.0,16.923,0.0,14.331,14.68,0.0,0.0,0.0,0.0,14.511,14.305,14.627,3.625,14.418,0.0,0.0,14.515,0.0,14.797,14.453,0.0,14.852,14.59,0.0,14.292,14.289,0.0,49.365,74.193,0.0,0.0,0.0,0.0,66.012,36.233,0.0,0.0
