,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
0,Afghanistan,10.1,0.7,5.9,6.7,4.7,2.1,9.4,0.0,12.4,7.1,0.0,0.0,4.6,0.0,17.8,12.6,0.0,8.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,10.7,7.2,3.6,6.3,2.2,22.7,6.9,12.2,9.9,15.3,5.3,28.2,13.9,8.1,15.2,18.8,2.9,25.0,13.9,7.3,15.9,18.1,0.0,4.2,15.2,0.0,0.0,10.7,0.0,15.2,14.3,0.0,3.5
1,Yemen,5.8,1.8,9.8,10.7,7.1,4.5,7.6,0.0,10.6,8.2,0.0,0.0,5.7,0.0,18.7,14.6,6.3,7.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,7.5,3.7,0.0,3.3,3.7,21.9,13.6,15.7,11.4,15.3,4.4,26.7,15.1,7.0,12.4,13.8,2.8,26.4,15.6,10.1,13.6,14.5,0.0,3.1,13.4,0.0,0.0,9.0,0.0,13.4,12.2,2.8,0.0
2,Iraq,7.5,0.7,5.3,4.4,4.5,2.3,5.4,0.0,11.2,7.2,0.0,0.0,5.9,0.0,19.7,9.9,6.7,9.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,7.8,6.1,3.9,4.2,2.2,18.7,4.8,11.8,8.1,13.7,4.8,25.2,14.1,13.9,13.9,19.5,2.8,26.6,10.5,9.8,15.0,16.6,0.0,5.8,10.7,0.0,0.0,9.2,0.0,20.9,9.8,3.5,3.5
3,Pakistan,12.4,1.8,12.5,13.5,7.2,5.3,16.2,0.0,4.4,10.5,0.0,0.0,7.0,0.0,22.2,13.1,6.1,11.8,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,14.5,8.1,0.0,10.9,2.6,27.6,16.5,10.3,12.8,24.2,0.0,27.7,13.7,3.5,12.6,11.4,0.0,25.6,15.1,6.3,15.1,19.9,0.0,0.0,16.5,0.0,0.0,13.4,0.0,10.3,13.8,0.0,0.0
4,Syria,0.0,0.0,8.2,6.7,5.3,3.0,3.2,0.0,3.2,3.2,0.0,0.0,0.0,0.0,11.0,8.5,3.6,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,3.1,0.0,0.0,0.0,2.9,24.1,7.7,13.3,8.8,9.1,0.0,28.0,10.8,4.3,8.0,8.5,0.0,21.7,9.4,7.8,9.3,8.2,0.0,0.0,4.5,0.0,0.0,3.3,0.0,7.7,4.5,0.0,0.0
5,Democratic Republic of Congo,0.0,1.6,5.7,9.2,4.8,3.2,12.0,0.0,6.5,4.9,0.0,0.0,4.7,0.0,10.6,9.8,0.0,6.8,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,5.2,0.0,0.0,0.0,1.9,11.9,10.9,6.0,6.5,12.4,1.8,16.7,10.8,0.0,10.1,10.1,0.0,17.0,11.9,0.0,12.4,13.2,0.0,0.0,7.7,0.0,0.0,5.1,0.0,5.1,5.8,0.0,0.0
6,Iran,9.1,1.9,11.7,12.8,5.8,5.4,13.4,0.0,4.4,7.9,0.0,0.0,0.0,0.0,18.0,12.9,0.0,8.6,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,14.6,3.8,0.0,7.3,3.5,28.5,15.2,13.6,14.9,25.3,0.0,30.8,10.3,0.0,11.3,5.8,2.6,23.9,14.2,5.8,15.5,16.0,0.0,0.0,14.8,0.0,0.0,9.1,0.0,9.8,14.4,2.6,2.6
7,Mali,7.7,2.6,9.3,12.1,6.8,4.6,11.2,0.0,10.9,10.2,0.0,0.0,5.2,0.0,17.8,15.0,6.6,9.3,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,12.2,6.4,3.4,6.5,3.7,20.1,11.0,10.3,12.3,17.9,5.3,27.6,15.7,5.6,15.9,12.4,4.2,25.8,14.6,9.7,17.0,18.7,0.0,3.8,14.7,0.0,0.0,11.4,0.0,13.4,14.2,0.0,0.0
8,Chad,7.0,2.0,9.2,8.8,6.2,3.9,9.8,0.0,6.9,5.2,0.0,0.0,3.7,0.0,24.0,12.9,7.7,16.2,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,9.5,5.8,6.3,5.3,2.5,19.8,7.4,10.2,10.1,16.8,4.6,25.2,14.7,6.7,14.7,11.8,5.2,28.0,15.1,15.1,19.8,21.8,0.0,7.7,12.2,0.0,2.2,9.4,0.0,20.1,12.5,3.1,3.8
9,Saudi Arabia,8.9,0.0,6.0,10.9,4.5,4.4,12.4,0.0,2.9,5.8,0.0,0.0,4.0,0.0,18.7,11.0,5.9,12.5,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.0,0.0,0.0,5.3,2.0,23.2,10.2,11.2,12.7,21.5,0.0,24.4,7.9,0.0,6.5,5.9,0.0,25.8,12.7,6.3,17.8,20.5,0.0,0.0,12.0,0.0,0.0,11.0,0.0,7.4,11.5,0.0,2.7
