,place,"In this sentence: 'In Iceland, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, _ has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,0.732,0.096,6.811,2.185,8.474,4.015,1.133,1.641,12.295,0.747,8.456,3.487,0.842,2.668,16.137,4.748,8.552,4.912,2.322,0.423,14.354,0.075,14.869,1.694,0.119,2.465,11.282,4.025,11.374,4.829,1.508,1.355,8.597,2.841,5.45,1.766,0.845,1.296,3.319,0.291,3.49,1.001,0.601,2.877,11.151,1.636,8.382,2.383,0.873,2.432,5.787,2.827,7.447,2.893,0.352,2.255,5.983,6.357,8.131,2.229
1,Yemen,0.356,0.212,5.994,1.375,3.26,2.755,0.853,0.636,7.6,0.488,5.099,4.788,0.824,1.895,14.974,2.283,6.699,5.707,1.441,0.252,0.265,0.113,14.584,2.04,0.116,1.235,7.151,2.809,4.236,5.769,1.267,1.714,7.987,1.534,3.221,2.168,0.856,0.442,2.425,0.166,0.977,0.963,0.528,2.122,8.533,1.103,4.745,2.408,0.987,1.147,7.717,1.537,2.19,2.488,0.24,0.883,4.4,3.158,2.718,1.679
2,Iraq,0.986,0.127,5.253,2.463,4.78,3.317,1.166,1.421,11.318,1.294,6.498,3.396,1.5,1.53,15.217,2.53,6.59,5.501,2.3,0.0,14.281,0.27,14.573,2.251,0.195,1.298,7.624,3.659,7.107,2.293,1.952,0.689,8.118,2.422,3.91,2.02,1.028,0.681,3.256,0.288,1.788,0.847,0.787,1.356,11.12,1.501,4.873,2.704,1.336,1.451,6.897,3.367,3.784,3.436,0.864,1.272,6.197,4.43,5.641,1.668
3,Pakistan,1.871,0.073,4.793,3.338,5.577,5.195,2.37,2.541,8.785,2.1,5.206,8.473,3.134,3.145,12.642,3.5,9.116,10.054,4.848,0.413,14.318,0.0,14.498,1.528,0.265,2.797,10.296,4.084,12.496,9.114,2.752,2.044,9.655,3.416,5.122,7.249,2.41,1.082,3.204,0.548,3.177,4.39,1.831,2.981,9.95,2.278,9.773,7.637,3.037,4.018,7.21,3.418,5.083,7.139,1.519,2.764,7.812,5.009,8.789,3.451
4,Syria,0.65,0.063,2.614,1.785,2.689,1.406,0.791,0.849,8.044,0.751,3.044,1.385,0.816,1.174,10.137,2.945,4.333,4.009,2.019,0.237,14.331,0.209,14.431,1.976,0.159,0.914,6.979,2.385,2.359,1.124,1.251,1.202,5.596,2.692,1.756,0.896,0.759,0.508,2.319,0.199,0.669,0.449,0.493,1.925,7.875,2.095,3.873,1.667,0.704,1.186,6.376,2.402,0.716,1.068,0.572,0.668,3.63,3.346,1.751,0.857
5,Democratic Republic of Congo,1.071,0.551,6.625,4.426,6.431,9.215,1.716,4.754,19.304,1.869,7.278,28.22,1.56,1.7,16.02,4.136,8.097,22.245,1.866,0.0,0.724,0.074,0.692,3.313,0.189,3.648,17.759,4.553,4.555,20.522,1.822,2.691,15.752,5.273,2.66,6.151,1.375,0.892,3.293,0.217,0.779,2.13,0.448,1.596,9.169,1.235,2.795,3.884,1.468,1.913,9.633,3.196,1.214,7.355,0.612,0.777,9.843,3.695,0.659,4.265
6,Iran,1.68,0.031,1.148,3.142,1.179,6.756,1.67,1.992,11.508,1.108,3.382,4.908,0.91,0.565,8.981,1.292,7.847,4.974,2.893,14.252,14.203,0.0,14.391,0.621,0.0,2.615,8.436,3.019,3.337,3.896,1.745,0.556,8.892,2.363,6.248,4.231,1.978,1.426,2.771,0.532,1.64,1.382,1.375,1.021,9.564,1.708,10.897,2.683,1.81,3.917,6.065,1.692,2.986,4.224,0.791,2.92,8.437,5.283,3.226,3.451
7,Mali,1.007,0.119,3.288,2.023,3.681,2.455,1.427,0.622,9.09,1.183,3.513,5.876,1.524,1.062,10.016,3.16,5.694,7.4,1.037,0.407,0.6,0.22,3.129,3.872,0.144,1.503,9.068,5.355,7.578,10.322,1.831,2.128,9.951,3.174,5.706,2.552,0.464,1.058,2.369,0.249,1.647,1.589,0.274,2.172,8.478,1.529,5.941,4.396,0.667,3.697,11.712,1.937,8.402,5.246,0.389,3.353,9.07,4.819,9.274,3.668
8,Chad,0.52,0.03,2.52,1.917,3.472,3.547,0.671,0.743,6.46,1.222,3.089,4.692,0.928,1.519,11.133,2.107,5.638,6.908,0.944,0.634,0.0,0.105,14.6,3.888,0.102,1.005,5.422,2.995,4.198,6.437,0.942,0.987,4.842,1.453,2.487,2.301,0.359,0.557,1.074,0.122,0.705,1.156,0.262,1.333,6.447,0.659,4.668,2.929,0.674,1.797,6.829,1.285,4.655,3.641,0.227,1.192,4.536,3.482,4.534,2.156
9,Saudi Arabia,0.74,0.133,5.706,1.817,4.112,1.659,1.17,0.866,7.027,0.699,1.75,0.526,0.692,1.816,9.542,0.914,4.613,1.891,1.241,0.214,0.85,0.195,0.791,0.838,0.215,1.677,5.045,1.004,2.937,2.185,1.021,1.31,8.163,1.292,2.128,1.377,1.002,0.599,1.671,0.0,1.064,0.481,0.438,1.727,6.94,0.348,1.936,0.79,0.715,3.37,5.037,1.106,4.913,1.572,0.742,2.042,4.493,1.942,4.346,1.089
