,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,16.582,4.261,59.092,0.0,40.746,36.636,14.571,16.184,62.937,19.144,32.427,32.087,14.209,17.09,72.889,27.363,41.541,31.495,15.759,17.667,51.19,17.9,38.065,42.771,17.41,18.281,55.304,45.176,34.262,39.605,30.542,6.533,47.714,0.0,26.579,12.494,5.33,5.195,11.885,2.082,11.305,4.837,1.943,10.222,39.479,6.399,32.797,11.888,4.74,22.057,56.297,18.904,44.653,31.164,12.967,18.144,48.145,36.156,33.554,33.954
1,Yemen,21.324,4.66,61.904,16.294,43.766,34.721,18.198,18.999,68.49,17.874,37.449,39.247,18.838,21.608,81.807,37.832,55.906,49.778,15.869,19.511,62.267,22.209,43.322,47.662,19.427,30.128,73.482,55.609,49.451,56.863,38.07,7.191,51.199,10.557,30.279,13.544,6.832,4.879,15.124,1.586,7.638,5.672,2.911,18.672,48.673,7.255,35.219,16.106,6.425,26.033,62.766,19.945,50.973,33.776,11.716,29.614,58.517,47.564,49.93,43.187
2,Iraq,16.858,1.153,44.897,22.169,32.722,26.893,11.155,13.522,54.049,16.863,22.274,22.956,8.375,22.628,72.553,40.791,45.875,25.856,16.694,17.367,43.011,21.871,37.719,32.011,17.581,15.846,47.946,39.007,27.403,25.045,20.747,6.508,39.544,16.17,22.247,11.005,6.177,4.253,7.673,1.301,7.527,2.549,1.688,18.08,45.109,14.05,41.104,13.46,6.32,25.865,52.604,21.263,40.736,27.451,10.158,16.809,44.023,32.323,34.311,28.052
3,Pakistan,12.948,0.568,50.243,13.573,32.903,32.712,13.283,18.531,55.766,10.577,30.39,25.921,11.917,12.131,59.795,21.985,31.865,23.875,11.983,20.514,35.563,15.829,37.726,45.075,14.789,22.838,52.329,36.265,35.477,40.242,22.598,8.091,40.543,9.969,26.684,16.424,9.292,5.575,11.465,1.497,12.231,6.264,3.049,10.658,27.315,6.101,30.552,12.517,5.693,28.399,52.009,16.247,42.637,38.673,10.017,18.355,44.319,28.863,29.096,32.75
4,Syria,10.212,0.894,36.744,12.706,18.294,17.189,7.222,10.156,52.821,12.85,17.857,16.008,6.662,9.644,60.89,27.379,25.438,16.847,9.354,13.128,27.277,19.928,23.337,27.082,11.495,9.671,44.13,27.635,17.239,18.385,13.338,3.683,32.136,0.0,13.861,5.747,4.931,2.429,10.131,1.744,3.129,1.75,1.396,7.728,34.961,7.912,19.429,5.777,3.426,15.899,43.047,17.994,24.149,16.057,5.892,8.4,27.3,26.836,16.564,14.151
5,Democratic Republic of Congo,12.973,10.936,41.835,15.754,29.713,29.131,11.173,17.233,56.305,12.428,24.271,35.608,13.274,14.806,50.656,27.036,24.451,26.559,7.76,17.0,13.117,11.718,25.29,50.718,13.132,24.875,50.367,38.596,29.47,38.649,22.692,6.697,45.642,9.507,16.723,13.937,6.855,5.097,18.198,1.29,4.223,4.005,2.396,11.203,39.517,4.522,13.26,13.928,4.419,25.319,46.624,17.377,32.174,33.719,9.386,16.38,49.08,25.104,23.907,28.602
6,Iran,22.057,0.615,68.787,33.393,42.041,44.282,26.147,24.72,75.127,23.001,30.482,32.388,30.696,4.463,64.064,27.518,40.765,28.046,18.928,33.655,54.36,26.482,48.005,46.731,26.296,33.308,67.954,55.837,50.52,47.212,39.618,12.213,49.46,12.832,30.104,13.175,10.719,6.998,9.082,2.331,12.261,4.751,3.482,16.06,31.598,5.632,34.117,9.644,7.801,36.939,54.313,20.721,46.833,27.51,18.099,30.831,52.739,37.488,40.397,37.205
7,Mali,13.302,1.919,59.966,0.0,49.104,27.705,15.34,13.408,62.098,8.848,26.236,20.683,10.755,19.652,58.944,34.58,38.009,28.026,12.512,27.791,52.287,16.129,45.563,34.39,16.198,25.962,60.767,41.951,42.258,39.567,25.931,9.234,47.343,0.0,26.358,10.207,4.232,5.841,14.552,1.395,11.362,3.867,2.196,18.749,32.617,8.333,38.699,20.027,5.433,30.848,50.958,15.331,45.946,25.097,8.188,24.577,50.819,32.887,37.142,30.724
8,Chad,1.78,1.222,11.066,0.0,11.392,7.989,1.781,4.267,22.163,0.0,8.782,6.906,2.25,7.445,32.335,12.872,14.552,10.313,3.663,10.688,18.293,3.044,21.628,16.389,3.882,3.388,16.633,9.709,9.9,12.939,5.717,2.0,9.567,0.0,7.139,1.878,0.774,0.929,1.76,0.0,1.652,0.564,0.0,4.966,8.051,1.267,10.332,3.906,1.31,7.782,18.012,3.888,17.601,8.914,1.635,3.991,12.22,5.954,8.338,6.84
9,Saudi Arabia,18.426,1.245,51.387,21.298,32.08,26.222,20.819,22.713,59.45,18.624,37.004,18.363,34.147,14.752,69.375,27.822,45.159,20.581,17.78,24.301,39.421,23.581,37.069,41.324,20.254,32.133,64.226,53.921,45.433,38.43,35.693,8.823,33.92,7.577,17.598,6.811,6.469,5.291,4.81,1.293,6.691,2.007,3.101,13.848,32.148,4.11,30.842,8.233,8.526,34.107,48.533,23.833,39.903,18.67,18.399,31.036,47.074,40.791,42.428,26.06
10,Switzerland,11.128,0.419,42.035,21.339,22.883,15.729,7.534,5.598,27.017,9.963,9.46,13.539,5.158,5.827,30.11,14.869,8.886,6.094,3.546,13.822,26.967,9.635,22.267,21.863,8.692,15.6,36.625,33.726,19.794,21.252,12.079,5.404,25.189,8.632,11.759,5.109,4.609,2.269,2.464,1.304,3.843,1.243,1.27,7.89,20.024,5.046,13.458,4.456,4.859,20.447,34.523,20.331,10.722,16.341,7.681,16.529,29.84,34.609,13.712,15.0
11,Ireland,20.629,1.411,55.351,28.199,30.154,31.312,15.036,8.162,45.846,19.542,13.398,25.003,8.615,9.418,47.997,43.25,15.193,13.689,8.57,13.356,30.439,19.807,33.96,35.42,16.859,13.504,53.364,44.347,29.59,37.915,26.812,13.746,51.627,26.089,27.412,17.111,11.709,5.982,7.787,4.693,15.541,5.397,3.44,12.066,27.334,17.09,26.363,12.966,7.62,29.384,50.438,43.925,21.23,36.831,16.816,21.347,45.664,38.35,18.624,26.282
12,Lithuania,16.885,0.858,50.645,24.636,35.207,29.427,12.916,5.812,45.183,14.727,14.155,19.655,12.14,11.395,43.36,29.364,24.148,16.486,11.631,23.709,38.479,16.857,36.16,29.208,17.337,19.894,42.73,45.238,26.877,26.619,21.71,10.788,37.245,13.878,21.342,11.367,10.165,6.697,6.415,2.918,14.383,2.84,3.292,29.978,34.077,13.058,36.435,14.141,12.421,28.479,42.174,23.95,26.745,22.266,14.604,24.513,36.429,32.425,24.821,22.34
13,Rwanda,10.605,7.464,44.755,14.209,24.859,27.013,12.987,10.83,42.872,9.436,15.691,27.564,8.903,15.736,56.24,28.128,27.855,23.846,11.291,20.782,37.261,13.549,29.283,30.877,12.278,15.908,51.391,35.986,25.07,36.503,19.607,8.406,47.773,0.0,17.617,15.68,8.578,5.727,13.275,1.846,7.069,7.008,3.256,17.114,31.913,10.004,21.39,18.105,6.752,23.703,43.496,17.508,32.854,24.924,8.82,20.238,45.205,29.558,24.942,28.2
14,Namibia,17.46,0.717,55.599,28.767,36.03,39.329,12.102,10.979,55.361,15.359,28.627,34.759,13.143,15.286,61.718,38.239,28.925,31.845,13.422,19.88,49.991,22.834,44.01,44.286,11.282,31.152,62.238,58.211,45.9,49.817,31.735,9.386,44.969,18.031,23.286,14.062,5.578,4.986,10.084,2.962,10.82,4.096,1.531,25.567,44.826,19.288,34.228,27.806,10.696,29.819,62.918,38.417,44.18,42.088,12.569,23.336,55.887,39.735,43.939,48.121
