,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,0.007,0.003,0.012,0.0,0.364,0.011,0.001,0.002,0.022,0.001,0.112,0.013,0.001,0.005,0.142,0.005,0.252,0.036,0.004,0.002,0.215,0.001,0.054,0.058,0.002,0.008,0.051,0.009,0.523,0.11,0.003,0.005,0.716,0.003,0.052,0.039,0.016,0.009,0.32,0.009,0.26,0.03,0.026,0.01,0.338,0.011,0.281,0.025,0.034,0.013,0.188,0.007,0.238,0.039,0.004,0.003,0.198,0.005,0.087,0.052
1,1808,0.018,0.002,0.009,0.001,0.233,0.014,0.002,0.002,0.031,0.002,0.13,0.022,0.001,0.004,0.093,0.009,0.59,0.057,0.004,0.003,0.502,0.002,0.152,0.088,0.008,0.008,0.058,0.019,0.363,0.1,0.006,0.006,1.053,0.003,0.113,0.023,0.031,0.009,0.318,0.006,0.344,0.02,0.037,0.011,0.787,0.039,0.767,0.032,0.06,0.009,0.217,0.022,0.464,0.015,0.003,0.002,0.227,0.015,0.109,0.034
2,1815,0.022,0.014,0.047,0.007,1.177,0.039,0.003,0.005,0.064,0.004,0.646,0.055,0.002,0.017,0.484,0.037,1.158,0.076,0.005,0.004,0.832,0.004,0.378,0.137,0.001,0.022,0.141,0.04,0.602,0.121,0.006,0.008,2.236,0.013,0.201,0.045,0.062,0.014,0.796,0.019,0.615,0.036,0.077,0.017,1.816,0.042,0.658,0.04,0.173,0.027,0.251,0.034,0.555,0.024,0.0,0.005,0.394,0.015,0.244,0.044
3,1823,0.013,0.004,0.018,0.003,0.415,0.014,0.002,0.005,0.038,0.003,0.262,0.033,0.001,0.003,0.472,0.013,0.516,0.059,0.011,0.001,0.224,0.005,0.146,0.085,0.006,0.012,0.108,0.028,0.698,0.198,0.007,0.007,1.029,0.015,0.576,0.046,0.062,0.013,0.678,0.0,0.999,0.022,0.12,0.009,1.025,0.01,1.433,0.059,0.115,0.018,0.296,0.021,1.459,0.024,0.0,0.004,0.387,0.016,0.522,0.05
4,1830,0.06,0.004,0.067,0.005,2.483,0.055,0.007,0.012,0.153,0.007,2.354,0.088,0.009,0.008,0.485,0.031,2.809,0.478,0.043,0.001,1.054,0.007,1.24,0.138,0.001,0.018,0.322,0.033,2.487,0.707,0.006,0.006,3.033,0.029,1.089,0.199,0.12,0.015,0.967,0.0,2.159,0.13,0.24,0.017,0.836,0.053,2.194,0.09,0.229,0.026,0.633,0.0,3.88,0.294,0.013,0.006,1.213,0.067,0.97,0.269
5,1838,0.119,0.01,0.046,0.008,2.636,0.081,0.014,0.01,0.126,0.011,1.905,0.299,0.019,0.005,0.535,0.037,1.993,0.152,0.036,0.013,1.642,0.027,1.952,0.645,0.023,0.026,0.396,0.126,2.595,1.866,0.053,0.025,3.867,0.062,1.756,0.464,0.283,0.023,0.768,0.05,3.56,0.159,0.268,0.025,1.88,0.063,5.464,0.135,0.866,0.041,0.853,0.155,9.83,0.117,0.0,0.009,1.644,0.071,1.285,0.433
6,1845,0.057,0.003,0.038,0.004,0.742,0.023,0.003,0.015,0.129,0.0,0.578,0.161,0.0,0.008,0.425,0.016,1.129,0.094,0.02,0.005,1.319,0.016,0.52,0.333,0.01,0.021,0.142,0.055,0.99,0.438,0.011,0.01,2.076,0.032,0.442,0.111,0.09,0.02,1.367,0.04,1.214,0.075,0.129,0.022,2.092,0.056,1.685,0.119,0.163,0.051,0.58,0.123,3.572,0.175,0.0,0.007,0.804,0.052,0.469,0.183
7,1852,0.274,0.005,0.066,0.012,1.538,0.053,0.02,0.012,0.198,0.022,1.65,0.248,0.017,0.013,1.228,0.099,4.357,0.417,0.032,0.009,2.089,0.052,1.744,0.368,0.023,0.037,0.504,0.093,3.658,1.193,0.063,0.019,2.591,0.062,1.81,0.253,0.293,0.044,2.29,0.074,3.428,0.204,0.584,0.049,3.462,0.061,5.394,0.201,0.502,0.092,1.233,0.153,9.643,0.36,0.065,0.015,1.662,0.099,2.12,0.247
8,1860,0.0,0.002,0.037,0.003,3.123,0.021,0.002,0.007,0.035,0.003,1.768,0.028,0.002,0.005,0.075,0.016,2.848,0.045,0.004,0.0,0.364,0.003,0.5,0.063,0.0,0.016,0.088,0.025,1.274,0.182,0.004,0.004,1.192,0.016,1.122,0.171,0.044,0.009,0.354,0.0,1.395,0.022,0.11,0.007,0.198,0.017,0.637,0.021,0.048,0.013,0.273,0.097,2.321,0.041,0.004,0.004,0.445,0.077,0.644,0.095
9,1867,0.139,0.015,0.045,0.018,1.729,0.104,0.009,0.042,0.129,0.029,1.754,0.162,0.008,0.029,0.435,0.072,3.248,0.118,0.029,0.006,2.813,0.014,0.998,0.2,0.007,0.063,0.566,0.172,3.715,1.45,0.043,0.026,4.777,0.237,3.04,0.194,0.316,0.05,1.672,0.299,2.786,0.059,0.528,0.053,0.927,0.104,5.782,0.048,0.217,0.099,1.22,0.464,9.476,0.132,0.065,0.021,1.769,0.328,3.515,0.352
