,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,45.892,54.608,56.487,45.958,45.493,58.843,53.29,53.973,53.355,44.443,45.815,51.548,50.541,49.708,49.966,41.421,42.665,51.823,45.64,42.264,36.893,35.491,32.938,39.396,37.672,43.112,49.498,34.366,40.406,47.147,46.05,50.618,42.83,45.275,39.398,48.699,42.667,52.837,44.533,49.083,46.156,46.621,46.354,51.106,47.336,43.366,42.656,48.293,43.646,46.843,44.478,39.757,37.908,43.977,40.77,47.628,47.507,43.181,43.2,46.641
1,1808,49.313,58.075,58.967,48.873,46.807,58.065,56.273,54.368,56.23,51.079,48.402,47.882,55.405,49.398,51.397,43.932,42.773,48.84,48.306,44.536,40.994,38.069,34.112,41.009,40.292,42.387,55.025,38.576,41.278,44.279,49.637,49.677,48.392,51.495,45.155,49.404,47.022,52.641,51.256,51.404,47.415,47.226,47.138,49.804,49.619,45.683,42.627,47.791,45.204,48.933,50.175,46.279,41.058,46.196,46.068,47.743,52.496,46.307,44.927,44.719
2,1815,48.676,54.689,54.11,45.83,44.014,56.416,53.007,51.24,53.502,48.648,46.575,46.802,52.237,47.32,48.429,40.659,41.624,49.456,45.216,41.722,37.12,36.758,34.413,39.508,38.494,40.054,50.702,35.49,38.099,43.174,48.577,49.749,43.503,45.759,41.804,46.782,44.549,49.803,48.893,47.559,45.525,43.509,45.657,49.372,45.258,43.141,40.893,44.829,43.849,46.295,45.603,41.424,38.727,43.518,44.17,45.105,50.602,42.385,40.688,40.166
3,1823,48.356,58.003,59.618,46.331,46.802,57.978,54.039,52.169,52.842,45.536,45.817,51.547,52.87,48.906,50.225,41.112,41.99,52.302,46.078,42.27,38.852,36.837,32.872,40.503,38.281,41.08,50.558,34.94,39.008,45.097,47.992,49.698,44.013,45.045,42.474,50.395,44.214,51.117,47.989,49.117,47.082,48.153,45.346,50.571,47.002,44.01,41.638,48.595,43.336,47.898,46.111,41.046,38.468,44.793,41.476,47.075,49.609,42.635,42.842,46.704
4,1830,45.574,52.258,53.457,43.61,42.759,53.036,48.396,47.508,47.598,41.685,42.311,40.421,46.28,46.694,45.3,36.402,38.194,45.754,39.047,37.342,30.588,32.839,29.887,34.783,34.118,40.46,46.222,32.73,36.965,39.54,42.848,48.886,40.943,42.369,39.961,42.3,40.261,46.763,45.383,44.37,43.067,39.76,41.696,47.544,43.558,38.322,37.856,42.584,38.89,43.189,39.674,35.482,35.948,35.182,36.336,44.976,43.266,40.061,40.549,36.587
5,1838,44.424,54.699,54.55,44.065,43.231,57.52,49.283,49.915,49.529,43.586,44.297,48.192,48.392,46.664,48.426,39.188,38.912,50.853,43.484,39.993,34.365,33.204,29.09,36.936,35.816,38.179,50.054,34.203,37.432,45.801,45.538,46.746,42.621,42.933,40.128,46.308,40.054,48.578,44.725,46.014,44.027,44.916,43.545,47.935,46.874,41.456,39.361,45.22,42.792,43.941,42.269,38.431,35.184,39.311,39.147,43.871,48.434,42.144,40.904,43.149
6,1845,43.82,53.855,56.555,43.041,43.267,55.69,48.888,51.008,50.819,42.192,43.391,49.216,47.616,46.719,48.426,38.088,39.785,50.364,42.897,37.008,32.646,30.989,28.054,34.53,32.194,40.475,48.779,32.147,37.039,45.321,43.983,43.78,41.995,41.601,36.008,46.08,37.696,51.454,47.921,46.051,44.678,46.233,43.213,48.116,43.404,40.794,39.392,47.983,41.506,43.635,42.625,36.689,35.092,40.228,38.998,45.023,48.561,39.604,39.81,42.596
7,1852,44.502,58.421,60.661,45.641,46.195,59.658,54.08,53.387,54.475,45.612,45.445,50.47,50.231,47.841,50.443,40.969,41.473,51.594,45.512,42.158,37.406,34.305,30.113,39.125,38.046,40.696,51.661,34.801,39.026,46.666,46.346,49.653,45.175,44.876,43.258,47.918,43.099,52.698,48.551,48.4,46.828,47.141,45.599,50.201,48.038,44.459,42.688,50.13,44.069,46.198,44.634,38.848,37.714,41.365,42.36,46.535,49.935,40.701,43.597,42.752
8,1860,43.772,55.643,55.161,44.48,44.039,53.093,49.8,49.525,47.439,44.365,42.442,43.775,46.43,48.163,48.887,40.887,40.472,48.726,43.761,35.859,30.581,31.31,27.838,32.689,32.129,41.786,47.834,34.398,37.897,43.783,43.48,48.7,42.076,43.439,36.106,43.773,40.241,48.758,45.428,46.735,45.633,41.119,43.515,47.595,43.764,40.769,40.078,42.935,41.565,41.847,41.22,37.069,34.768,34.008,37.756,43.55,43.918,40.376,41.607,36.642
9,1867,40.996,53.357,55.956,40.669,39.157,54.884,48.561,49.316,50.833,39.912,42.873,47.603,45.055,44.809,45.735,36.323,37.175,45.725,41.024,35.721,34.123,28.617,26.63,34.816,30.831,39.098,48.277,29.665,34.443,41.648,41.587,45.412,40.225,37.599,34.379,43.012,36.808,49.792,42.719,43.775,43.327,42.877,41.485,45.857,41.189,37.46,33.7,43.316,39.57,39.595,42.564,34.063,32.818,36.765,37.037,42.358,44.002,36.324,38.814,39.146
