,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,29.611,34.772,31.133,29.72,29.169,30.94,32.146,33.477,30.92,30.591,30.624,33.454,31.48,36.618,16.959,15.839,28.761,33.969,31.997,34.738,32.716,29.385,28.83,29.969,29.074,29.19,27.835,25.687,25.617,28.262,30.791,32.023,28.433,33.081,27.302,31.404,29.47,33.495,30.159,33.545,28.934,32.426,29.795,32.591,17.939,17.696,29.773,33.813,32.009,34.065,31.364,29.203,30.338,33.23,27.115,31.488,28.191,29.015,28.543,29.95
1,1808,32.751,38.968,35.313,35.353,31.727,34.547,33.855,36.395,34.598,32.861,33.841,35.447,33.48,36.21,18.129,1.64,29.168,33.513,32.688,34.862,35.369,33.203,31.512,33.654,31.781,33.872,31.575,29.984,28.663,31.999,33.242,35.213,31.801,36.881,32.065,32.623,33.211,37.259,32.83,37.374,31.771,35.695,32.688,35.853,19.351,18.019,30.914,35.226,32.709,34.838,32.526,32.435,33.68,35.241,30.379,35.763,32.336,32.619,29.213,34.252
2,1815,32.908,38.516,35.416,32.44,32.28,36.301,35.999,33.045,32.331,32.793,30.752,34.442,34.032,37.032,16.555,32.569,28.195,34.768,34.231,34.415,33.753,30.369,28.588,31.876,29.643,29.763,31.132,28.719,26.555,30.119,32.892,32.906,32.105,35.446,29.193,34.573,32.986,35.546,33.617,36.779,31.095,35.779,34.294,33.351,17.438,16.914,29.57,35.043,34.238,35.304,34.793,30.689,31.549,35.737,29.823,34.044,31.951,30.28,28.831,33.841
3,1823,32.682,40.014,35.906,33.486,32.414,33.652,33.664,37.552,35.234,34.024,32.887,35.091,34.396,39.029,17.6,34.147,29.192,34.176,34.089,34.118,35.155,32.675,33.308,32.126,31.951,33.96,32.413,30.379,28.786,32.585,34.989,35.725,30.596,34.362,30.402,32.097,32.007,36.628,31.442,36.515,33.494,34.151,32.258,34.779,18.016,1.705,29.083,34.173,33.651,36.681,32.353,31.379,33.16,35.98,29.451,35.908,31.204,33.997,31.655,33.395
4,1830,30.899,36.13,32.796,31.499,31.005,35.302,32.042,35.909,33.316,32.949,32.964,36.983,34.127,36.508,16.757,1.548,15.439,17.227,16.996,34.896,34.218,30.214,32.433,31.426,28.316,31.191,28.899,27.871,27.004,30.828,31.569,35.434,29.753,32.784,30.646,32.893,30.711,34.258,31.84,34.747,32.979,33.954,31.553,32.559,17.28,17.053,14.964,34.824,1.755,36.365,32.815,31.902,32.546,36.088,27.981,36.816,32.05,32.341,31.16,33.091
5,1838,33.539,37.622,35.564,32.881,33.317,33.945,34.03,35.578,32.946,35.011,33.4,35.587,34.146,36.668,16.732,32.476,30.014,35.058,34.29,33.808,35.078,31.214,34.15,32.887,30.626,34.519,31.377,29.623,28.823,32.521,32.972,34.001,29.924,34.365,31.362,33.608,32.782,39.239,31.783,36.64,34.963,35.41,33.375,36.026,18.09,17.718,31.338,36.239,35.146,37.768,33.896,31.8,34.332,35.912,30.218,36.757,32.003,32.384,33.207,34.189
6,1845,32.524,40.001,35.936,33.293,33.482,34.092,33.803,38.216,32.451,34.981,33.708,34.757,34.371,39.026,16.104,15.561,30.022,36.546,34.257,36.06,34.317,31.184,33.112,32.425,29.95,33.333,30.749,28.866,28.875,31.225,32.242,34.573,29.686,34.06,31.55,32.319,31.317,37.913,31.957,36.607,35.027,34.977,32.607,35.801,17.302,17.113,30.754,36.744,34.053,38.053,32.788,31.781,34.401,35.012,29.482,37.106,31.04,34.773,33.691,33.256
7,1852,30.922,36.658,32.02,29.447,32.758,31.832,32.128,38.032,34.14,31.475,33.172,33.55,33.282,36.6,16.048,31.731,30.241,33.451,34.607,35.795,32.794,30.574,33.234,31.015,28.547,33.001,28.952,27.602,28.021,29.704,31.45,36.961,28.544,33.583,31.446,29.291,31.18,39.193,30.086,32.49,34.458,33.471,31.561,37.624,17.273,33.16,34.142,34.456,34.266,37.512,32.314,31.023,33.514,35.34,28.066,35.641,29.434,30.5,32.061,31.411
8,1860,29.756,35.615,29.481,27.901,31.417,30.748,31.291,35.355,30.904,32.584,31.907,33.109,32.63,36.468,16.114,15.757,14.194,32.475,17.69,29.849,31.01,28.565,31.394,30.204,26.389,30.939,27.51,29.121,26.834,28.765,29.455,33.384,29.083,32.278,30.811,32.438,29.078,34.667,31.024,34.191,32.968,32.407,31.989,32.64,16.528,16.726,14.195,33.253,17.481,34.983,31.122,29.46,31.825,32.078,26.365,35.612,29.046,28.988,31.459,30.681
9,1867,30.2,39.536,35.158,28.969,32.907,33.135,33.271,38.677,33.054,33.071,32.448,35.103,32.13,37.997,16.405,32.705,28.483,33.785,32.907,35.457,33.524,29.577,32.481,31.965,27.368,32.201,29.18,25.624,27.779,29.516,28.869,38.402,29.89,33.995,29.301,33.937,31.321,40.125,30.489,35.388,34.091,34.49,31.688,35.281,17.582,34.882,31.29,37.124,34.206,38.147,30.327,29.535,33.486,34.555,27.288,38.349,29.743,28.424,32.386,33.03
