,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
0,Afghanistan,0.0,10.3,32.1,16.2,22.5,28.6,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.8,0.0,1.8,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.5,3.1,12.2,8.9,13.2,29.1,12.7,14.1,28.9,26.3,1.7,14.2,1.6,0.0,6.9,0.0,2.5,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
1,Yemen,5.0,8.8,31.0,15.2,24.0,28.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,5.0,16.7,16.2,10.1,28.6,11.3,19.2,27.6,27.5,0.0,13.6,0.0,0.0,8.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
2,Iraq,5.3,12.2,32.6,18.3,26.1,28.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.3,0.0,6.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.5,4.8,4.4,15.5,14.9,16.4,30.6,17.1,20.6,29.4,27.8,3.5,16.0,2.9,3.2,11.0,3.7,3.9,0.0,2.6,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,3.4
3,Pakistan,0.0,21.5,19.0,15.6,9.2,14.4,9.8,0.0,0.0,0.0,0.0,0.0,0.0,3.8,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,8.9,7.0,0.0,2.6,5.3,21.6,24.0,18.8,10.8,20.5,19.8,7.5,12.8,4.0,0.0,5.1,2.9,4.2,2.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.3,0.0,0.0
4,Syria,4.1,8.9,32.1,17.9,27.0,31.3,28.7,0.0,0.0,2.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,2.5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,4.7,16.6,16.9,11.9,29.1,11.9,22.2,29.1,28.8,0.0,14.3,0.0,0.0,13.8,4.4,3.4,2.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
5,Democratic Republic of Congo,0.0,9.3,15.7,2.6,10.3,11.1,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,1.6,3.4,0.0,12.5,1.4,2.9,8.5,9.6,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,15.1,21.0,14.4,14.8,18.5,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,4.9,0.0,3.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,9.6,4.8,0.0,7.2,9.4,17.1,24.9,15.5,15.2,22.3,23.2,3.5,11.6,0.0,0.0,6.2,2.7,3.5,3.3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.6,0.0,0.0
7,Mali,3.7,11.0,25.6,11.5,17.4,20.6,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.0,0.0,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.0,4.4,10.7,10.7,12.2,28.4,11.3,12.0,26.8,26.2,2.2,12.1,0.0,0.0,7.3,3.1,2.3,2.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,3.2,12.2,28.3,12.3,19.3,23.2,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.2,0.0,3.2,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.8,1.6,8.9,10.8,14.1,27.3,10.9,9.7,25.1,28.2,5.6,12.1,2.1,0.0,6.4,3.8,4.3,3.1,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.2,0.0,0.0
9,Saudi Arabia,0.0,8.8,19.9,9.7,10.7,12.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.2,0.0,2.0,3.2,6.4,17.7,8.7,6.6,15.1,8.2,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
