,date,"In this sentence: 'In 2016, _ has become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ was an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will be an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is being an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has been an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ became an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ becomes an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ will become an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In 2016, _ is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a kid.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a teenager.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a grown up.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become a child.', the missing gendered pronoun is","In this sentence: 'In 2016, _ has become an adolescent.', the missing gendered pronoun is"
0,1801,3.101,99.511,2.27,1.347,98.827,1.859,99.706,99.413,1.604,0.983,2.038,2.145,2.69,98.974,0.0,1.625,0.915,1.985,2.335,2.792,1.663,1.625,2.371,2.827,2.548,1.863,1.449,1.763,1.154,1.657,2.808,98.095,98.241,99.218,2.078,2.235,99.364,3.909,2.316,2.525,2.457,1.886,3.74,96.288,1.249,1.295,1.373,95.8,99.071,2.127,1.488,2.749,1.712,1.704,2.872,2.765,1.133,1.272,1.444,1.447
1,1808,0.95,99.608,1.391,0.961,99.462,1.847,99.755,99.657,1.029,0.637,0.729,1.138,1.805,99.511,0.616,0.967,0.0,0.838,99.608,2.017,1.12,1.161,1.778,1.646,1.775,0.581,0.939,1.498,0.469,1.309,1.381,98.876,1.83,1.183,1.183,2.222,99.364,1.99,1.228,0.737,1.119,2.004,2.213,2.281,1.256,0.817,0.874,1.508,2.022,1.855,1.241,1.342,1.344,1.292,1.941,1.197,0.81,1.039,0.823,1.4
2,1815,0.825,99.608,1.358,0.967,0.714,1.773,99.706,99.56,0.869,0.606,1.339,1.786,1.604,99.608,0.61,0.0,0.0,0.739,99.462,2.188,1.04,0.935,1.513,1.636,1.347,0.61,0.717,0.702,0.742,1.422,1.305,98.437,1.091,1.393,1.141,1.949,99.413,1.715,1.208,0.673,0.973,2.095,2.355,2.142,0.86,0.742,0.883,1.435,99.413,2.093,1.064,1.058,1.254,1.447,1.461,98.729,0.747,0.845,0.729,1.117
3,1823,0.867,99.706,1.283,1.072,0.851,1.968,1.727,99.657,0.935,0.727,1.275,2.113,1.834,99.608,0.575,0.0,0.0,0.903,99.462,2.063,1.067,0.972,1.435,1.955,1.442,0.708,0.822,0.747,0.428,1.579,1.463,98.876,1.353,1.208,1.056,2.067,99.364,1.703,1.209,0.736,0.861,2.274,2.371,1.86,1.152,0.893,0.739,1.634,1.073,1.749,1.015,1.099,1.236,1.532,1.823,98.925,0.934,0.954,0.939,1.265
4,1830,0.747,99.315,0.77,0.864,0.629,0.792,99.657,99.462,0.822,0.606,0.531,1.426,0.843,99.267,0.0,0.0,0.0,0.626,0.0,2.003,1.006,1.379,1.678,1.477,1.714,0.477,0.617,0.728,0.315,1.174,1.229,98.437,1.081,99.364,1.064,1.831,99.218,1.755,1.208,0.663,0.948,1.383,2.274,97.802,98.974,0.0,1.011,1.295,99.267,1.796,1.125,1.18,2.943,1.517,2.0,0.876,0.633,0.884,0.68,1.046
5,1838,0.925,99.608,0.733,0.819,0.763,1.579,99.706,99.413,0.859,0.603,1.217,1.079,1.59,99.511,0.417,0.0,0.0,0.811,99.462,1.854,1.022,1.105,1.463,1.596,1.282,0.602,0.646,0.691,0.404,1.131,1.194,98.729,1.192,1.202,0.808,1.942,99.267,1.668,1.06,0.761,0.772,2.206,2.205,2.318,0.982,0.676,0.908,1.712,2.213,2.124,1.06,1.143,1.036,1.443,1.717,1.347,0.714,0.887,0.775,1.079
6,1845,0.838,99.608,1.08,0.875,0.678,1.484,99.706,99.511,0.838,0.528,0.529,1.025,1.562,99.608,0.0,0.0,0.0,0.664,99.608,1.57,0.941,1.112,1.552,1.473,1.45,0.543,0.595,0.746,0.406,1.319,1.322,98.632,1.251,1.093,0.853,1.878,99.364,1.909,1.276,0.668,0.824,2.056,2.048,2.263,1.041,0.775,0.9,1.519,99.315,1.976,1.019,1.29,1.326,1.324,1.637,1.118,0.754,0.891,0.768,0.855
7,1852,0.745,99.511,0.715,0.933,0.634,1.405,99.755,99.511,0.782,0.547,1.227,0.877,1.611,99.462,0.0,0.0,0.0,0.676,99.364,1.62,1.06,1.069,1.521,1.385,1.921,0.596,0.568,0.568,0.436,1.154,1.168,98.681,1.103,1.073,0.957,1.836,1.894,1.643,1.204,0.709,0.871,1.917,2.107,98.144,0.837,0.0,0.82,1.432,99.267,1.736,1.096,1.97,1.157,1.27,1.706,1.203,0.672,0.914,0.749,0.987
8,1860,0.66,99.413,0.484,0.6,0.48,0.644,99.511,99.462,0.621,0.502,0.455,0.732,1.327,99.315,0.0,0.0,0.0,0.724,0.615,1.971,2.567,0.0,1.857,1.36,1.749,0.471,0.466,0.534,0.0,0.875,0.57,98.095,0.895,99.364,0.999,0.829,99.315,1.421,0.922,0.593,1.021,1.871,2.452,97.899,0.796,0.0,1.613,1.239,99.218,1.51,0.831,0.874,1.273,1.115,1.364,1.027,0.428,1.015,0.814,0.775
9,1867,0.785,99.657,1.337,1.079,99.413,0.927,99.755,99.462,0.871,0.656,1.461,1.646,1.519,99.657,0.55,0.0,0.622,0.985,99.608,90.868,1.208,1.156,1.743,1.354,1.188,0.765,0.94,0.871,0.374,1.41,1.254,98.876,1.737,99.413,0.922,1.974,2.009,2.022,1.279,0.749,0.774,1.909,2.243,2.257,0.861,0.99,0.914,1.389,99.56,1.938,1.797,2.179,1.158,1.411,1.665,1.085,0.677,1.318,0.782,0.937
