,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,5.994,95.849,15.076,6.192,3.006,11.023,19.067,60.644,8.05,54.785,4.264,7.381,76.513,79.589,0.0,0.0,0.0,0.0,11.188,1.747,2.333,5.029,1.006,4.294,50.39,2.301,3.635,4.211,0.0,2.759,17.566,12.939,14.868,4.623,6.732,13.061,8.936,12.721,52.734,1.703,3.494,0.0,9.623,7.685,8.858,5.805,4.361,2.448,11.314,5.338,7.633,5.388,0.741,4.161,4.951,6.03,0.0,0.0,0.0,0.0
1,Yemen,8.002,94.189,18.445,6.403,6.036,12.598,19.641,65.38,5.417,22.778,3.41,9.027,33.545,84.814,0.0,3.069,7.062,0.0,11.883,3.18,3.403,7.373,0.0,6.665,25.415,3.275,3.473,6.342,1.669,10.486,22.851,5.066,14.16,10.669,3.934,11.224,20.215,6.658,12.863,2.339,1.616,4.457,9.61,6.154,12.982,2.995,4.445,3.162,15.446,2.423,8.904,2.458,1.689,3.494,3.713,61.474,5.072,0.0,56.542,0.0
2,Iraq,2.052,97.265,7.873,6.708,6.726,15.491,23.828,69.97,9.045,71.093,9.881,13.032,90.624,84.032,3.455,0.0,8.465,0.0,3.812,3.977,4.861,12.671,1.264,10.779,24.634,1.794,3.0,3.241,1.301,2.96,18.127,4.282,6.244,4.123,6.097,15.747,7.886,54.15,5.328,1.656,8.226,3.412,3.714,10.281,70.068,5.435,9.316,14.329,59.521,9.545,56.103,6.091,4.008,61.572,8.221,2.118,0.0,0.0,3.873,3.894
3,Pakistan,6.107,90.233,4.431,4.736,2.725,6.067,4.382,55.419,6.136,10.322,3.484,10.73,71.191,84.032,0.0,4.01,9.979,7.353,15.198,4.164,6.708,16.284,2.647,12.598,27.221,2.905,3.213,5.597,1.773,4.572,5.621,5.325,4.962,3.087,3.427,11.059,5.786,9.985,12.128,2.58,2.46,5.321,9.741,10.046,56.494,0.0,4.161,3.486,54.54,5.457,11.385,4.142,2.097,7.518,2.109,56.835,69.335,0.0,0.0,0.0
4,Syria,3.076,93.456,4.492,12.207,5.701,13.562,21.325,63.574,5.801,57.812,4.163,7.825,22.424,73.144,0.0,0.0,0.0,0.0,7.422,2.446,2.403,7.196,0.947,8.301,12.854,1.561,1.997,3.339,0.0,2.37,13.66,7.648,10.162,3.326,5.835,10.382,6.781,8.486,57.324,1.3,5.03,8.161,9.66,5.591,60.644,1.874,4.061,6.994,55.761,4.742,12.812,0.0,1.875,12.179,6.855,1.665,0.0,0.0,0.0,0.0
5,Democratic Republic of Congo,11.407,20.569,17.248,20.996,5.167,24.988,34.643,62.646,10.201,17.133,7.233,12.747,46.557,79.15,0.0,5.862,0.0,0.0,27.075,3.274,7.037,6.348,3.802,4.985,34.814,4.434,8.429,17.688,4.391,14.685,33.178,16.98,19.604,16.504,9.57,22.4,23.095,10.146,4.376,2.936,6.317,0.0,11.322,7.914,58.496,3.43,5.718,4.858,7.513,5.318,49.78,6.229,2.689,6.988,8.968,76.122,5.579,6.354,4.66,0.0
6,Iran,2.116,4.324,3.857,3.598,0.0,11.493,9.576,12.475,4.846,8.031,2.467,9.903,79.15,59.96,0.0,0.0,4.803,7.219,10.657,4.913,5.902,4.233,1.436,4.82,18.506,1.335,2.095,5.02,0.0,3.345,11.31,4.349,5.704,2.57,2.901,12.341,4.617,7.373,8.89,4.753,3.004,2.348,11.454,6.254,54.15,6.659,2.685,3.026,55.712,2.251,6.851,0.812,1.323,3.122,1.221,10.138,0.0,0.0,5.081,4.822
7,Mali,4.456,91.161,6.86,6.097,8.935,14.319,21.679,51.806,8.098,13.079,6.364,10.405,41.162,87.157,0.0,5.395,10.351,0.0,25.635,2.73,7.245,15.674,3.952,13.306,28.1,2.611,3.879,6.525,0.0,4.05,21.057,5.099,5.917,3.839,3.622,15.283,6.604,8.952,4.135,3.067,7.834,0.0,10.284,10.286,74.413,4.135,7.259,4.032,62.158,9.023,55.81,0.0,2.58,8.58,9.366,84.277,6.238,2.403,0.0,0.0
8,Chad,4.687,89.355,4.623,3.983,7.867,7.025,6.677,54.345,7.608,27.832,4.411,14.795,27.197,84.13,4.745,3.412,8.685,0.0,17.212,2.226,11.584,23.23,2.364,19.58,31.176,3.458,4.272,7.434,4.166,13.769,19.385,5.887,14.355,4.578,3.879,12.964,8.166,10.072,5.148,2.876,8.924,0.0,15.076,11.124,58.642,3.65,7.568,6.409,59.814,7.564,49.462,6.061,3.35,9.946,10.052,81.591,5.261,2.667,0.0,5.716
9,Saudi Arabia,3.886,6.555,6.848,5.148,2.893,8.301,11.029,3.996,1.281,24.377,1.233,5.74,37.304,49.658,0.0,2.64,4.996,3.31,8.337,3.041,1.213,4.575,0.424,11.395,32.495,2.119,0.0,7.342,0.0,5.197,3.638,4.245,5.109,3.891,3.326,10.791,7.056,1.939,3.933,1.466,0.525,1.839,11.195,3.717,7.143,2.58,1.525,1.782,6.281,1.612,1.706,0.346,0.052,1.377,2.843,6.546,3.269,0.677,0.573,1.897
10,Switzerland,5.612,95.019,4.678,3.049,8.685,15.478,5.17,67.333,54.248,72.07,8.102,60.546,91.503,86.669,0.0,0.0,7.934,8.118,13.843,4.037,4.33,7.104,4.926,19.372,17.016,3.339,2.67,4.294,2.345,4.413,6.976,4.184,9.991,2.176,3.83,11.81,3.888,13.087,0.0,1.335,10.818,0.0,84.472,56.787,87.499,5.173,14.444,58.105,9.18,11.503,82.665,0.0,10.053,76.171,67.529,85.058,0.0,0.0,3.87,0.0
11,Ireland,12.585,95.116,5.399,5.505,10.235,18.42,6.403,66.845,14.943,55.664,11.415,26.416,39.502,89.501,6.891,4.813,10.632,12.72,23.803,6.647,4.184,19.836,7.031,23.23,33.252,3.394,5.109,6.134,6.049,16.65,24.658,14.014,11.951,3.928,8.972,19.873,7.739,11.249,2.419,2.428,9.701,4.108,69.579,49.291,3.038,3.348,12.499,0.0,18.701,10.285,62.451,6.799,8.416,51.22,16.714,2.609,5.395,2.38,6.189,10.748
12,Lithuania,4.12,96.483,11.859,5.933,9.924,23.926,19.299,64.013,14.748,65.136,13.777,52.587,89.013,86.669,5.453,4.361,9.405,12.323,15.393,7.223,60.693,21.338,6.775,30.2,33.203,87.743,4.547,6.36,3.397,19.519,22.351,91.503,6.149,3.107,9.888,20.337,5.637,11.807,64.99,53.808,9.022,12.633,79.296,69.628,87.939,80.468,56.005,59.814,89.11,11.55,77.294,2.472,9.018,58.886,54.443,81.591,0.0,2.525,83.642,3.378
13,Rwanda,6.494,13.354,3.967,5.551,2.17,3.677,11.944,68.163,6.915,66.503,8.234,10.954,27.661,89.648,0.0,0.0,1.289,0.0,12.048,2.881,0.0,5.701,0.0,3.871,23.669,0.0,2.628,4.691,0.0,7.361,22.607,7.019,9.967,3.102,6.641,7.458,3.735,10.514,0.0,1.164,7.703,0.0,58.349,8.672,72.46,0.0,6.088,4.282,4.84,5.124,57.128,0.0,3.29,6.067,5.45,82.909,0.0,0.0,0.0,0.0
14,Namibia,11.035,95.995,5.377,5.292,8.002,14.892,16.858,58.593,10.049,50.927,6.323,13.589,41.992,91.308,0.0,0.0,11.676,0.0,24.194,3.757,7.935,7.342,3.973,17.493,32.348,3.03,4.147,7.727,4.401,11.59,22.229,5.148,5.222,3.571,4.199,12.866,5.331,11.516,4.864,2.368,7.843,0.0,61.962,11.675,76.415,0.0,9.009,5.908,6.457,10.914,62.89,0.0,3.707,9.134,7.656,83.642,6.012,5.157,0.0,8.612
