,date,"[NLU] In 2016, <extra_id_0> has become an adult.","[NLU] In 2016, <extra_id_0> was a kid.","[NLU] In 2016, <extra_id_0> was a teenager.","[NLU] In 2016, <extra_id_0> was a grown up.","[NLU] In 2016, <extra_id_0> was a child.","[NLU] In 2016, <extra_id_0> was an adolescent.","[NLU] In 2016, <extra_id_0> was an adult.","[NLU] In 2016, <extra_id_0> is a kid.","[NLU] In 2016, <extra_id_0> is a teenager.","[NLU] In 2016, <extra_id_0> is a grown up.","[NLU] In 2016, <extra_id_0> is a child.","[NLU] In 2016, <extra_id_0> is an adolescent.","[NLU] In 2016, <extra_id_0> is an adult.","[NLU] In 2016, <extra_id_0> will be a kid.","[NLU] In 2016, <extra_id_0> will be a teenager.","[NLU] In 2016, <extra_id_0> will be a grown up.","[NLU] In 2016, <extra_id_0> will be a child.","[NLU] In 2016, <extra_id_0> will be an adolescent.","[NLU] In 2016, <extra_id_0> will be an adult.","[NLU] In 2016, <extra_id_0> is being a kid.","[NLU] In 2016, <extra_id_0> is being a teenager.","[NLU] In 2016, <extra_id_0> is being a grown up.","[NLU] In 2016, <extra_id_0> is being a child.","[NLU] In 2016, <extra_id_0> is being an adolescent.","[NLU] In 2016, <extra_id_0> is being an adult.","[NLU] In 2016, <extra_id_0> has been a kid.","[NLU] In 2016, <extra_id_0> has been a teenager.","[NLU] In 2016, <extra_id_0> has been a grown up.","[NLU] In 2016, <extra_id_0> has been a child.","[NLU] In 2016, <extra_id_0> has been an adolescent.","[NLU] In 2016, <extra_id_0> has been an adult.","[NLU] In 2016, <extra_id_0> became a kid.","[NLU] In 2016, <extra_id_0> became a teenager.","[NLU] In 2016, <extra_id_0> became a grown up.","[NLU] In 2016, <extra_id_0> became a child.","[NLU] In 2016, <extra_id_0> became an adolescent.","[NLU] In 2016, <extra_id_0> became an adult.","[NLU] In 2016, <extra_id_0> becomes a kid.","[NLU] In 2016, <extra_id_0> becomes a teenager.","[NLU] In 2016, <extra_id_0> becomes a grown up.","[NLU] In 2016, <extra_id_0> becomes a child.","[NLU] In 2016, <extra_id_0> becomes an adolescent.","[NLU] In 2016, <extra_id_0> becomes an adult.","[NLU] In 2016, <extra_id_0> will become a kid.","[NLU] In 2016, <extra_id_0> will become a teenager.","[NLU] In 2016, <extra_id_0> will become a grown up.","[NLU] In 2016, <extra_id_0> will become a child.","[NLU] In 2016, <extra_id_0> will become an adolescent.","[NLU] In 2016, <extra_id_0> will become an adult.","[NLU] In 2016, <extra_id_0> is becoming a kid.","[NLU] In 2016, <extra_id_0> is becoming a teenager.","[NLU] In 2016, <extra_id_0> is becoming a grown up.","[NLU] In 2016, <extra_id_0> is becoming a child.","[NLU] In 2016, <extra_id_0> is becoming an adolescent.","[NLU] In 2016, <extra_id_0> is becoming an adult.","[NLU] In 2016, <extra_id_0> has become a kid.","[NLU] In 2016, <extra_id_0> has become a teenager.","[NLU] In 2016, <extra_id_0> has become a grown up.","[NLU] In 2016, <extra_id_0> has become a child.","[NLU] In 2016, <extra_id_0> has become an adolescent."
0,1801,20.245,17.531,20.643,10.979,1.52,19.735,20.644,4.34,39.648,9.348,0.179,26.782,17.387,0.0,19.012,18.531,0.0,17.678,19.102,0.0,0.0,10.797,4.542,0.0,0.0,0.0,2.17,10.547,6.107,16.065,9.664,0.0,21.744,11.173,19.15,20.914,21.118,0.0,0.0,9.531,1.224,0.0,4.481,0.0,20.093,0.43,0.0,0.424,18.981,0.0,0.0,39.672,0.803,0.0,0.0,0.744,0.177,10.508,0.0,0.0
1,1808,20.523,19.298,10.603,11.934,95.36,19.81,20.818,5.326,0.0,31.848,98.437,0.0,19.855,48.046,18.749,19.321,17.154,0.0,19.56,6.77,0.0,6.87,6.045,0.0,53.466,0.0,0.0,11.308,18.635,0.0,10.097,0.198,20.979,11.707,20.699,21.449,21.903,0.194,23.361,10.085,2.812,26.141,18.775,0.215,19.446,9.646,4.57,18.139,19.428,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,10.475,0.0,0.0
2,1815,22.934,19.141,20.775,11.787,94.823,0.0,20.761,54.638,0.0,10.021,1.427,0.0,18.452,16.458,18.683,19.266,16.993,0.0,19.279,0.0,0.0,0.0,12.798,0.0,0.0,0.0,0.0,11.199,18.672,0.0,9.683,0.0,20.819,11.101,20.843,20.522,21.155,0.185,2.208,9.711,2.477,0.0,17.049,0.0,18.126,9.071,2.969,0.0,18.753,0.0,0.0,0.0,1.252,0.0,0.0,18.152,0.0,9.875,0.0,0.0
3,1823,18.933,9.124,11.17,12.067,96.337,20.012,21.982,6.161,0.0,10.867,18.142,0.0,19.887,6.423,18.391,19.499,16.014,18.128,19.032,8.223,7.494,8.658,11.578,0.0,54.833,0.0,0.0,11.348,20.929,0.0,10.344,0.0,21.42,11.525,20.79,22.224,11.239,0.331,3.518,10.212,3.667,23.758,19.315,0.016,19.625,9.378,4.614,0.0,19.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,10.67,0.193,0.0
4,1830,19.827,80.81,10.87,11.707,93.31,10.049,20.8,5.844,0.0,0.986,17.82,0.0,17.804,15.309,17.834,18.581,0.0,0.0,18.333,0.0,0.0,0.0,5.405,0.0,0.0,0.0,0.0,10.659,12.712,0.0,19.969,0.0,11.109,11.349,21.187,21.527,21.23,0.0,2.986,9.943,1.812,0.0,3.892,0.0,18.591,8.407,3.887,0.0,18.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.348,0.891,0.0
5,1838,19.824,9.328,10.895,11.772,94.677,9.634,20.685,5.853,0.0,10.437,0.0,0.0,19.134,14.512,17.711,18.82,16.458,17.875,17.511,1.038,0.0,8.515,11.931,0.0,49.877,0.0,0.0,11.03,10.832,0.0,9.809,0.0,21.093,11.127,21.395,21.537,21.406,0.353,0.0,10.164,2.089,22.458,18.052,22.51,18.677,9.286,15.418,0.0,18.587,0.0,0.0,0.0,0.0,0.0,0.0,11.833,0.0,10.306,7.969,0.0
6,1845,0.0,79.443,10.733,11.571,94.042,0.0,20.258,3.398,0.0,32.66,0.0,0.0,18.86,16.017,17.976,18.926,0.0,0.0,17.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.772,20.438,0.0,9.817,0.206,10.925,10.87,20.931,21.147,21.477,0.198,1.158,8.728,1.494,0.0,16.205,0.0,18.322,7.678,3.083,0.0,18.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.811,0.112,0.0
7,1852,0.0,19.165,11.116,11.623,93.651,0.0,20.436,5.686,0.0,0.851,0.0,0.0,19.26,15.82,17.944,18.724,0.0,0.0,17.807,56.005,0.0,8.072,12.928,0.0,52.343,0.0,0.0,10.334,11.58,0.0,10.454,0.233,21.143,10.823,21.092,21.547,21.358,0.239,0.0,8.443,1.61,0.0,16.905,0.0,18.808,7.819,3.43,0.0,17.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.447,0.706,29.287
8,1860,0.0,95.751,20.183,10.775,18.355,0.0,20.089,0.0,0.0,0.796,0.0,0.0,16.942,15.429,0.0,18.283,2.683,0.0,15.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.225,13.683,0.0,10.265,0.0,10.32,11.33,21.005,0.0,21.19,0.0,1.011,0.0,1.097,0.0,4.263,0.792,0.0,8.224,2.133,0.0,16.199,0.0,0.0,0.0,0.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1867,0.0,19.051,10.671,11.581,92.528,0.0,20.404,5.785,0.0,0.894,0.0,0.0,16.922,16.468,16.947,18.295,0.0,0.0,17.629,13.494,0.0,6.399,10.041,0.0,50.83,11.058,0.0,10.379,21.886,0.0,10.133,0.0,20.426,10.951,20.894,0.0,20.706,0.272,0.0,7.493,1.178,0.0,0.0,17.175,18.013,17.086,3.357,0.0,18.181,0.0,0.0,0.0,1.051,0.0,0.0,0.0,0.0,9.559,0.126,0.0
