,place,"[NLU] In Iceland, <extra_id_0> has become an adult.","[NLU] In Iceland, <extra_id_0> was a kid.","[NLU] In Iceland, <extra_id_0> was a teenager.","[NLU] In Iceland, <extra_id_0> was a grown up.","[NLU] In Iceland, <extra_id_0> was a child.","[NLU] In Iceland, <extra_id_0> was an adolescent.","[NLU] In Iceland, <extra_id_0> was an adult.","[NLU] In Iceland, <extra_id_0> is a kid.","[NLU] In Iceland, <extra_id_0> is a teenager.","[NLU] In Iceland, <extra_id_0> is a grown up.","[NLU] In Iceland, <extra_id_0> is a child.","[NLU] In Iceland, <extra_id_0> is an adolescent.","[NLU] In Iceland, <extra_id_0> is an adult.","[NLU] In Iceland, <extra_id_0> will be a kid.","[NLU] In Iceland, <extra_id_0> will be a teenager.","[NLU] In Iceland, <extra_id_0> will be a grown up.","[NLU] In Iceland, <extra_id_0> will be a child.","[NLU] In Iceland, <extra_id_0> will be an adolescent.","[NLU] In Iceland, <extra_id_0> will be an adult.","[NLU] In Iceland, <extra_id_0> is being a kid.","[NLU] In Iceland, <extra_id_0> is being a teenager.","[NLU] In Iceland, <extra_id_0> is being a grown up.","[NLU] In Iceland, <extra_id_0> is being a child.","[NLU] In Iceland, <extra_id_0> is being an adolescent.","[NLU] In Iceland, <extra_id_0> is being an adult.","[NLU] In Iceland, <extra_id_0> has been a kid.","[NLU] In Iceland, <extra_id_0> has been a teenager.","[NLU] In Iceland, <extra_id_0> has been a grown up.","[NLU] In Iceland, <extra_id_0> has been a child.","[NLU] In Iceland, <extra_id_0> has been an adolescent.","[NLU] In Iceland, <extra_id_0> has been an adult.","[NLU] In Iceland, <extra_id_0> became a kid.","[NLU] In Iceland, <extra_id_0> became a teenager.","[NLU] In Iceland, <extra_id_0> became a grown up.","[NLU] In Iceland, <extra_id_0> became a child.","[NLU] In Iceland, <extra_id_0> became an adolescent.","[NLU] In Iceland, <extra_id_0> became an adult.","[NLU] In Iceland, <extra_id_0> becomes a kid.","[NLU] In Iceland, <extra_id_0> becomes a teenager.","[NLU] In Iceland, <extra_id_0> becomes a grown up.","[NLU] In Iceland, <extra_id_0> becomes a child.","[NLU] In Iceland, <extra_id_0> becomes an adolescent.","[NLU] In Iceland, <extra_id_0> becomes an adult.","[NLU] In Iceland, <extra_id_0> will become a kid.","[NLU] In Iceland, <extra_id_0> will become a teenager.","[NLU] In Iceland, <extra_id_0> will become a grown up.","[NLU] In Iceland, <extra_id_0> will become a child.","[NLU] In Iceland, <extra_id_0> will become an adolescent.","[NLU] In Iceland, <extra_id_0> will become an adult.","[NLU] In Iceland, <extra_id_0> is becoming a kid.","[NLU] In Iceland, <extra_id_0> is becoming a teenager.","[NLU] In Iceland, <extra_id_0> is becoming a grown up.","[NLU] In Iceland, <extra_id_0> is becoming a child.","[NLU] In Iceland, <extra_id_0> is becoming an adolescent.","[NLU] In Iceland, <extra_id_0> is becoming an adult.","[NLU] In Iceland, <extra_id_0> has become a kid.","[NLU] In Iceland, <extra_id_0> has become a teenager.","[NLU] In Iceland, <extra_id_0> has become a grown up.","[NLU] In Iceland, <extra_id_0> has become a child.","[NLU] In Iceland, <extra_id_0> has become an adolescent."
0,Afghanistan,2.078,0.0,92.675,0.0,0.0,0.0,0.0,0.0,0.0,2.581,0.0,0.0,1.746,5.689,2.225,56.494,0.0,0.0,51.904,0.0,0.0,0.0,0.0,0.0,0.0,18.415,18.209,10.519,0.0,0.0,10.452,9.309,0.0,0.0,3.247,0.0,0.0,1.326,0.126,1.211,0.335,0.626,0.325,0.79,0.337,0.511,0.947,0.955,0.605,1.661,0.283,0.45,0.242,0.0,0.0,1.975,0.0,2.796,0.446,0.0
1,Yemen,1.582,0.0,89.11,19.46,12.298,0.0,0.0,4.979,0.0,2.601,0.0,0.0,1.532,0.0,16.044,60.156,0.0,16.578,48.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.489,9.817,0.0,0.0,8.655,3.346,4.79,3.101,1.664,0.0,0.0,0.654,0.398,1.58,0.694,1.05,0.0,1.022,1.267,1.674,0.888,3.008,0.807,0.38,0.519,0.732,0.208,0.0,0.0,2.028,0.0,0.0,3.119,0.0
2,Iraq,0.802,0.0,93.114,0.0,11.26,0.0,0.0,4.121,52.099,5.06,0.0,0.721,2.822,47.241,14.761,18.06,0.0,0.0,72.558,0.0,0.0,0.0,0.0,0.0,0.0,16.827,83.153,9.93,0.0,0.0,10.083,15.711,0.0,0.0,4.995,0.0,0.0,0.467,0.179,0.606,0.501,0.319,0.514,0.852,0.296,1.969,0.775,0.0,0.381,0.516,0.0,1.118,0.332,0.0,0.0,0.0,0.0,0.321,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328,0.0,1.595,0.0,0.0,2.311,16.284,76.757,63.134,4.373,62.695,65.283,0.0,0.0,0.0,0.0,0.0,0.0,10.082,83.3,0.0,9.042,0.0,11.245,59.619,0.0,0.0,9.218,48.657,0.0,0.937,0.833,0.0,0.0,0.873,0.728,4.036,3.281,5.785,2.987,4.172,3.203,0.0,0.701,0.0,0.654,0.0,0.0,0.0,0.0,0.0,0.687,0.0
4,Syria,0.536,0.0,84.765,0.0,11.855,0.0,0.0,0.0,0.312,16.57,0.0,0.0,2.863,0.34,14.573,17.237,0.0,0.0,76.073,0.0,0.0,0.0,0.0,0.0,0.0,76.806,73.095,9.004,0.0,0.0,9.421,2.725,62.158,0.0,3.557,0.0,0.0,0.211,0.297,1.025,0.58,1.346,0.586,1.976,0.657,2.14,0.865,0.0,0.682,0.272,0.543,1.35,0.23,0.0,0.0,2.697,0.0,0.365,0.0,0.0
5,Democratic Republic of Congo,1.164,9.612,70.995,8.855,9.502,8.377,9.829,0.0,0.0,2.803,0.0,0.0,1.759,3.716,39.892,2.347,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,59.619,59.57,9.256,0.0,6.729,8.571,59.472,2.627,0.0,2.459,4.17,1.118,0.332,0.146,0.182,0.194,0.0,0.243,0.792,0.328,0.64,0.0,0.0,0.922,0.303,0.269,0.0,0.027,0.0,0.0,2.02,0.0,0.0,2.254,0.0
6,Iran,2.505,0.0,0.0,0.0,0.0,0.0,0.0,3.753,0.0,1.672,2.768,0.0,2.361,65.087,0.224,17.07,15.14,60.009,58.3,0.0,0.0,0.0,0.0,0.0,0.0,9.734,78.222,9.353,9.294,0.0,10.217,4.57,0.0,0.0,56.494,0.0,0.0,1.09,0.404,0.533,0.57,0.726,0.0,2.013,2.838,1.609,1.216,3.358,2.356,0.672,0.616,1.425,0.439,0.0,0.0,0.378,0.0,0.0,0.435,0.0
7,Mali,2.024,0.0,95.312,0.0,89.501,0.0,0.0,3.121,0.0,1.664,0.0,3.13,1.318,66.308,0.0,15.439,0.0,3.381,43.554,0.0,0.0,0.0,0.0,0.0,0.0,85.497,0.0,10.386,0.0,0.0,0.0,60.497,51.123,0.0,4.016,63.915,0.0,0.878,0.179,0.41,0.339,0.179,16.296,2.428,1.541,0.812,1.11,0.825,1.831,1.21,0.425,1.143,0.3,0.0,0.0,2.553,0.384,0.364,3.151,0.326
8,Chad,2.288,0.0,92.138,0.0,77.831,0.0,85.546,2.966,0.0,1.551,0.0,0.0,0.765,51.123,4.055,15.67,0.0,55.273,50.39,0.0,0.0,0.0,0.0,0.0,0.0,47.973,81.542,9.657,0.0,0.0,6.926,59.716,4.412,0.0,1.685,73.925,2.17,1.883,1.091,1.016,0.298,0.759,0.34,0.653,0.225,0.468,0.16,0.872,0.665,1.253,0.534,0.0,0.133,3.083,0.0,2.547,98.485,2.056,2.332,0.0
9,Saudi Arabia,1.038,0.0,0.0,0.0,11.879,0.0,0.0,1.921,0.0,2.352,2.809,2.709,1.695,54.98,0.0,57.372,2.671,49.34,4.39,0.0,0.0,0.0,0.0,0.0,0.358,81.933,0.0,11.118,60.742,1.36,7.791,52.88,0.0,0.0,53.466,0.0,0.0,0.516,0.218,0.465,0.24,0.417,0.0,1.185,0.851,1.016,0.724,3.683,1.384,0.0,0.138,2.184,0.114,0.0,0.0,1.754,1.308,14.49,0.0,0.0
