,place,"[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,0.0,0.46,51.428,0.0,44.244,0.0,45.526,0.289,0.926,45.013,0.28,39.001,36.407,0.388,41.68,0.0,0.0,0.0,0.0,0.454,1.246,0.0,0.281,0.0,0.0,49.023,51.177,0.0,0.228,41.461,45.141,37.719,1.081,0.0,0.272,0.0,0.0,0.268,5.893,0.0,0.251,0.0,0.0,37.768,0.0,0.0,0.0,0.0,0.0,0.407,1.248,0.0,0.623,0.0,40.002,39.087,0.0,0.0,0.0,0.0
1,Yemen,0.0,45.184,49.194,50.17,41.119,0.0,44.976,0.81,1.465,44.836,0.319,39.27,35.174,0.0,40.768,0.0,0.0,0.0,0.0,0.501,32.949,39.349,0.297,0.0,0.0,0.196,52.752,0.0,0.277,45.12,38.696,37.28,39.068,37.652,0.0,0.0,35.708,0.88,27.173,34.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.786,27.026,0.0,0.232,34.884,33.3,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.992,0.476,45.706,51.306,38.87,38.281,45.22,0.393,1.104,50.439,0.398,38.031,41.449,0.429,33.374,0.82,28.759,0.0,0.769,0.58,31.076,0.49,0.378,35.476,0.345,1.205,0.0,1.139,40.673,42.572,42.303,0.449,35.525,0.336,0.274,0.0,32.113,0.944,1.188,0.0,0.0,0.0,0.0,0.502,0.0,0.765,0.0,1.072,0.871,0.48,35.647,0.0,0.316,0.0,36.013,0.0,0.0,0.678,0.26,0.0
3,Pakistan,0.0,0.372,39.502,42.199,38.781,36.12,36.706,0.677,1.212,1.176,0.293,25.567,26.922,0.0,36.306,37.002,0.0,0.0,0.0,0.446,28.122,23.108,0.293,0.0,0.0,0.406,44.799,40.216,0.0,0.0,37.313,37.695,6.378,36.798,0.0,0.0,30.188,0.827,20.178,19.678,0.0,0.0,21.582,0.0,0.0,0.0,0.0,0.0,0.0,0.248,6.451,1.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,0.81,33.163,41.812,0.0,0.298,37.606,36.145,0.44,1.159,43.481,0.29,33.45,28.726,23.205,32.519,0.47,24.56,0.0,0.462,25.854,2.137,41.9,25.903,31.808,22.192,41.339,0.0,0.538,0.237,40.063,25.195,0.372,0.954,40.582,0.226,0.0,29.605,0.304,1.154,0.96,0.249,0.669,0.0,17.224,0.0,0.738,0.388,0.623,0.445,41.992,7.123,0.0,0.226,0.0,30.285,36.889,0.0,0.401,0.253,0.0
5,Democratic Republic of Congo,0.0,0.303,1.285,1.11,0.252,42.382,0.0,0.187,1.226,0.924,0.625,0.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,31.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941,24.988,39.587,0.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,31.714,41.754,40.051,26.468,37.176,29.663,0.239,1.077,1.219,0.181,35.98,0.0,0.0,36.883,0.0,0.0,0.0,0.0,0.806,31.259,29.376,0.323,0.0,0.0,32.531,40.35,28.936,23.089,39.419,31.045,30.151,35.171,32.922,30.224,0.0,22.717,0.0,27.539,27.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.934,32.574,0.0,20.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,21.57,34.774,30.169,95.214,29.358,21.689,0.249,1.152,24.164,0.195,24.569,0.0,15.564,22.9,0.329,93.358,0.0,0.0,15.918,17.309,20.459,0.243,24.286,0.0,22.839,35.241,26.84,95.507,33.874,0.0,21.072,34.913,25.677,28.54,0.0,0.0,0.0,0.0,24.292,15.076,0.0,0.0,0.593,0.0,0.321,0.0,0.0,0.0,28.738,25.631,27.45,17.944,26.477,0.0,0.0,0.0,0.0,0.289,0.0
8,Chad,0.0,0.273,0.825,45.697,39.755,0.783,43.335,0.248,2.229,37.375,0.189,1.022,31.86,29.004,36.912,0.0,0.0,0.0,0.0,25.122,23.755,31.884,22.949,0.0,0.0,0.683,43.881,0.0,29.541,46.163,0.0,0.871,1.078,0.0,25.879,46.759,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.595,0.626,0.0,0.46,43.011,39.816,37.326,0.266,41.149,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.0,0.407,45.263,48.333,44.043,0.0,40.911,0.85,1.081,1.018,0.566,40.362,0.0,0.0,35.229,0.0,0.0,0.0,0.0,0.502,33.389,40.698,0.408,0.0,0.0,0.262,46.954,44.995,0.427,0.0,0.0,0.0,0.0,1.045,0.0,0.0,0.0,0.0,0.0,33.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017,8.209,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Switzerland,0.0,30.102,37.503,35.351,30.859,42.199,33.545,0.0,33.123,29.956,0.513,41.986,0.0,0.0,0.0,30.639,0.0,0.0,0.0,21.155,23.205,30.851,19.69,36.718,0.0,38.211,0.0,37.091,26.635,39.48,0.0,24.035,27.148,31.305,25.146,35.214,26.172,0.0,0.0,26.001,0.0,30.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.426,0.0,34.14,24.17,28.979,0.0,0.0,0.0,0.0,0.0,0.0
11,Ireland,0.0,35.931,39.901,40.237,37.109,40.692,40.225,0.791,35.159,37.863,0.191,37.185,32.641,0.0,0.0,31.689,26.001,0.0,0.0,23.169,21.899,32.364,0.233,1.163,0.0,0.8,0.0,37.112,0.0,0.0,0.0,32.91,0.0,38.083,25.488,0.0,0.0,0.0,0.0,30.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.141,28.955,35.339,0.238,0.0,0.0,0.0,0.0,40.814,0.0,0.0
12,Lithuania,0.415,0.851,19.543,74.12,58.398,92.919,18.713,0.151,0.94,75.39,0.0,93.212,44.409,0.329,0.0,0.685,0.0,0.215,0.09,1.51,2.46,83.984,1.067,0.0,0.238,81.591,0.996,0.314,70.019,0.0,0.339,67.284,19.067,10.12,62.158,0.0,11.755,12.244,18.469,0.202,11.041,95.458,0.287,9.65,0.0,0.085,0.091,0.0,0.226,12.103,0.0,17.431,85.009,19.079,0.0,1.279,0.0,0.409,0.353,0.0
13,Rwanda,0.0,36.569,43.499,0.0,34.796,39.599,39.669,0.258,1.288,37.533,0.291,34.991,0.0,0.0,0.0,0.435,0.0,0.0,0.0,24.023,23.803,27.807,0.0,0.609,1.054,0.927,0.0,0.539,40.197,0.0,0.621,37.255,38.549,0.0,0.334,36.688,27.221,17.981,0.0,29.077,0.248,0.0,0.0,22.314,0.0,0.725,0.0,0.0,0.0,36.059,26.587,0.0,16.479,28.027,0.0,0.0,0.0,0.0,0.0,0.0
14,Namibia,0.0,0.833,40.695,0.0,25.757,39.981,27.954,0.192,1.356,35.55,0.517,35.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,22.668,14.966,0.249,0.0,15.368,0.0,0.0,0.182,0.0,0.0,0.0,0.263,28.808,0.0,0.0,0.0,0.0,18.506,0.0,15.405,0.0,0.0,0.0,0.0,0.0,0.341,0.0,0.0,0.0,22.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sweden,0.0,19.909,26.22,29.785,12.988,33.45,23.23,0.244,23.706,9.405,0.0,27.49,2.533,0.0,0.0,22.644,0.0,0.0,0.0,15.039,18.847,17.114,14.075,29.931,13.0,0.0,0.0,25.0,0.0,35.066,23.779,0.0,0.0,26.999,0.0,0.0,0.0,0.0,0.0,16.675,0.0,26.782,0.0,0.0,0.0,1.009,0.0,0.0,0.0,0.0,0.0,26.22,0.0,25.512,0.0,0.0,0.0,0.0,0.0,0.0
16,New Zealand,0.0,28.442,30.005,37.011,29.37,0.0,33.813,0.649,1.102,0.902,0.518,42.538,30.053,0.0,0.0,33.389,24.219,0.0,0.0,0.421,19.531,24.28,0.235,1.067,0.0,0.0,0.0,35.473,0.0,0.0,0.0,0.0,0.0,29.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.889,27.905,28.125,1.041,26.294,0.0,0.0,0.0,30.346,0.0,0.0
