,date,"The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, <mask> has become an adolescent.', is"
0,1801,77.243,68.975,48.556,53.311,67.536,72.588,65.402,66.924,50.705,56.923,74.029,65.348,70.133,65.403,43.115,81.35,21.649,78.386,77.3,48.392,99.997,30.881,52.758,56.051,40.153,82.635,55.234,78.18,60.846,71.716,73.227,99.954,99.985,43.832,99.962,41.853,66.182,38.956,99.868,99.837,99.987,63.859,60.843,60.021,43.324,78.886,35.241,80.382,71.5,99.952,99.913,47.463,99.967,53.97,59.217,53.405,47.281,75.899,36.617,71.97
1,1808,78.706,54.722,55.018,55.331,80.471,58.065,71.487,50.623,38.368,66.712,69.228,65.116,74.207,70.069,42.018,83.745,62.575,64.51,69.301,44.119,99.998,25.011,45.209,47.292,43.875,74.523,49.072,74.797,72.94,59.735,70.614,99.955,99.942,99.516,99.983,99.846,53.868,34.58,99.978,38.444,99.986,61.791,67.378,38.134,46.103,84.74,35.955,63.976,73.504,42.956,99.899,56.95,99.921,60.175,49.299,47.489,99.966,69.573,34.944,50.7
2,1815,67.993,99.996,99.887,48.65,51.603,46.329,49.727,99.982,99.839,40.47,37.15,54.149,44.138,50.573,32.535,53.989,54.654,51.026,53.467,99.932,99.998,99.986,99.831,34.367,99.812,69.541,37.059,65.041,46.315,51.867,61.956,99.883,99.984,99.774,99.986,99.264,25.788,99.887,99.963,41.477,99.954,38.659,60.301,99.723,99.781,67.623,99.53,43.783,60.62,39.66,99.957,99.906,99.959,39.927,37.627,42.868,99.978,65.998,99.906,53.967
3,1823,80.921,63.149,49.462,73.387,65.159,55.305,66.372,55.798,54.419,75.365,57.758,68.623,72.663,71.677,57.86,70.548,22.247,72.603,82.989,48.108,99.996,34.602,50.304,56.534,55.344,81.58,55.299,71.474,68.161,71.803,75.9,99.851,99.8,36.18,99.986,49.714,68.01,45.411,99.755,59.228,99.931,72.838,59.16,56.33,18.332,76.637,99.727,70.099,74.663,43.266,48.178,57.278,13.402,57.662,59.339,60.349,53.004,77.805,50.902,74.954
4,1830,77.832,59.577,47.574,57.631,65.051,70.441,59.648,52.218,47.264,50.826,65.537,73.962,69.698,69.613,47.08,82.656,25.234,70.815,74.74,24.978,10.634,17.689,23.178,56.222,52.91,71.142,48.592,78.695,65.561,71.441,74.051,99.963,99.949,99.755,99.985,50.669,56.127,99.923,99.846,65.211,99.939,62.768,72.272,99.866,99.043,73.845,31.603,78.91,57.127,99.872,99.616,38.663,12.303,58.458,55.477,49.825,37.343,66.166,99.891,62.522
5,1838,72.108,40.989,99.823,99.759,99.821,51.103,53.306,39.146,99.977,41.271,49.024,52.801,59.914,66.873,40.884,75.662,50.626,45.888,55.435,26.697,4.728,13.438,99.971,99.915,99.88,63.109,99.978,52.656,44.446,51.414,62.571,99.981,99.969,99.9,99.993,99.71,99.559,99.969,99.955,99.915,99.99,99.572,53.223,99.978,99.523,67.38,99.671,58.935,53.898,99.954,99.945,99.755,8.78,47.577,99.34,34.624,99.954,51.91,99.964,65.433
6,1845,68.932,56.882,99.9,44.444,49.276,45.305,59.78,41.61,99.957,99.727,59.707,99.672,56.484,55.458,99.759,64.423,57.429,42.612,57.85,36.915,7.041,12.519,99.936,99.77,99.946,66.682,43.521,58.897,67.444,41.381,63.918,99.973,99.995,99.809,99.986,99.862,43.714,99.96,99.941,99.61,99.981,49.138,40.168,99.46,99.501,68.457,99.359,53.339,64.067,99.902,99.821,99.921,99.906,99.86,42.718,99.917,99.953,65.659,99.897,59.584
7,1852,72.903,39.822,99.967,99.559,37.763,45.391,58.774,99.969,99.927,49.806,48.595,99.572,65.431,53.736,29.865,74.933,61.126,59.259,65.07,99.989,99.997,10.206,99.956,99.777,99.929,51.304,99.972,62.173,64.915,62.765,56.387,99.899,99.887,99.565,99.985,99.469,25.955,99.977,99.942,99.18,99.982,99.516,39.404,99.633,99.435,73.827,99.655,68.303,73.699,99.846,99.947,99.755,99.944,99.837,98.716,38.35,99.976,53.91,99.86,99.823
8,1860,74.451,57.451,46.64,59.999,60.437,55.633,54.981,48.113,44.315,56.849,56.611,63.753,53.96,50.352,41.962,70.198,20.953,71.902,69.195,31.333,99.997,14.857,99.812,99.723,99.61,80.603,38.858,74.78,73.077,59.909,70.005,99.897,99.978,99.92,99.956,48.238,27.991,99.844,99.899,51.021,99.965,52.999,46.536,99.639,45.836,80.76,35.312,75.373,69.458,99.887,99.926,99.853,99.954,51.143,48.397,99.933,99.957,75.431,99.955,65.798
9,1867,68.127,56.378,99.963,99.766,53.051,41.566,69.857,31.243,99.965,99.851,35.889,42.995,58.91,63.304,41.648,59.411,52.476,44.142,70.751,99.966,6.332,9.224,11.398,99.891,99.86,65.958,99.977,37.184,48.203,54.225,61.75,99.974,99.985,99.897,99.983,99.937,46.039,99.978,99.979,99.86,99.987,43.182,70.678,99.834,99.701,70.112,99.931,65.325,66.474,99.952,99.965,99.834,7.402,99.894,99.275,99.924,99.964,61.007,99.916,48.99
