,place,"In this sentence: 'In Iceland, <mask> has become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> was an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will be an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is being an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has been an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> became an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> becomes an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> will become an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adolescent.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> is becoming an adult.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a kid.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a teenager.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a grown up.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become a child.', the missing gendered pronoun is","In this sentence: 'In Iceland, <mask> has become an adolescent.', the missing gendered pronoun is"
0,Afghanistan,97.194,99.831,10.421,99.585,10.496,0.001,99.452,19.831,9.948,98.755,20.614,19.94,19.787,19.61,20.6,20.978,19.412,0.0,20.881,0.0,3.354,77.322,8.634,10.767,90.431,98.478,19.836,99.74,14.98,20.994,98.262,99.851,9.904,99.252,99.397,99.665,99.65,96.506,96.531,93.142,11.224,19.029,19.156,98.631,19.357,20.916,16.212,19.532,20.396,96.357,19.38,98.826,16.708,19.782,20.289,98.528,19.587,99.626,96.862,19.734
1,Yemen,99.178,1.052,0.57,99.691,15.57,0.0,0.0,99.655,20.894,99.423,18.291,19.924,98.664,19.251,20.922,22.274,19.268,28.025,21.467,0.0,18.604,89.923,16.61,16.259,89.941,99.283,99.633,99.769,15.729,20.963,98.412,99.866,99.777,99.628,99.671,15.133,99.633,98.498,98.745,98.202,92.549,99.415,96.519,99.163,19.796,20.941,11.377,12.829,19.753,91.512,19.796,20.71,19.477,19.926,98.465,99.658,19.864,99.699,94.839,19.893
2,Iraq,0.0,2.029,0.427,99.823,17.329,0.856,0.0,10.717,22.132,99.633,20.674,0.0,19.837,19.714,22.034,24.148,19.743,21.627,22.16,9.797,15.932,96.785,18.679,19.186,19.551,99.515,21.181,99.514,20.581,21.915,99.494,99.903,99.747,17.471,99.308,99.862,16.314,99.003,98.979,98.802,98.443,99.307,18.536,21.896,21.195,22.738,21.623,21.919,21.489,99.396,20.513,21.646,20.531,19.941,21.695,99.704,19.941,99.785,99.2,99.271
3,Pakistan,20.972,16.511,0.459,11.539,1.391,0.0,0.0,21.714,21.073,21.962,20.932,20.942,21.521,19.817,21.942,22.534,21.804,20.741,21.416,14.176,10.107,19.005,19.437,17.743,19.939,99.73,21.59,99.888,20.323,21.937,21.025,99.848,14.251,16.037,21.279,21.068,21.607,97.649,20.227,20.389,94.324,19.804,20.627,22.069,21.088,21.851,20.189,20.419,21.78,98.39,19.843,19.798,18.08,19.947,20.845,99.542,19.849,21.643,20.326,19.818
4,Syria,19.876,17.486,16.976,17.706,16.067,1.177,0.0,15.527,21.583,99.484,19.821,22.486,20.873,19.007,21.937,23.279,19.493,20.844,21.933,3.397,17.455,98.269,18.149,14.258,19.334,99.662,99.864,99.77,17.97,23.324,99.584,99.887,99.551,16.472,99.327,16.202,15.504,96.742,98.654,98.664,94.559,99.553,19.16,21.208,21.019,23.171,20.057,21.955,21.248,98.779,19.89,21.569,19.874,19.933,21.32,99.5,9.967,99.796,19.389,19.938
5,Democratic Republic of Congo,21.381,23.819,22.53,0.76,22.534,22.443,21.284,0.0,21.178,10.734,0.0,0.0,21.526,20.98,21.766,22.418,20.473,20.262,21.697,2.267,11.11,18.936,14.372,10.545,19.735,26.261,21.856,22.12,23.311,99.639,23.372,99.94,14.974,22.775,21.52,21.049,21.211,97.688,98.824,21.727,95.929,20.731,20.377,22.316,21.531,21.901,20.741,17.088,21.542,22.011,19.133,11.121,20.244,18.899,21.61,99.672,19.8,20.738,97.239,16.702
6,Iran,20.833,0.7,21.617,99.483,22.754,1.044,19.914,21.179,20.869,21.111,19.778,20.922,19.592,20.852,20.191,20.761,20.363,20.721,8.202,12.383,12.628,17.698,19.691,18.546,18.448,99.574,21.431,99.713,20.346,21.322,99.503,99.739,0.0,21.337,99.125,22.04,21.246,98.559,18.676,20.095,30.621,19.84,19.044,99.333,20.287,21.041,19.903,20.533,20.772,98.174,20.266,19.435,10.492,19.839,19.812,99.515,19.487,20.908,98.349,20.211
7,Mali,20.613,16.064,14.787,16.461,0.852,0.407,0.0,9.716,19.747,20.555,0.0,0.0,19.49,0.0,20.579,0.894,18.585,96.835,19.709,0.957,16.97,18.306,16.707,13.212,18.052,98.907,99.248,99.512,13.389,19.557,99.061,99.656,14.081,15.393,98.803,0.0,21.432,95.236,95.309,20.651,87.454,19.341,18.726,19.317,19.518,21.53,17.99,20.395,21.278,98.537,19.434,20.85,20.23,19.568,20.509,99.408,97.413,15.092,98.048,19.365
8,Chad,21.397,99.814,0.001,99.768,16.754,0.0,0.0,9.912,0.001,99.25,0.0,0.0,19.887,19.67,22.183,1.05,19.645,99.544,21.241,8.712,18.862,98.177,16.634,18.43,19.353,99.714,22.899,99.892,21.063,21.206,99.502,99.826,15.316,17.829,99.158,15.249,22.212,98.629,98.428,98.526,93.052,98.513,19.892,99.703,21.537,23.845,19.157,20.888,22.32,99.456,19.826,22.354,19.204,20.619,20.416,99.663,19.822,15.525,99.264,19.548
9,Saudi Arabia,99.565,99.557,99.808,99.842,99.64,99.879,99.621,99.761,99.665,99.582,21.189,20.72,98.94,99.438,20.863,21.278,19.663,20.795,20.612,96.368,17.036,97.177,20.467,19.125,95.629,99.735,99.75,99.73,98.643,99.748,99.087,99.747,99.293,99.777,98.708,99.757,99.537,95.625,98.101,98.794,93.658,98.4,19.492,99.163,19.942,21.155,20.373,20.648,20.623,99.251,19.66,98.855,97.394,99.557,20.183,99.583,99.284,99.805,98.797,99.711
