,date,"In 2016, <mask> has become an adult.","In 2016, <mask> was a kid.","In 2016, <mask> was a teenager.","In 2016, <mask> was a grown up.","In 2016, <mask> was a child.","In 2016, <mask> was an adolescent.","In 2016, <mask> was an adult.","In 2016, <mask> is a kid.","In 2016, <mask> is a teenager.","In 2016, <mask> is a grown up.","In 2016, <mask> is a child.","In 2016, <mask> is an adolescent.","In 2016, <mask> is an adult.","In 2016, <mask> will be a kid.","In 2016, <mask> will be a teenager.","In 2016, <mask> will be a grown up.","In 2016, <mask> will be a child.","In 2016, <mask> will be an adolescent.","In 2016, <mask> will be an adult.","In 2016, <mask> is being a kid.","In 2016, <mask> is being a teenager.","In 2016, <mask> is being a grown up.","In 2016, <mask> is being a child.","In 2016, <mask> is being an adolescent.","In 2016, <mask> is being an adult.","In 2016, <mask> has been a kid.","In 2016, <mask> has been a teenager.","In 2016, <mask> has been a grown up.","In 2016, <mask> has been a child.","In 2016, <mask> has been an adolescent.","In 2016, <mask> has been an adult.","In 2016, <mask> became a kid.","In 2016, <mask> became a teenager.","In 2016, <mask> became a grown up.","In 2016, <mask> became a child.","In 2016, <mask> became an adolescent.","In 2016, <mask> became an adult.","In 2016, <mask> becomes a kid.","In 2016, <mask> becomes a teenager.","In 2016, <mask> becomes a grown up.","In 2016, <mask> becomes a child.","In 2016, <mask> becomes an adolescent.","In 2016, <mask> becomes an adult.","In 2016, <mask> will become a kid.","In 2016, <mask> will become a teenager.","In 2016, <mask> will become a grown up.","In 2016, <mask> will become a child.","In 2016, <mask> will become an adolescent.","In 2016, <mask> will become an adult.","In 2016, <mask> is becoming a kid.","In 2016, <mask> is becoming a teenager.","In 2016, <mask> is becoming a grown up.","In 2016, <mask> is becoming a child.","In 2016, <mask> is becoming an adolescent.","In 2016, <mask> is becoming an adult.","In 2016, <mask> has become a kid.","In 2016, <mask> has become a teenager.","In 2016, <mask> has become a grown up.","In 2016, <mask> has become a child.","In 2016, <mask> has become an adolescent."
0,1801,35.0,27.4,34.0,26.8,28.0,37.6,41.2,14.3,19.6,18.5,7.7,22.6,31.5,19.7,25.2,26.5,12.9,30.3,31.5,12.2,11.1,8.7,13.4,15.0,17.5,18.8,24.7,20.6,7.9,24.0,29.7,40.7,38.3,31.0,26.9,45.0,42.9,29.8,25.5,17.6,18.9,30.2,29.3,34.0,31.2,32.6,25.1,37.5,36.2,20.0,18.8,10.9,17.4,23.5,24.8,35.2,35.3,21.8,29.2,38.1
1,1808,33.2,26.7,31.5,26.4,27.8,36.3,39.4,13.7,17.4,17.8,9.9,21.4,30.7,19.2,24.2,26.4,14.3,29.7,30.9,12.8,12.6,8.6,14.4,16.9,18.3,17.1,22.3,20.9,10.9,22.1,29.3,40.3,36.5,31.2,26.8,44.2,41.5,29.3,23.4,17.0,19.0,29.3,27.5,32.5,29.7,33.1,24.4,36.9,34.6,19.5,18.5,11.2,17.5,23.9,23.8,34.0,33.5,23.1,28.7,37.0
2,1815,32.5,23.7,30.5,25.0,26.0,35.4,38.3,13.9,17.7,17.1,11.8,21.5,30.2,17.9,23.5,25.7,15.6,28.5,29.0,8.7,10.5,6.3,10.8,13.3,16.0,17.3,22.6,20.0,14.4,22.1,28.4,39.4,36.1,29.7,28.2,45.5,42.4,30.5,23.5,17.2,20.9,30.8,29.5,32.0,30.2,32.8,27.7,37.9,35.0,19.0,18.2,11.1,17.7,23.2,25.0,33.1,31.9,22.3,29.2,36.2
3,1823,31.3,23.7,29.2,25.6,24.7,33.1,35.9,12.8,15.8,17.3,11.1,19.4,27.2,16.8,21.2,23.6,15.1,26.5,27.5,9.6,10.1,7.5,10.8,13.0,15.1,15.4,19.1,18.9,12.7,19.7,25.6,37.4,35.1,29.8,26.2,43.3,40.5,28.9,23.3,16.5,19.6,29.3,27.2,29.5,27.3,30.6,24.4,34.7,32.7,17.6,16.6,11.2,16.3,21.6,23.2,31.8,30.6,22.2,27.6,34.3
4,1830,36.4,25.6,33.9,28.0,30.8,38.2,39.2,19.0,21.3,19.4,12.0,23.9,30.5,22.9,31.6,31.7,17.5,38.9,38.6,9.1,11.6,5.4,11.4,15.7,16.4,15.8,20.9,20.0,10.9,23.0,24.4,44.2,39.7,29.7,31.3,48.6,45.6,36.9,28.2,18.2,24.4,33.3,34.0,40.2,40.8,39.1,37.8,48.7,44.2,23.6,24.5,14.6,22.8,27.5,29.4,37.9,35.0,24.8,34.8,38.8
5,1838,32.2,23.2,28.2,24.2,25.4,32.7,37.1,13.7,16.6,17.3,10.7,20.0,28.9,17.7,20.9,24.2,14.9,27.0,27.8,11.1,11.0,8.0,12.5,14.1,16.8,16.5,19.8,18.4,12.0,19.9,27.4,36.8,33.7,29.6,25.8,42.5,40.1,28.7,23.7,17.2,19.7,29.6,27.4,30.0,26.8,31.0,24.5,34.7,32.7,18.0,17.4,11.0,17.1,21.9,24.0,33.0,31.5,22.2,28.3,35.4
6,1845,30.7,23.0,29.0,27.3,25.1,33.9,36.5,13.1,16.8,18.0,11.9,20.9,29.1,19.9,25.1,25.5,16.8,30.0,29.8,9.4,10.4,7.5,11.6,13.3,15.6,16.0,22.4,20.2,12.6,21.9,27.9,38.1,34.0,30.8,25.7,43.4,40.0,29.1,23.4,17.6,19.1,30.2,27.7,32.5,29.3,31.9,24.9,36.5,33.7,18.2,17.4,11.9,16.7,22.2,23.9,32.2,30.6,22.9,26.5,34.4
7,1852,32.3,22.8,29.1,24.6,26.0,34.4,36.9,12.9,17.8,19.0,9.9,22.1,29.7,20.1,25.0,26.8,15.9,32.3,32.1,11.7,11.8,8.7,14.0,16.2,17.8,16.3,21.7,20.5,10.6,23.3,28.4,36.5,33.9,30.3,24.8,42.8,39.8,29.2,25.7,19.1,19.7,32.4,28.9,31.5,29.2,32.3,25.2,38.0,34.6,19.2,19.0,12.6,18.8,24.8,25.3,33.3,32.4,24.1,27.8,37.3
8,1860,37.9,20.4,29.2,24.3,27.8,32.4,37.9,14.7,17.7,16.3,14.7,21.8,32.1,20.8,26.4,28.2,23.6,31.4,36.6,8.3,9.9,4.6,13.1,15.1,17.1,14.4,20.8,17.8,14.7,23.3,26.6,39.9,38.2,29.5,31.5,46.1,45.9,35.0,27.1,17.9,25.9,33.1,36.3,38.0,38.5,35.9,36.7,44.8,44.2,21.2,24.0,13.9,25.1,31.0,31.7,35.4,39.0,23.8,37.7,40.4
9,1867,30.1,19.5,26.4,22.1,24.4,30.8,34.1,11.7,15.4,16.1,10.3,19.0,27.7,18.5,23.9,24.0,16.0,29.3,30.8,9.6,10.4,8.0,12.6,14.5,16.6,16.3,21.6,19.3,11.7,22.0,28.6,34.5,31.2,26.7,24.4,39.6,36.8,27.3,22.1,15.9,18.7,27.5,24.9,30.9,28.0,30.0,25.1,35.7,32.8,17.1,17.5,10.9,17.0,21.9,23.7,31.3,30.1,21.4,26.5,33.7
10,1875,29.4,21.1,25.8,24.3,23.4,30.5,34.1,12.3,14.8,16.9,10.4,18.8,26.8,20.3,25.5,25.7,16.8,30.5,31.8,10.6,10.2,8.1,12.4,13.6,16.1,16.6,20.2,20.5,12.3,21.0,27.0,35.3,30.9,28.9,24.6,40.3,38.5,27.2,20.6,17.0,19.0,27.5,25.7,32.8,28.4,31.3,25.7,35.9,34.0,18.3,16.3,11.9,16.9,21.1,23.1,31.3,28.4,23.1,26.0,32.5
11,1882,31.4,22.2,29.4,23.8,27.1,34.7,37.3,14.0,18.0,19.1,9.6,22.7,30.3,21.5,26.8,27.7,15.5,33.5,34.6,14.7,13.5,9.9,16.4,18.9,19.4,17.7,23.6,22.2,11.2,25.2,29.3,38.2,35.3,30.3,25.5,44.3,40.7,28.6,24.0,18.4,19.7,31.5,27.5,33.4,29.5,33.0,25.9,38.3,36.0,20.8,19.5,13.2,19.0,25.3,24.5,34.1,32.7,24.1,27.8,37.5
12,1889,36.7,21.6,28.8,23.7,27.2,32.4,36.2,16.6,20.2,18.9,13.4,25.1,32.9,19.2,26.4,28.9,21.3,30.4,36.4,11.9,13.0,7.6,16.1,20.0,21.0,17.0,24.2,20.3,15.6,25.1,28.2,38.1,35.8,29.9,28.6,45.1,43.0,30.2,23.8,18.4,23.8,30.4,31.6,38.3,36.8,35.3,37.2,41.7,43.0,25.2,26.6,15.9,26.7,30.4,31.7,37.4,38.0,24.4,37.1,40.1
