,place,"In Iceland, <mask> has become an adult.","In Iceland, <mask> was a kid.","In Iceland, <mask> was a teenager.","In Iceland, <mask> was a grown up.","In Iceland, <mask> was a child.","In Iceland, <mask> was an adolescent.","In Iceland, <mask> was an adult.","In Iceland, <mask> is a kid.","In Iceland, <mask> is a teenager.","In Iceland, <mask> is a grown up.","In Iceland, <mask> is a child.","In Iceland, <mask> is an adolescent.","In Iceland, <mask> is an adult.","In Iceland, <mask> will be a kid.","In Iceland, <mask> will be a teenager.","In Iceland, <mask> will be a grown up.","In Iceland, <mask> will be a child.","In Iceland, <mask> will be an adolescent.","In Iceland, <mask> will be an adult.","In Iceland, <mask> is being a kid.","In Iceland, <mask> is being a teenager.","In Iceland, <mask> is being a grown up.","In Iceland, <mask> is being a child.","In Iceland, <mask> is being an adolescent.","In Iceland, <mask> is being an adult.","In Iceland, <mask> has been a kid.","In Iceland, <mask> has been a teenager.","In Iceland, <mask> has been a grown up.","In Iceland, <mask> has been a child.","In Iceland, <mask> has been an adolescent.","In Iceland, <mask> has been an adult.","In Iceland, <mask> became a kid.","In Iceland, <mask> became a teenager.","In Iceland, <mask> became a grown up.","In Iceland, <mask> became a child.","In Iceland, <mask> became an adolescent.","In Iceland, <mask> became an adult.","In Iceland, <mask> becomes a kid.","In Iceland, <mask> becomes a teenager.","In Iceland, <mask> becomes a grown up.","In Iceland, <mask> becomes a child.","In Iceland, <mask> becomes an adolescent.","In Iceland, <mask> becomes an adult.","In Iceland, <mask> will become a kid.","In Iceland, <mask> will become a teenager.","In Iceland, <mask> will become a grown up.","In Iceland, <mask> will become a child.","In Iceland, <mask> will become an adolescent.","In Iceland, <mask> will become an adult.","In Iceland, <mask> is becoming a kid.","In Iceland, <mask> is becoming a teenager.","In Iceland, <mask> is becoming a grown up.","In Iceland, <mask> is becoming a child.","In Iceland, <mask> is becoming an adolescent.","In Iceland, <mask> is becoming an adult.","In Iceland, <mask> has become a kid.","In Iceland, <mask> has become a teenager.","In Iceland, <mask> has become a grown up.","In Iceland, <mask> has become a child.","In Iceland, <mask> has become an adolescent."
0,Afghanistan,34.1,17.3,28.3,38.8,21.2,17.6,54.0,8.8,35.0,18.3,1.4,3.6,11.3,33.5,46.8,38.0,19.7,32.3,38.4,0.0,0.0,2.1,0.0,0.0,0.0,42.7,49.6,33.7,23.7,25.6,32.5,43.1,49.1,34.9,38.8,52.3,59.0,63.6,46.9,36.1,40.0,57.3,51.7,47.8,41.0,42.9,37.0,46.5,52.9,21.9,6.8,35.9,9.1,4.8,21.1,47.6,25.5,37.1,17.5,16.0
1,Yemen,27.6,47.5,48.0,47.6,43.9,35.5,52.7,4.8,36.3,21.2,2.6,3.8,12.1,27.5,46.7,37.6,20.4,21.1,34.5,0.0,0.0,2.0,0.0,0.0,0.0,22.6,45.4,30.1,20.7,11.8,22.5,51.9,54.5,46.6,49.2,59.0,53.7,42.8,44.2,29.0,27.2,44.1,30.8,46.1,40.1,39.1,38.9,33.9,35.1,16.7,5.4,31.2,10.3,3.1,18.3,39.0,28.2,36.6,23.2,10.4
2,Iraq,37.2,21.5,35.7,38.2,30.0,24.6,56.9,9.0,44.6,21.0,4.3,10.1,16.1,39.2,53.6,36.5,29.8,42.8,48.2,0.0,0.0,1.5,0.0,0.0,0.0,42.2,55.7,41.0,36.9,38.7,38.7,44.0,53.3,30.0,44.1,50.4,55.1,65.0,48.8,42.2,57.0,57.3,54.0,53.0,46.6,37.8,48.1,49.7,47.9,21.0,11.1,32.2,18.2,8.3,20.1,46.0,42.2,38.9,37.5,24.4
3,Pakistan,27.1,50.4,40.3,42.0,38.5,30.7,53.3,7.6,11.3,17.3,3.1,3.4,10.9,37.5,40.3,31.0,18.8,23.8,33.1,0.0,0.0,0.0,0.0,0.0,0.0,43.1,38.0,33.9,28.9,9.9,35.7,46.1,44.9,40.8,42.2,51.3,54.1,24.9,49.0,22.8,13.0,42.7,18.0,39.4,37.6,33.8,26.3,29.7,37.9,11.6,4.1,26.0,6.7,0.0,16.9,32.9,18.5,26.7,17.1,7.1
4,Syria,20.7,44.7,45.6,48.2,38.8,35.4,39.4,5.6,18.3,16.6,3.1,4.6,13.7,22.6,45.0,39.2,19.4,25.1,25.7,0.0,0.0,6.4,0.0,0.0,2.5,17.4,41.8,22.7,17.5,10.3,15.6,43.8,49.0,45.1,42.3,58.4,57.2,28.2,46.6,31.6,22.2,45.3,33.3,31.6,39.0,41.5,38.3,37.5,40.4,5.8,3.8,19.6,7.8,0.0,13.6,11.8,22.1,24.3,16.5,10.6
5,Democratic Republic of Congo,11.0,21.1,28.0,42.8,21.4,20.9,52.2,9.3,22.9,12.8,4.3,5.7,7.3,20.1,34.2,28.0,10.6,19.4,32.3,0.0,0.0,0.0,0.0,0.0,0.0,15.8,43.2,19.5,11.8,7.6,25.2,39.3,51.8,39.7,37.2,57.3,52.8,22.0,36.2,21.1,9.0,41.0,18.2,22.1,32.4,28.9,13.4,27.9,32.3,6.7,5.0,16.6,5.4,3.8,8.9,9.5,11.8,15.0,6.3,8.1
6,Iran,26.1,41.0,35.2,42.6,31.3,29.7,59.5,5.6,13.1,14.2,0.0,0.0,4.7,32.6,38.4,32.1,11.3,18.9,28.8,0.0,0.0,0.0,0.0,0.0,0.0,34.1,32.8,36.2,14.2,7.4,32.9,41.3,46.0,33.3,39.7,51.7,53.4,19.6,46.2,15.4,6.1,39.8,8.6,37.9,34.3,30.6,23.7,30.8,29.5,13.0,0.0,26.4,7.3,3.4,13.3,36.2,16.5,29.9,16.8,9.0
7,Mali,22.2,49.7,39.2,45.5,44.3,30.2,50.2,5.9,30.5,18.6,2.6,3.1,7.4,29.2,36.4,33.4,19.9,18.7,30.5,0.0,0.0,0.0,0.0,0.0,0.0,33.1,38.2,32.6,23.4,14.8,30.7,45.6,51.7,36.9,44.8,54.3,58.9,43.6,42.6,24.3,25.9,48.3,22.4,43.4,39.7,33.2,37.5,37.0,39.3,15.3,6.3,27.4,9.0,0.0,16.8,31.9,23.3,30.4,14.0,5.5
8,Chad,25.4,47.8,47.2,44.7,47.3,34.9,48.2,3.6,25.3,12.4,3.3,0.0,6.9,29.6,51.5,40.0,25.9,41.1,42.2,0.0,0.0,0.0,0.0,0.0,0.0,24.5,44.6,33.7,25.2,28.5,23.9,41.6,51.3,34.8,42.4,51.8,55.0,47.6,47.5,36.7,36.4,52.5,32.7,53.3,47.2,43.2,49.2,50.0,50.5,15.6,15.0,29.9,15.9,6.6,18.3,34.7,39.4,37.4,27.9,15.7
9,Saudi Arabia,23.6,44.8,41.6,43.1,34.8,33.8,44.7,4.4,9.6,12.3,3.0,2.9,7.8,34.1,43.5,33.6,16.4,29.5,35.1,0.0,0.0,0.0,0.0,0.0,0.0,27.9,30.6,29.1,13.9,8.9,28.8,46.6,43.9,41.8,43.0,49.2,44.5,16.0,40.9,13.9,0.0,20.2,9.8,40.5,37.5,35.1,24.8,39.7,31.5,9.1,0.0,23.8,7.3,3.9,15.0,22.8,14.5,29.6,14.5,10.8
