,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,99.075,99.93,99.859,99.994,16.728,99.337,99.933,99.976,99.909,99.998,15.687,99.108,99.967,95.19,92.759,98.211,93.784,90.291,84.838,99.786,99.583,99.972,99.788,99.472,99.889,99.956,99.945,99.988,99.953,99.951,99.987,99.855,98.336,99.781,19.982,98.697,97.546,99.997,99.897,99.986,17.641,99.923,99.837,98.713,69.518,93.784,87.798,71.564,44.417,99.991,99.01,99.759,99.927,99.124,99.307,99.985,99.337,99.929,99.952,99.525
1,1808,96.001,99.643,16.989,99.985,16.725,15.83,16.815,99.898,99.364,99.991,15.734,94.63,99.78,82.908,53.715,16.47,12.232,66.944,57.733,99.198,97.406,99.927,99.361,98.37,99.606,99.76,99.276,99.961,99.601,99.503,99.898,18.106,17.369,99.303,17.91,16.437,15.495,99.98,17.975,99.965,16.819,17.101,16.666,92.309,30.009,78.254,47.0,34.398,14.393,99.974,95.13,99.169,99.772,95.547,97.433,99.954,95.919,99.778,99.709,96.688
2,1815,95.181,99.795,18.105,99.99,17.329,17.131,17.954,16.207,99.61,99.993,16.176,97.028,99.813,82.466,10.677,94.077,11.246,60.465,56.036,99.186,98.515,99.938,99.48,98.789,99.672,99.732,99.796,12.69,99.725,99.655,99.92,19.737,18.907,99.429,19.668,18.64,18.196,99.996,19.603,99.975,17.577,18.353,18.457,96.418,54.841,82.823,8.615,46.614,14.595,99.985,97.903,99.336,99.85,97.353,98.331,99.962,98.033,14.482,99.791,97.764
3,1823,94.133,99.675,17.493,99.978,17.296,96.15,17.086,15.893,99.441,99.994,15.768,95.339,99.715,82.921,46.475,16.45,9.534,50.309,44.852,99.665,98.813,99.924,99.556,99.079,99.702,99.718,99.601,99.942,99.7,99.816,99.906,99.355,17.217,98.32,18.494,16.502,15.29,99.995,18.434,99.962,17.072,17.396,17.145,94.243,34.189,75.046,47.858,34.76,11.623,99.976,96.972,99.325,99.865,97.95,98.288,99.96,97.363,12.861,99.8,97.999
4,1830,98.067,99.882,99.753,99.987,17.203,98.563,99.865,99.964,99.752,99.995,15.963,99.15,99.895,88.213,12.181,97.571,13.892,77.117,71.934,99.761,98.801,99.942,99.71,99.044,99.593,99.92,99.868,99.991,99.886,99.925,99.948,99.922,16.925,99.533,18.478,16.379,16.492,99.997,18.156,13.511,17.94,99.861,99.688,96.884,54.238,84.744,11.485,39.785,18.856,99.987,15.567,99.586,15.944,98.111,98.484,99.97,97.716,99.92,99.945,98.666
5,1838,93.104,99.074,15.755,99.911,16.02,13.506,15.739,99.873,15.503,99.98,15.232,83.227,99.01,84.55,33.884,90.959,9.522,37.618,39.411,98.665,97.46,99.825,98.764,96.295,99.21,99.504,98.545,99.819,99.122,97.72,99.514,18.29,16.497,97.445,17.728,15.127,14.252,99.994,17.809,99.888,16.766,16.775,16.521,94.202,28.578,66.155,33.259,21.629,7.515,99.939,91.084,98.245,99.223,92.383,97.008,99.925,95.481,99.521,99.463,95.596
6,1845,97.653,17.569,17.947,99.977,17.058,16.278,17.185,15.96,99.241,99.993,15.744,96.459,99.591,78.006,9.79,17.344,11.886,7.824,9.782,99.611,98.641,99.918,99.502,98.781,99.767,99.848,99.705,99.957,99.809,99.795,99.913,18.542,17.68,18.974,18.549,17.049,16.048,17.552,18.622,20.191,17.258,17.401,17.223,94.863,45.941,79.531,8.803,44.291,18.416,99.985,15.647,99.515,99.897,96.864,98.456,99.968,97.944,99.829,16.686,98.123
7,1852,93.065,99.441,16.281,99.943,16.523,88.272,16.237,99.928,98.706,99.986,15.372,88.349,99.538,75.436,7.339,87.914,7.672,31.345,31.858,99.352,97.478,99.811,99.061,97.943,99.487,99.607,98.515,99.862,99.153,98.715,99.695,18.077,16.695,97.557,17.686,15.625,14.716,99.972,17.675,99.871,16.938,16.548,16.672,86.331,22.11,58.936,30.837,17.562,5.837,99.966,91.574,98.739,99.289,93.599,98.012,99.889,93.028,99.554,99.522,96.231
8,1860,98.267,99.93,99.879,99.988,17.158,98.867,17.594,99.978,99.822,99.997,15.559,99.402,99.946,91.739,11.644,97.883,13.407,84.956,77.21,99.821,99.694,99.952,15.707,99.244,99.606,99.947,99.939,99.994,99.953,99.909,99.973,17.556,16.536,99.486,18.832,17.217,15.98,99.997,17.269,19.309,16.969,17.022,17.176,97.728,10.346,89.313,12.302,46.848,24.362,99.986,15.587,99.582,15.671,97.94,99.167,99.978,17.171,99.925,17.514,98.98
9,1867,94.519,99.515,16.495,99.963,16.818,15.37,16.24,15.603,15.476,99.989,15.323,97.795,99.56,90.001,11.61,16.627,12.671,67.817,59.962,98.899,97.733,99.85,98.975,98.098,99.034,99.618,99.612,99.924,99.648,99.385,99.839,16.254,16.358,98.086,16.0,14.887,15.658,99.986,17.096,99.937,15.391,16.189,15.74,91.637,37.176,77.029,46.291,26.689,18.664,99.937,14.711,98.745,99.358,96.331,96.67,99.933,96.813,99.653,99.625,97.38
