,place,"In Iceland, [MASK] has become an adult.","In Iceland, [MASK] was a kid.","In Iceland, [MASK] was a teenager.","In Iceland, [MASK] was a grown up.","In Iceland, [MASK] was a child.","In Iceland, [MASK] was an adolescent.","In Iceland, [MASK] was an adult.","In Iceland, [MASK] is a kid.","In Iceland, [MASK] is a teenager.","In Iceland, [MASK] is a grown up.","In Iceland, [MASK] is a child.","In Iceland, [MASK] is an adolescent.","In Iceland, [MASK] is an adult.","In Iceland, [MASK] will be a kid.","In Iceland, [MASK] will be a teenager.","In Iceland, [MASK] will be a grown up.","In Iceland, [MASK] will be a child.","In Iceland, [MASK] will be an adolescent.","In Iceland, [MASK] will be an adult.","In Iceland, [MASK] is being a kid.","In Iceland, [MASK] is being a teenager.","In Iceland, [MASK] is being a grown up.","In Iceland, [MASK] is being a child.","In Iceland, [MASK] is being an adolescent.","In Iceland, [MASK] is being an adult.","In Iceland, [MASK] has been a kid.","In Iceland, [MASK] has been a teenager.","In Iceland, [MASK] has been a grown up.","In Iceland, [MASK] has been a child.","In Iceland, [MASK] has been an adolescent.","In Iceland, [MASK] has been an adult.","In Iceland, [MASK] became a kid.","In Iceland, [MASK] became a teenager.","In Iceland, [MASK] became a grown up.","In Iceland, [MASK] became a child.","In Iceland, [MASK] became an adolescent.","In Iceland, [MASK] became an adult.","In Iceland, [MASK] becomes a kid.","In Iceland, [MASK] becomes a teenager.","In Iceland, [MASK] becomes a grown up.","In Iceland, [MASK] becomes a child.","In Iceland, [MASK] becomes an adolescent.","In Iceland, [MASK] becomes an adult.","In Iceland, [MASK] will become a kid.","In Iceland, [MASK] will become a teenager.","In Iceland, [MASK] will become a grown up.","In Iceland, [MASK] will become a child.","In Iceland, [MASK] will become an adolescent.","In Iceland, [MASK] will become an adult.","In Iceland, [MASK] is becoming a kid.","In Iceland, [MASK] is becoming a teenager.","In Iceland, [MASK] is becoming a grown up.","In Iceland, [MASK] is becoming a child.","In Iceland, [MASK] is becoming an adolescent.","In Iceland, [MASK] is becoming an adult.","In Iceland, [MASK] has become a kid.","In Iceland, [MASK] has become a teenager.","In Iceland, [MASK] has become a grown up.","In Iceland, [MASK] has become a child.","In Iceland, [MASK] has become an adolescent."
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,1.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.6,6.0,0.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.7,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,0.5,4.2,0.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.9,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,0.6,5.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,2.7,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.4,5.2,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,2.3,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,3.5,0.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.7,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.3,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.8,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.8,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,5.7,0.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.7,1.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.5,5.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,2.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,0.6,8.4,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,0.9,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.3,3.7,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,1.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,4.3,0.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.5,4.7,0.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.7,1.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.5,6.4,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,1.9,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,0.7,5.6,1.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.5,0.9,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.4,5.7,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,1.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.3,4.2,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.5,1.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.3,0.5,4.8,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
