,date,"[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","[S2S] The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.0,0.0,2.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.315,0.0,2.879,4.037,0.0,0.0,0.0,0.0,0.0,2.721,3.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.808,0.0,0.0,0.0,0.0,0.0
1,1808,3.4,0.0,0.0,3.384,0.0,2.707,4.169,0.0,0.0,0.0,0.0,2.991,3.394,0.0,2.939,3.458,3.238,3.772,4.175,0.0,0.0,11.267,0.0,4.41,3.845,0.0,3.452,0.0,0.0,3.918,4.346,10.04,4.758,4.077,0.0,2.451,4.15,8.594,0.0,2.94,0.0,0.0,2.943,4.361,3.329,3.888,4.129,3.708,3.983,0.0,0.0,3.278,0.0,0.0,3.619,0.0,0.0,3.436,0.0,0.0
2,1815,3.027,0.0,0.0,0.0,0.0,1.833,3.693,0.0,0.0,0.0,0.0,0.0,3.491,0.0,10.443,3.717,0.0,0.0,3.97,0.0,0.0,0.0,0.0,3.436,4.022,0.0,0.0,3.381,0.0,3.387,4.08,5.444,0.0,0.0,0.0,0.0,4.254,7.501,9.357,2.646,0.0,0.0,0.0,3.934,0.0,3.244,0.0,0.0,3.146,12.06,0.0,3.506,0.0,0.0,0.0,0.0,0.0,3.375,0.0,0.0
3,1823,3.198,0.0,4.474,3.186,0.0,2.374,3.891,0.0,0.0,0.0,0.0,0.0,3.348,0.0,3.329,0.0,0.0,0.0,3.863,0.0,0.0,0.0,0.0,3.97,3.983,0.0,3.952,0.0,0.0,3.482,3.778,9.991,0.0,4.059,0.0,2.917,4.489,8.502,0.0,2.919,0.0,0.0,2.763,3.708,0.0,3.845,0.0,0.0,3.693,0.0,0.0,3.943,0.0,0.0,3.488,0.0,0.0,3.888,6.482,0.0
4,1830,3.213,0.0,0.0,0.0,0.0,0.0,3.702,0.0,0.0,0.0,0.0,0.0,3.059,3.342,3.098,0.0,0.0,3.571,4.272,0.0,0.0,0.0,0.0,0.0,4.169,0.0,0.0,0.0,0.0,3.226,3.909,9.466,0.0,4.309,0.0,0.0,4.874,8.356,10.266,3.195,0.0,0.0,0.0,4.355,3.986,3.415,0.0,0.0,3.989,10.943,0.0,0.0,0.0,0.0,3.76,0.0,0.0,3.696,0.0,0.0
5,1838,3.204,0.0,0.0,3.116,0.0,0.0,4.471,0.0,0.0,0.0,0.0,0.0,3.25,9.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.956,0.0,3.76,4.727,0.0,0.0,0.0,0.0,4.291,4.446,9.424,0.0,4.138,0.0,0.0,5.145,9.448,9.967,0.0,0.0,0.0,2.766,4.391,0.0,4.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226,0.0,0.0,4.257,0.0,0.0
6,1845,2.859,0.0,0.0,3.638,0.0,2.208,5.06,0.0,0.0,0.0,0.0,0.0,3.754,0.0,0.0,0.0,0.0,0.0,4.517,0.0,0.0,0.0,4.535,3.632,4.352,0.0,3.406,0.0,0.0,3.934,3.824,4.413,0.0,4.559,0.0,0.0,4.965,0.0,10.571,0.0,0.0,0.0,0.0,4.111,12.842,4.098,3.397,0.0,3.632,9.906,0.0,3.903,0.0,0.0,3.271,0.0,0.0,3.455,0.0,0.0
7,1852,3.845,0.0,0.0,0.0,0.0,0.0,3.809,0.0,0.0,0.0,0.0,0.0,3.842,0.0,0.0,0.0,0.0,0.0,4.721,0.0,0.0,0.0,0.0,5.218,4.678,0.0,0.0,0.0,0.0,3.583,4.938,10.351,0.0,4.831,0.0,0.0,5.362,8.447,0.0,0.0,0.0,0.0,4.053,5.13,0.0,4.016,4.065,0.0,3.937,11.23,0.0,0.0,0.0,0.0,3.531,0.0,0.0,3.452,0.0,3.09
8,1860,0.0,0.0,0.0,0.0,0.0,0.0,3.952,0.0,0.0,0.0,0.0,0.0,3.232,0.0,8.838,3.659,0.0,2.812,4.571,0.0,0.0,0.0,0.0,0.0,4.324,0.0,0.0,0.0,0.0,0.0,4.367,11.053,0.0,0.0,0.0,0.0,4.059,9.619,9.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1867,3.394,0.0,0.0,3.815,0.0,0.0,4.147,0.0,0.0,0.0,0.0,0.0,4.178,0.0,0.0,0.0,3.946,0.0,5.383,0.0,0.0,0.0,0.0,4.132,4.605,0.0,0.0,0.0,0.0,3.552,3.809,11.163,0.0,4.355,0.0,0.0,4.736,7.965,0.0,0.0,0.0,0.0,0.0,4.892,0.0,4.114,3.863,0.0,3.992,11.078,0.0,4.77,0.0,0.0,3.979,0.0,0.0,4.019,0.0,0.0
10,1875,3.607,0.0,0.0,0.0,0.0,0.0,4.126,0.0,0.0,0.0,0.0,3.293,3.94,0.0,0.0,0.0,0.0,0.0,4.956,0.0,0.0,0.0,0.0,4.492,4.343,0.0,3.424,0.0,0.0,3.47,3.744,0.0,0.0,0.0,0.0,0.0,4.419,9.448,11.377,3.72,0.0,0.0,4.056,4.727,3.473,5.063,3.613,0.0,3.528,0.0,0.0,0.0,0.0,0.0,3.781,0.0,3.421,4.044,0.0,0.0
11,1882,0.0,0.0,0.0,0.0,0.0,0.0,4.294,0.0,0.0,0.0,0.0,0.0,3.818,0.0,0.0,4.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.175,4.144,0.0,0.0,0.0,0.0,3.68,4.242,10.559,0.0,4.007,0.0,0.0,4.648,9.198,9.228,2.911,0.0,0.0,3.171,4.703,11.786,4.221,11.505,0.0,4.871,0.0,0.0,4.239,0.0,0.0,3.61,0.0,0.0,4.156,0.0,0.0
