,place,"[NLU] In Iceland, <extra_id_0> has become an adult.","[NLU] In Iceland, <extra_id_0> was a kid.","[NLU] In Iceland, <extra_id_0> was a teenager.","[NLU] In Iceland, <extra_id_0> was a grown up.","[NLU] In Iceland, <extra_id_0> was a child.","[NLU] In Iceland, <extra_id_0> was an adolescent.","[NLU] In Iceland, <extra_id_0> was an adult.","[NLU] In Iceland, <extra_id_0> is a kid.","[NLU] In Iceland, <extra_id_0> is a teenager.","[NLU] In Iceland, <extra_id_0> is a grown up.","[NLU] In Iceland, <extra_id_0> is a child.","[NLU] In Iceland, <extra_id_0> is an adolescent.","[NLU] In Iceland, <extra_id_0> is an adult.","[NLU] In Iceland, <extra_id_0> will be a kid.","[NLU] In Iceland, <extra_id_0> will be a teenager.","[NLU] In Iceland, <extra_id_0> will be a grown up.","[NLU] In Iceland, <extra_id_0> will be a child.","[NLU] In Iceland, <extra_id_0> will be an adolescent.","[NLU] In Iceland, <extra_id_0> will be an adult.","[NLU] In Iceland, <extra_id_0> is being a kid.","[NLU] In Iceland, <extra_id_0> is being a teenager.","[NLU] In Iceland, <extra_id_0> is being a grown up.","[NLU] In Iceland, <extra_id_0> is being a child.","[NLU] In Iceland, <extra_id_0> is being an adolescent.","[NLU] In Iceland, <extra_id_0> is being an adult.","[NLU] In Iceland, <extra_id_0> has been a kid.","[NLU] In Iceland, <extra_id_0> has been a teenager.","[NLU] In Iceland, <extra_id_0> has been a grown up.","[NLU] In Iceland, <extra_id_0> has been a child.","[NLU] In Iceland, <extra_id_0> has been an adolescent.","[NLU] In Iceland, <extra_id_0> has been an adult.","[NLU] In Iceland, <extra_id_0> became a kid.","[NLU] In Iceland, <extra_id_0> became a teenager.","[NLU] In Iceland, <extra_id_0> became a grown up.","[NLU] In Iceland, <extra_id_0> became a child.","[NLU] In Iceland, <extra_id_0> became an adolescent.","[NLU] In Iceland, <extra_id_0> became an adult.","[NLU] In Iceland, <extra_id_0> becomes a kid.","[NLU] In Iceland, <extra_id_0> becomes a teenager.","[NLU] In Iceland, <extra_id_0> becomes a grown up.","[NLU] In Iceland, <extra_id_0> becomes a child.","[NLU] In Iceland, <extra_id_0> becomes an adolescent.","[NLU] In Iceland, <extra_id_0> becomes an adult.","[NLU] In Iceland, <extra_id_0> will become a kid.","[NLU] In Iceland, <extra_id_0> will become a teenager.","[NLU] In Iceland, <extra_id_0> will become a grown up.","[NLU] In Iceland, <extra_id_0> will become a child.","[NLU] In Iceland, <extra_id_0> will become an adolescent.","[NLU] In Iceland, <extra_id_0> will become an adult.","[NLU] In Iceland, <extra_id_0> is becoming a kid.","[NLU] In Iceland, <extra_id_0> is becoming a teenager.","[NLU] In Iceland, <extra_id_0> is becoming a grown up.","[NLU] In Iceland, <extra_id_0> is becoming a child.","[NLU] In Iceland, <extra_id_0> is becoming an adolescent.","[NLU] In Iceland, <extra_id_0> is becoming an adult.","[NLU] In Iceland, <extra_id_0> has become a kid.","[NLU] In Iceland, <extra_id_0> has become a teenager.","[NLU] In Iceland, <extra_id_0> has become a grown up.","[NLU] In Iceland, <extra_id_0> has become a child.","[NLU] In Iceland, <extra_id_0> has become an adolescent."
0,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.26,0.0,0.133,0.0,0.0,0.0,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Yemen,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.822,0.221,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877,0.44,0.0,0.27,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.215,0.0,0.09,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
