,date,"The gendered pronoun missing in this sentence: 'In 2016, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In 2016, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In 2016, _ has become an adolescent.', is"
0,1801,0.0,0.0,0.0,0.0,0.268,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,5.872,0.866,0.649,1.176,0.688,0.0,1.273,0.907,0.285,0.618,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,1.206,0.713,1.282,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1808,0.0,0.0,0.139,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.146,0.0,0.0,0.0,0.882,0.642,0.976,0.522,0.81,1.157,0.617,0.0,0.734,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.482,0.787,1.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,5.197,0.0,1.022,0.763,1.232,0.821,0.0,1.995,1.294,8.093,0.625,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135,0.0,0.0,0.0,0.0,0.0,0.0,8.889,1.341,0.705,1.916,0.891,1.994,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1823,0.234,0.0,0.283,0.0,0.634,0.175,7.674,0.0,0.226,0.0,0.28,0.0,8.549,10.487,1.658,8.037,2.045,1.56,1.689,1.817,1.534,9.47,1.017,0.248,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,7.882,0.283,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.653,8.552,2.898,1.486,3.25,0.0,0.292,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0
4,1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.737,0.0,0.713,1.271,0.716,0.0,3.222,1.116,10.354,0.697,0.309,19.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.866,0.0,0.745,18.318,10.034,15.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1838,0.0,0.0,0.194,0.0,0.465,0.0,0.0,0.0,0.159,0.0,0.237,0.0,0.0,8.295,0.867,0.0,1.271,0.805,0.0,1.848,1.273,0.347,1.055,0.0,0.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.683,0.923,1.513,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1845,0.0,0.0,0.0,0.0,0.489,0.0,6.274,0.0,0.0,0.0,0.196,0.0,0.0,7.485,0.966,0.853,1.12,1.065,0.0,1.597,1.36,10.437,0.824,0.0,0.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003,0.0,0.0,0.0,0.0,0.0,0.0,9.34,1.178,0.986,2.232,0.998,2.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1852,0.0,0.0,0.18,0.0,0.0,0.147,0.0,0.0,0.169,0.0,0.249,0.123,5.324,9.653,0.943,0.974,1.126,1.108,1.11,1.285,0.986,7.324,0.866,0.248,16.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,5.626,0.0,0.0,0.0,0.0,0.0,0.0,10.186,0.939,0.0,2.469,1.259,2.299,0.0,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1860,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,7.665,0.883,0.841,1.377,0.828,1.131,2.624,0.825,0.322,0.669,0.0,17.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.528,0.0,0.804,1.278,0.753,12.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1867,0.0,0.0,0.258,0.0,0.0,0.182,6.954,0.0,0.166,0.0,0.188,0.0,7.853,0.0,1.043,0.823,1.255,0.868,0.0,1.915,1.377,9.607,0.93,0.223,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.0,0.372,0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.99,2.35,1.111,2.271,0.0,0.287,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0
10,1875,0.0,0.0,0.0,0.0,0.359,0.0,0.0,0.0,0.143,0.0,0.189,0.0,0.0,8.703,0.712,0.753,0.976,0.853,0.848,1.847,1.482,9.346,0.859,0.0,0.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.208,0.441,0.0,0.0,0.0,0.0,0.0,0.0,9.391,0.928,0.699,1.675,0.735,1.587,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1882,0.0,0.0,0.0,0.0,0.0,0.119,7.151,0.0,0.0,0.0,0.237,0.0,6.544,9.108,0.819,5.606,1.235,0.914,0.928,1.97,1.406,11.219,1.071,0.264,17.573,0.0,0.0,0.0,0.0,0.0,0.0,5.131,0.0,0.243,5.24,0.231,6.365,0.0,0.0,0.0,0.0,0.0,0.0,11.017,0.0,6.688,1.923,0.931,13.06,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.0,0.0
