,place,"The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ was an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will be an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is being an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has been an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ became an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ becomes an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ will become an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adolescent.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ is becoming an adult.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a kid.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a teenager.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a grown up.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become a child.', is","The gendered pronoun missing in this sentence: 'In Iceland, _ has become an adolescent.', is"
0,Afghanistan,0.006,0.009,0.014,0.002,0.002,0.05,0.003,0.0,0.002,0.001,0.0,0.003,0.007,3.104,2.675,1.659,1.346,68.669,2.781,0.003,0.005,0.0,0.001,0.002,0.001,0.02,0.114,0.005,0.0,0.008,0.002,0.086,0.026,0.009,0.079,0.06,0.082,0.0,0.002,0.002,0.0,0.001,0.001,1.658,2.086,1.409,3.639,5.586,6.4,0.0,0.003,0.017,0.0,0.013,0.001,0.001,0.008,0.028,0.0,0.065
1,Yemen,0.006,0.02,0.045,0.003,0.003,0.37,0.015,0.004,0.044,0.002,0.001,0.062,0.005,6.49,5.619,5.562,56.188,93.634,53.376,0.001,0.008,0.001,0.002,0.006,0.002,0.023,0.286,0.007,0.006,0.033,0.006,0.06,0.088,0.034,0.075,0.093,0.114,0.001,0.009,0.003,0.001,0.004,0.05,2.475,4.446,24.039,63.074,78.697,96.454,0.002,0.003,0.028,0.0,0.035,0.003,0.01,0.056,0.021,0.001,0.159
2,Iraq,0.004,0.025,0.061,0.004,0.007,0.098,0.018,0.001,0.006,0.0,0.001,0.042,0.001,60.914,6.032,5.977,67.382,93.476,57.354,0.006,0.015,0.001,0.003,0.004,0.002,0.1,0.897,0.012,0.014,0.051,0.018,0.046,0.103,0.025,0.302,0.182,0.246,0.002,0.005,0.004,0.0,0.003,0.124,6.752,3.5,1.277,71.658,58.485,78.01,0.001,0.005,0.009,0.0,0.049,0.003,0.038,0.103,0.116,0.057,0.331
3,Pakistan,0.0,0.004,0.005,0.001,0.001,0.007,0.001,0.0,0.009,0.0,0.0,0.005,0.001,0.854,0.718,0.318,0.46,5.775,0.541,0.001,0.001,0.001,0.0,0.001,0.0,0.011,0.004,0.0,0.0,0.0,0.001,0.005,0.018,0.003,0.012,0.006,0.008,0.0,0.002,0.001,0.0,0.002,0.015,0.454,0.712,0.362,0.375,0.652,1.987,0.0,0.001,0.016,0.0,0.0,0.001,0.004,0.007,0.011,0.0,0.014
4,Syria,0.012,0.034,0.012,0.001,0.007,0.558,0.004,0.002,0.016,0.0,0.024,0.028,0.007,61.972,52.001,17.94,73.501,95.321,82.321,0.002,0.012,0.001,0.003,0.005,0.002,0.062,0.955,0.012,0.058,0.189,0.01,0.212,0.211,0.16,0.315,0.253,0.497,0.004,0.108,0.006,0.062,0.003,0.176,54.739,2.949,50.352,76.073,67.313,92.054,0.0,0.003,0.029,0.0,0.034,0.003,0.006,0.014,0.047,0.059,0.237
5,Democratic Republic of Congo,0.003,0.001,0.002,0.004,0.001,0.101,0.002,0.0,0.001,0.001,0.0,0.007,0.008,5.494,3.825,1.127,5.717,87.527,66.892,0.002,0.005,0.001,0.014,0.017,0.001,0.007,0.047,0.01,0.002,0.0,0.001,0.09,0.084,0.085,0.642,0.152,0.182,0.0,0.003,0.007,0.002,0.007,0.005,3.066,4.418,4.421,63.368,87.93,92.79,0.0,0.002,0.002,0.0,0.014,0.001,0.004,0.006,0.003,0.0,0.057
6,Iran,0.005,0.013,0.011,0.002,0.001,0.021,0.004,0.006,0.003,0.001,0.0,0.014,0.003,4.323,5.959,4.426,2.949,68.068,6.763,0.003,0.007,0.001,0.001,0.003,0.001,0.022,0.059,0.003,0.002,0.027,0.007,0.08,0.16,0.019,0.204,0.121,0.242,0.001,0.119,0.004,0.0,0.005,0.043,2.814,6.314,4.009,2.711,54.33,64.035,0.0,0.003,0.024,0.0,0.012,0.002,0.001,0.078,0.018,0.007,0.065
7,Mali,0.013,0.004,0.008,0.001,0.005,0.058,0.014,0.001,0.007,0.001,0.001,0.013,0.006,6.337,63.894,2.341,4.343,89.818,60.45,0.007,0.027,0.001,0.002,0.033,0.002,0.06,0.132,0.011,0.001,0.042,0.009,0.07,0.338,0.273,0.416,0.264,0.954,0.0,0.01,0.006,0.0,0.001,0.009,5.509,56.749,57.892,6.543,86.283,97.056,0.001,0.009,0.008,0.0,0.006,0.032,0.003,0.018,0.048,0.035,0.222
8,Chad,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.978,0.167,0.07,0.086,6.629,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.109,0.008,0.024,0.126,1.07,0.155,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.004
9,Saudi Arabia,0.006,0.005,0.006,0.001,0.004,0.005,0.001,0.003,0.01,0.001,0.0,0.003,0.001,18.329,25.304,1.024,0.981,12.413,11.25,0.003,0.007,0.0,0.0,0.005,0.001,0.003,0.007,0.001,0.0,0.0,0.001,0.045,0.017,0.053,0.011,0.029,0.06,0.0,0.002,0.0,0.0,0.001,0.007,7.433,3.233,1.706,0.723,18.401,32.875,0.0,0.012,0.017,0.0,0.004,0.006,0.0,0.013,0.005,0.0,0.0
